
3 Mot inconnu : apache2 => ====== Configurer un domaine sur un serveur avec apache2 et bind9 ====== | apache2
3 Mot inconnu : bind9 => ====== Configurer un domaine sur un serveur avec apache2 et bind9 ====== | bind9

8 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    - [[#Configuration d'apache2|Configurer]] apache pour répondre aux requêtes de ce domaine. |     => suggestions : ['']
8 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>    - [[#Configuration d'apache2|Configurer]] apache pour répondre aux requêtes de ce domaine. |  -  => suggestions : [' – ', ' — ', ' − ']
8 Mot inconnu : apache2 =>    - [[#Configuration d'apache2|Configurer]] apache pour répondre aux requêtes de ce domaine. | apache2

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     *  **80** (TCP) pour le HTTP (port par défaut) |      => suggestions : ['']
16 Mot inconnu : TCP =>     *  **80** (TCP) pour le HTTP (port par défaut) | tcp

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     *  **443** (TCP) pour le HTTPS (port par défaut) |      => suggestions : ['']
17 Mot inconnu : TCP =>     *  **443** (TCP) pour le HTTPS (port par défaut) | tcp

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  Avoir le contrôle du nom de domaine concerné (pouvoir faire la demande de modification de ses DNS).  |    => suggestions : ['']
19 Espace(s) en fin de ligne à supprimer. =>   *  Avoir le contrôle du nom de domaine concerné (pouvoir faire la demande de modification de ses DNS).  |   => suggestions : ['']

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  Dans ce tutoriel le nom du serveur utilisé sera **myserver.adomain.tdl**, il correspond à l'adresse du serveur (par exemple //ksxxxxxx.kimsufi.com//). |    => suggestions : ['']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  Dans ce tutoriel l'ip du serveur correspondant à **myserver.adomain.tdl** est **12.345.678.9**. |    => suggestions : ['']
21 Mot inconnu : ip =>   *  Dans ce tutoriel l'ip du serveur correspondant à **myserver.adomain.tdl** est **12.345.678.9**. | ip

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  Dans ce tutoriel l'email de contact est //myemail@mailprovider.tdl// (ex: //toto@gmail.com//). |    => suggestions : ['']
22 Mot inconnu : email =>   *  Dans ce tutoriel l'email de contact est //myemail@mailprovider.tdl// (ex: //toto@gmail.com//). | email

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  Dans ce tutoriel les serveurs DNS secondaires utilisés seront: |    => suggestions : ['']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     *  **dns1.domain.tdl** |      => suggestions : ['']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     *  **dns2.domain.tdl**\\ Dans la pratique, il est possible qu'un seul serveur secondaire soit indiqué, comme par exemple //sdns2.ovh.net// ou encore //ns.kimsufi.com// (cf. [[http://guides.ovh.com/InstallDNSSecondaire|ici]]). |      => suggestions : ['']
25 Pléonasme. =>     *  **dns2.domain.tdl**\\ Dans la pratique, il est possible qu'un seul serveur secondaire soit indiqué, comme par exemple //sdns2.ovh.net// ou encore //ns.kimsufi.com// (cf. [[http://guides.ovh.com/InstallDNSSecondaire|ici]]). | comme par exemple => suggestions : ['comme', 'par exemple']

28 Espace(s) en fin de ligne à supprimer. => <note important>   |    => suggestions : ['']

30 Mot inconnu : ip => Si l'ip fournit par le FAI n'est pas fixe, il faudra [[http://www.commentcamarche.net/faq/1887-securite-ip-statique-fixe-ou-dynamique|en posséder une]] | ip

36 Mot inconnu : bind9 => ===== Configuration de bind9 ===== | bind9
44 Pas d’espace avant ce signe. => Dans le fichier **/etc/bind/named.conf** il doit y avoir une inclusion de **/etc/bind/named.conf.options**. C'est dans ce fichier que vous allez placer la liste des serveurs autorisés (en réalité vous pouvez la mettre où bon vous semble, mais autant être un peu organisé ;-) ). \\ |  ) => suggestions : [')']
45 Espace(s) en fin de ligne à supprimer. => Cette liste de serveurs autorisés va dépendre de quels serveurs/services vous utilisez pour vos serveurs DNS secondaires. En général le prestataire chez qui vous louez votre serveur ou votre nom de domaine propose un service de DNS secondaire (ex: [[http://guides.ovh.com/InstallDNSSecondaire|ovh]] ou [[http://wiki.gandi.net/fr/domains/faq/technical-parameters#gandi-fournit-il-un-serveur-dns-secondaire|gandi]]).  |   => suggestions : ['']

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     directory "/var/cache/bind"; |      => suggestions : ['']
52 Mot inconnu : directory =>     directory "/var/cache/bind"; | directory

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     auth-nxdomain no; |      => suggestions : ['']
53 Mot inconnu : auth-nxdomain =>     auth-nxdomain no; | auth-nxdomain

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     listen-on-v6 { any; }; |      => suggestions : ['']
54 Mot inconnu : listen-on-v6 =>     listen-on-v6 { any; }; | listen-on-v6
54 Mot inconnu : any =>     listen-on-v6 { any; }; | any

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     allow-query { trusted; cloudns; }; |      => suggestions : ['']
55 Mot inconnu : allow-query =>     allow-query { trusted; cloudns; }; | allow-query
55 Mot inconnu : trusted =>     allow-query { trusted; cloudns; }; | trusted
55 Mot inconnu : cloudns =>     allow-query { trusted; cloudns; }; | cloudns

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     allow-recursion {trusted; cloudns; }; |      => suggestions : ['']
56 Mot inconnu : allow-recursion =>     allow-recursion {trusted; cloudns; }; | allow-recursion
56 Mot inconnu : trusted =>     allow-recursion {trusted; cloudns; }; | trusted
56 Mot inconnu : cloudns =>     allow-recursion {trusted; cloudns; }; | cloudns

59 Mot inconnu : acl => acl trusted { | acl
59 Mot inconnu : trusted => acl trusted { | trusted

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   127.0.0.1; |    => suggestions : ['']

63 Mot inconnu : acl => acl cloudns { | acl
63 Mot inconnu : cloudns => acl cloudns { | cloudns

64 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     85.159.233.17; |      => suggestions : ['']

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     108.59.1.205;  |      => suggestions : ['']
65 Espace(s) en fin de ligne à supprimer. =>     108.59.1.205;  |   => suggestions : ['']

66 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     91.230.195.150; |      => suggestions : ['']

67 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     85.25.34.84;    |      => suggestions : ['']
67 Espace(s) en fin de ligne à supprimer. =>     85.25.34.84;    |     => suggestions : ['']

68 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     87.117.196.78;  |      => suggestions : ['']
68 Espace(s) en fin de ligne à supprimer. =>     87.117.196.78;  |   => suggestions : ['']

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     62.75.145.77;   |      => suggestions : ['']
69 Espace(s) en fin de ligne à supprimer. =>     62.75.145.77;   |    => suggestions : ['']

70 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     69.197.4.65;    |      => suggestions : ['']
70 Espace(s) en fin de ligne à supprimer. =>     69.197.4.65;    |     => suggestions : ['']

71 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     188.241.115.14; |      => suggestions : ['']

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     91.218.115.228; |      => suggestions : ['']

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     184.75.249.242; |      => suggestions : ['']

74 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     216.24.196.51;  |      => suggestions : ['']
74 Espace(s) en fin de ligne à supprimer. =>     216.24.196.51;  |   => suggestions : ['']

79 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * déclarer une zone correspondant au domaine **mydomain.tdl** pour lequel les serveurs de cloudns sont autorisés à communiquer avec le serveur et qui doivent être notifiés des changements. |    => suggestions : ['']
79 Mot inconnu : mydomain =>   * déclarer une zone correspondant au domaine **mydomain.tdl** pour lequel les serveurs de cloudns sont autorisés à communiquer avec le serveur et qui doivent être notifiés des changements. | mydomain
79 Mot inconnu : tdl =>   * déclarer une zone correspondant au domaine **mydomain.tdl** pour lequel les serveurs de cloudns sont autorisés à communiquer avec le serveur et qui doivent être notifiés des changements. | tdl
79 Mot inconnu : cloudns =>   * déclarer une zone correspondant au domaine **mydomain.tdl** pour lequel les serveurs de cloudns sont autorisés à communiquer avec le serveur et qui doivent être notifiés des changements. | cloudns

80 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * indiquer que le reste de la [[#Configuration_de_la_zone|configuration de zone]] se trouve dans le fichier **/etc/bind/db.mydomain.tdl** |    => suggestions : ['']

82 Guillemets typographiques ouvrants. => zone "mydomain.tdl" {  | " => suggestions : ['«\xa0', '“']
82 Mot inconnu : mydomain => zone "mydomain.tdl" {  | mydomain
82 Mot inconnu : tdl => zone "mydomain.tdl" {  | tdl
82 Guillemets typographiques fermants. => zone "mydomain.tdl" {  | " => suggestions : ['\xa0»', '”']
82 Espace(s) en fin de ligne à supprimer. => zone "mydomain.tdl" {  |   => suggestions : ['']

83 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   type master;     |    => suggestions : ['']
83 Espace(s) en fin de ligne à supprimer. =>   type master;     |      => suggestions : ['']

84 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   file "/etc/bind/db.mydomain.tdl";   |    => suggestions : ['']
84 Espace(s) en fin de ligne à supprimer. =>   file "/etc/bind/db.mydomain.tdl";   |    => suggestions : ['']

85 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   allow-transfer { localhost; cloudns; }; |    => suggestions : ['']
