
5 Mot inconnu : Call [[7:11]] => ====== Call Of Duty 4 :Modern Warfare ====== <|> call
5 Mot inconnu : Of [[12:14]] => ====== Call Of Duty 4 :Modern Warfare ====== <|> of
5 Mot inconnu : Duty [[15:19]] => ====== Call Of Duty 4 :Modern Warfare ====== <|> duty
5 Mot inconnu : Modern [[23:29]] => ====== Call Of Duty 4 :Modern Warfare ====== <|> modern
5 Mot inconnu : Warfare [[30:37]] => ====== Call Of Duty 4 :Modern Warfare ====== <|> warfare

12 Accord de genre erroné avec « installée ». [[89:93]] => <note important>Cette installation est faite à partir de la distribution **Ubuntu 8.04 64bits** fraichement installée. Les pilotes (nvidia 169.12 pour ma part) ont été installés correctement **sans erreurs** et le système (Ubuntu) est complètement à jour. <|> bits => suggestions : []
12 Accord de genre erroné entre « bits » et « installée ». [[108:117]] => <note important>Cette installation est faite à partir de la distribution **Ubuntu 8.04 64bits** fraichement installée. Les pilotes (nvidia 169.12 pour ma part) ont été installés correctement **sans erreurs** et le système (Ubuntu) est complètement à jour. <|> installée => suggestions : ['installés']

16 Mot inconnu : __Pendant [[0:9]] => __Pendant l'exécution des taches par le terminal vous verrez un certain nombre d'erreurs ... Ne les prenez pas en compte et continuez l'installation.__  <|> __pendant
16 Typographie : points de suspension. Utilisez le caractère dédié. [[89:92]] => __Pendant l'exécution des taches par le terminal vous verrez un certain nombre d'erreurs ... Ne les prenez pas en compte et continuez l'installation.__  <|> ... => suggestions : ['…']
16 Mot inconnu : __ [[149:151]] => __Pendant l'exécution des taches par le terminal vous verrez un certain nombre d'erreurs ... Ne les prenez pas en compte et continuez l'installation.__  <|> __
16 Espace(s) en fin de ligne à supprimer. [[151:152]] => __Pendant l'exécution des taches par le terminal vous verrez un certain nombre d'erreurs ... Ne les prenez pas en compte et continuez l'installation.__  <|>   => suggestions : ['']

18 Mot inconnu : __ [[0:2]] => __**Pendant l'application du tuto jusqu'à la fin, Il sera ouvert qu'un seul terminal. Veuillez ne rien tapez d'autre dans ce terminal que ce qui est dit dans ce tuto.**__</note> <|> __
18 Après “ne pas”, “ne jamais”, “ne plus”, “ne rien”… le verbe devrait être à l’infinitif. [[103:108]] => __**Pendant l'application du tuto jusqu'à la fin, Il sera ouvert qu'un seul terminal. Veuillez ne rien tapez d'autre dans ce terminal que ce qui est dit dans ce tuto.**__</note> <|> tapez => suggestions : ['taper']
18 Mot inconnu : __ [[168:170]] => __**Pendant l'application du tuto jusqu'à la fin, Il sera ouvert qu'un seul terminal. Veuillez ne rien tapez d'autre dans ce terminal que ce qui est dit dans ce tuto.**__</note> <|> __
20 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. [[174:178]] => Ouvrez un terminal (par défaut vous serrez dans le répertoire utilisateur) et **Copiez/Collez ceci** (Ces taches peuvent prendre au total presque 1h en fonction du processeur car il compile les sources de wine) : <|>  car => suggestions : [', car']
72 Mot inconnu : COD4 [[40:44]] => ===== Préparation de wine pour recevoir COD4 ===== <|> cod4

78 Guillemets typographiques ouvrants. [[16:17]] => Dans cet onglet "applications", dans le champ "version de windows" selectionnez "Windows 2000" <|> " => suggestions : ['«\xa0', '“']
78 Guillemets typographiques fermants. [[29:30]] => Dans cet onglet "applications", dans le champ "version de windows" selectionnez "Windows 2000" <|> " => suggestions : ['\xa0»', '”']
78 Guillemets typographiques ouvrants. [[46:47]] => Dans cet onglet "applications", dans le champ "version de windows" selectionnez "Windows 2000" <|> " => suggestions : ['«\xa0', '“']
