
4 Mot inconnu : Boot-Info => ====== Créer un rapport Boot-Info ====== | boot-info

5 Mot inconnu : ubuntu-fr => Sur le forum ubuntu-fr, il peut vous être demandé d’indiquer votre **rapport Boot-Info**. Il s’agit d’un rapport contenant les principales caractéristiques système de votre PC, qui permet de diagnostiquer d’éventuels problèmes, notamment ceux liés au démarrage. | ubuntu-fr
5 Mot inconnu : Boot-Info => Sur le forum ubuntu-fr, il peut vous être demandé d’indiquer votre **rapport Boot-Info**. Il s’agit d’un rapport contenant les principales caractéristiques système de votre PC, qui permet de diagnostiquer d’éventuels problèmes, notamment ceux liés au démarrage. | boot-info
5 Accord de nombre erroné avec « les principales caractéristiques » : « système » devrait être au pluriel. => Sur le forum ubuntu-fr, il peut vous être demandé d’indiquer votre **rapport Boot-Info**. Il s’agit d’un rapport contenant les principales caractéristiques système de votre PC, qui permet de diagnostiquer d’éventuels problèmes, notamment ceux liés au démarrage. | système => suggestions : ['systèmes']
11 Pas d’espace après ce signe. => ===== Méthode standard: depuis une session Ubuntu ( LIVE ou normale ) ===== | (  => suggestions : ['(']
11 Pas d’espace avant ce signe. => ===== Méthode standard: depuis une session Ubuntu ( LIVE ou normale ) ===== |  ) => suggestions : [')']
24 Mot inconnu : Boot-Repair-Disk => ===== Méthode alternative: depuis Boot-Repair-Disk ===== | boot-repair-disk

34 Espace(s) surnuméraire(s) à supprimer. => <note help>Au lieu de noter sur un papier L'URL générée  vous pouvez aussi sélectionner la ligne puis la copier et la coller dans l'échange du forum. |    => suggestions : [' ']

44 Espace(s) surnuméraire(s) à supprimer. => <note>Afin de comprendre un peu mieux le contenu du fichier généré, un utilisateur met ces quelques remarques  dans la documentation. |    => suggestions : [' ']

48 Espace(s) en fin de ligne à supprimer. => Le document se veut synthétique. C'est une extraction du contenu de certains fichiers et le positionnement de certains mots clés dont l'explication peut être évidente ou un peu moins.  |   => suggestions : ['']

52 Mot inconnu : Boot => == Boot Info Summary == | boot
52 Mot inconnu : Summary => == Boot Info Summary == | summary

56 Mot inconnu : boot => Dans le premier mode de boot (LEGACY), l'utilisateur a indiqué au bios l'ordre des disques à utiliser.   Ce logiciel ne permet pas de savoir lequel est utilisé.  C'est une des raisons pour laquelle, lorsqu'il est utilisé en réparation, il écrit sur la totalité des disques. Il est souvent préférable d'avoir des contenus différents permettant un choix plus vaste. | boot
56 Mot inconnu : LEGACY => Dans le premier mode de boot (LEGACY), l'utilisateur a indiqué au bios l'ordre des disques à utiliser.   Ce logiciel ne permet pas de savoir lequel est utilisé.  C'est une des raisons pour laquelle, lorsqu'il est utilisé en réparation, il écrit sur la totalité des disques. Il est souvent préférable d'avoir des contenus différents permettant un choix plus vaste. | legacy
56 Accord de nombre erroné : « bios » est au pluriel. => Dans le premier mode de boot (LEGACY), l'utilisateur a indiqué au bios l'ordre des disques à utiliser.   Ce logiciel ne permet pas de savoir lequel est utilisé.  C'est une des raisons pour laquelle, lorsqu'il est utilisé en réparation, il écrit sur la totalité des disques. Il est souvent préférable d'avoir des contenus différents permettant un choix plus vaste. | au => suggestions : ['aux']
