
3 Mot inconnu : PDA => ====== Comment utiliser son PDA Ipaq hx4700 sous Ångström avec Ubuntu ====== | pda
3 Mot inconnu : Ipaq => ====== Comment utiliser son PDA Ipaq hx4700 sous Ångström avec Ubuntu ====== | ipaq
3 Mot inconnu : hx4700 => ====== Comment utiliser son PDA Ipaq hx4700 sous Ångström avec Ubuntu ====== | hx4700

9 Mot inconnu : PDA => ===== PDA HX4700 ===== | pda
9 Mot inconnu : HX4700 => ===== PDA HX4700 ===== | hx4700

10 Mot inconnu : PDA => ==== Haut du PDA ==== | pda

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Carte Compaq Flash (32Gb 800x UDMA 7 supportée sans problèmes). |    => suggestions : ['']
12 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Carte Compaq Flash (32Gb 800x UDMA 7 supportée sans problèmes). |  -  => suggestions : [' – ', ' — ', ' − ']
12 Mot inconnu : Compaq =>   - Carte Compaq Flash (32Gb 800x UDMA 7 supportée sans problèmes). | compaq
12 Mot inconnu : Gb =>   - Carte Compaq Flash (32Gb 800x UDMA 7 supportée sans problèmes). | gb
12 Mot inconnu : UDMA =>   - Carte Compaq Flash (32Gb 800x UDMA 7 supportée sans problèmes). | udma
12 Accord de nombre erroné avec « 7 » : « supportée » devrait être au pluriel. =>   - Carte Compaq Flash (32Gb 800x UDMA 7 supportée sans problèmes). | supportée => suggestions : ['supportées']

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Carte SD 2Go Maximum. |    => suggestions : ['']
13 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Carte SD 2Go Maximum. |  -  => suggestions : [' – ', ' — ', ' − ']
13 Mot inconnu : SD =>   - Carte SD 2Go Maximum. | sd

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Bouton de mise sous tension. |    => suggestions : ['']
14 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Bouton de mise sous tension. |  -  => suggestions : [' – ', ' — ', ' − ']

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Emplacement stylet. |    => suggestions : ['']
15 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Emplacement stylet. |  -  => suggestions : [' – ', ' — ', ' − ']

