
5 Mot inconnu : LAMP => ====== Serveur LAMP - Créer un/des répertoires de travail ====== | lamp
5 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => ====== Serveur LAMP - Créer un/des répertoires de travail ====== |  -  => suggestions : [' – ', ' — ', ' − ']

36 Mot inconnu : chmod => chmod 750 /var/www/public</code> | chmod

38 Guillemets typographiques ouvrants. => Pour l'exemple nous allons y créer un fichier ''index.html'' contenant le minimum nécessaire à l'affichage d'un message d'accueil : | '' => suggestions : ['«\xa0', '“']
38 Mot inconnu : html => Pour l'exemple nous allons y créer un fichier ''index.html'' contenant le minimum nécessaire à l'affichage d'un message d'accueil : | html
38 Guillemets typographiques fermants. => Pour l'exemple nous allons y créer un fichier ''index.html'' contenant le minimum nécessaire à l'affichage d'un message d'accueil : | '' => suggestions : ['\xa0»', '”']

44 Guillemets typographiques ouvrants. => <file - index.html><html lang="fr"> | " => suggestions : ['«\xa0', '“']
44 Guillemets typographiques fermants. => <file - index.html><html lang="fr"> | " => suggestions : ['\xa0»', '”']

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   <meta charset="UTF-8"> |    => suggestions : ['']
46 Guillemets typographiques ouvrants. =>   <meta charset="UTF-8"> | " => suggestions : ['«\xa0', '“']
46 Guillemets typographiques fermants. =>   <meta charset="UTF-8"> | " => suggestions : ['\xa0»', '”']

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   <meta name="viewport" content="width=device-width, initial-scale=1.0"> |    => suggestions : ['']
47 Guillemets typographiques ouvrants. =>   <meta name="viewport" content="width=device-width, initial-scale=1.0"> | " => suggestions : ['«\xa0', '“']
47 Guillemets typographiques fermants. =>   <meta name="viewport" content="width=device-width, initial-scale=1.0"> | " => suggestions : ['\xa0»', '”']
47 Guillemets typographiques ouvrants. =>   <meta name="viewport" content="width=device-width, initial-scale=1.0"> | " => suggestions : ['«\xa0', '“']
47 Guillemets typographiques fermants. =>   <meta name="viewport" content="width=device-width, initial-scale=1.0"> | " => suggestions : ['\xa0»', '”']

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   <title>Espace public</title> |    => suggestions : ['']

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   <h1>Bienvenue sur notre espace public.</h1> |    => suggestions : ['']

66 Mot inconnu : DocumentRoot => 	DocumentRoot "/var/www/public" | documentroot

68 Mot inconnu : FollowSymLinks => 		Options +FollowSymLinks | followsymlinks

69 Mot inconnu : AllowOverride => 		AllowOverride all | allowoverride
69 Mot inconnu : all => 		AllowOverride all | all

70 Mot inconnu : Require => 		Require all granted | require
70 Mot inconnu : all => 		Require all granted | all
70 Mot inconnu : granted => 		Require all granted | granted

72 Mot inconnu : ErrorLog => 	ErrorLog /var/log/apache2/error.public.log | errorlog

73 Mot inconnu : CustomLog => 	CustomLog /var/log/apache2/access.public.log combined | customlog
73 Mot inconnu : combined => 	CustomLog /var/log/apache2/access.public.log combined | combined

81 Mot inconnu : VirtualHost => Ce //VirtualHost// ne possède pas de directive ''ServerName'' ou ''ServerAlias''. Il sera donc utilisé par défaut pour les requêtes sur le port 80 si aucun autre //VirtualHost// ne correspond exactement au nom de domaine appelé. Pour qu'il soit pris en compte il faut par contre désactiver l'hôte virtuel par défaut d'Apache, qui arrive en priorité en suivant l'alphabet : | virtualhost
81 Guillemets typographiques ouvrants. => Ce //VirtualHost// ne possède pas de directive ''ServerName'' ou ''ServerAlias''. Il sera donc utilisé par défaut pour les requêtes sur le port 80 si aucun autre //VirtualHost// ne correspond exactement au nom de domaine appelé. Pour qu'il soit pris en compte il faut par contre désactiver l'hôte virtuel par défaut d'Apache, qui arrive en priorité en suivant l'alphabet : | '' => suggestions : ['«\xa0', '“']
81 Mot inconnu : ServerName => Ce //VirtualHost// ne possède pas de directive ''ServerName'' ou ''ServerAlias''. Il sera donc utilisé par défaut pour les requêtes sur le port 80 si aucun autre //VirtualHost// ne correspond exactement au nom de domaine appelé. Pour qu'il soit pris en compte il faut par contre désactiver l'hôte virtuel par défaut d'Apache, qui arrive en priorité en suivant l'alphabet : | servername
81 Guillemets typographiques fermants. => Ce //VirtualHost// ne possède pas de directive ''ServerName'' ou ''ServerAlias''. Il sera donc utilisé par défaut pour les requêtes sur le port 80 si aucun autre //VirtualHost// ne correspond exactement au nom de domaine appelé. Pour qu'il soit pris en compte il faut par contre désactiver l'hôte virtuel par défaut d'Apache, qui arrive en priorité en suivant l'alphabet : | '' => suggestions : ['\xa0»', '”']
