
3 Mot inconnu : Xerox [[31:36]] => ======Installer une imprimante Xerox====== <|> xerox

12 Mot inconnu : ppd [[25:28]] => =====Installation via un ppd==== <|> ppd

17 Mot inconnu : TODO [[0:4]] => TODO : https://askubuntu.com/questions/1040706/scan-from-xerox-workcentre-3025/1192588#1192588 <|> todo
26 Espace(s) surnuméraire(s) à supprimer. [[130:132]] => Pour utiliser le scan via ces protocoles, dans le menu de l'imprimante, choisissez Num. vers (Numériser vers) -> Réseau (Network).  Vous avez une liste de destinations possible (voir ci-dessous). <|>    => suggestions :  

34 Espace(s) surnuméraire(s) à supprimer. [[68:70]] => Je vous conseille donc de choisir de ne pas utiliser le mode passif.  Dans l'interface web de votre imprimante, allez **Propriétés** -> **Protocoles** -> **Client FTP** -> Désactivé la case à coché **FTP passif : Activé**, puis enregistrez les changement.  Cette modification demandera un redémarrage de votre imprimante. <|>    => suggestions :  
34 Confusion probable : “à” est une préposition. Pour le verbe “avoir”, écrivez “a”. [[190:191]] => Je vous conseille donc de choisir de ne pas utiliser le mode passif.  Dans l'interface web de votre imprimante, allez **Propriétés** -> **Protocoles** -> **Client FTP** -> Désactivé la case à coché **FTP passif : Activé**, puis enregistrez les changement.  Cette modification demandera un redémarrage de votre imprimante. <|> à => suggestions : a
34 Le verbe devrait être à l’infinitif. [[192:197]] => Je vous conseille donc de choisir de ne pas utiliser le mode passif.  Dans l'interface web de votre imprimante, allez **Propriétés** -> **Protocoles** -> **Client FTP** -> Désactivé la case à coché **FTP passif : Activé**, puis enregistrez les changement.  Cette modification demandera un redémarrage de votre imprimante. <|> coché => suggestions : cocher
34 Accord de nombre erroné : « changement » devrait être au pluriel. [[244:254]] => Je vous conseille donc de choisir de ne pas utiliser le mode passif.  Dans l'interface web de votre imprimante, allez **Propriétés** -> **Protocoles** -> **Client FTP** -> Désactivé la case à coché **FTP passif : Activé**, puis enregistrez les changement.  Cette modification demandera un redémarrage de votre imprimante. <|> changement => suggestions : changements
34 Espace(s) surnuméraire(s) à supprimer. [[255:257]] => Je vous conseille donc de choisir de ne pas utiliser le mode passif.  Dans l'interface web de votre imprimante, allez **Propriétés** -> **Protocoles** -> **Client FTP** -> Désactivé la case à coché **FTP passif : Activé**, puis enregistrez les changement.  Cette modification demandera un redémarrage de votre imprimante. <|>    => suggestions :  
