
21 Mot inconnu : bertrand0 [[16:25]] => ==== Scripts de bertrand0 ==== <|> bertrand0
23 Mot inconnu : gen-myupdate-download [[41:62]] =>   * Script auquel vous donnerez le nom **gen-myupdate-download**: <|> gen-myupdate-download

44 Mot inconnu : myupdate-copy [[39:52]] => * Script auquel vous donnerez le nom **myupdate-copy**: <|> myupdate-copy

61 Typographie : points de suspension. Utilisez le caractère dédié. [[0:3]] => ... et vos listes sont à jour :D. <|> ... => suggestions : …

63 Mot inconnu : Skippy [[15:21]] => ==== Script de Skippy le grand gourou ==== <|> skippy

69 Mot inconnu : lock [[255:259]] => Pour l'utiliser dans le but de mettre à jour les listes de paquets, il suffit de copier dans un dossier de sauvegarde les listes de paquets déjà présentes dans votre dossier **/var/lib/apt/lists/**, c'est-à-dire tous les fichiers textes sauf le fichier **lock**.  <|> lock
69 Espace(s) en fin de ligne à supprimer. [[262:263]] => Pour l'utiliser dans le but de mettre à jour les listes de paquets, il suffit de copier dans un dossier de sauvegarde les listes de paquets déjà présentes dans votre dossier **/var/lib/apt/lists/**, c'est-à-dire tous les fichiers textes sauf le fichier **lock**.  <|>  

82 Espace(s) en fin de ligne à supprimer. [[117:118]] => <note warning>Un utilisateur pressé pourrait être tenté de remplacer les deux dernières lignes par la simple commande  <|>  

84 Pléonasme. [[98:115]] => Je vous le déconseille très vivement. En effet si jamais vous faites des erreurs dans la commande comme par exemple glisser un espace entre le / et le var, il y a de grands risques d'endommager gravement votre système. <|> comme par exemple => suggestions : commepar exemple

91 Mot inconnu : offline [[71:78]] => Ceci devrait mettre à jour vos listes. Remarquez aussi qu'un fichier //offline packages// s'est créé. C'est ce fichier qui va permettre la mise à jour de votre système. <|> offline

95 Mot inconnu : Skippy [[15:21]] => ==== Script de Skippy le grand gourou (suite) ==== <|> skippy

106 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. [[0:4]] => vous devez avoir suffisamment de place sur votre clé. Surtout si vous mettez à jour le système. Un dossier **deb** se crée dans le répertoire courant qui contient tous les paquets téléchargés. Revenez sur votre ordinateur personnel et exécutez: <|> vous => suggestions : Vous

133 Mot inconnu : url [[98:101]] => On utilise la commande suivante pour simuler l'installation des paquets, en affichant juste leurs url. <|> url

136 Mot inconnu : urls [[23:27]] => On récupère toutes ces urls, et on crée un script de téléchargement qui va utiliser la commande wget sur chacune de ces url. <|> urls
136 Mot inconnu : wget [[96:100]] => On récupère toutes ces urls, et on crée un script de téléchargement qui va utiliser la commande wget sur chacune de ces url. <|> wget
136 Mot inconnu : url [[120:123]] => On récupère toutes ces urls, et on crée un script de téléchargement qui va utiliser la commande wget sur chacune de ces url. <|> url
