
5 Mot inconnu : NFS => ===== Un simple partage NFS ===== | nfs
32 Mot inconnu : ifconfig => Dans le terminal lancer « ifconfig », l'adresse est à la ligne « ''inet adr:'' », paragraphe « ''eth'' (ou enp2s0 ou enp3s0 ou enpxxxxx ) » si vous êtes connecté en Ethernet, « ''wlan''  ou "wlpxxx" » pour une connexion Wi-Fi. | ifconfig
32 Guillemets typographiques ouvrants. => Dans le terminal lancer « ifconfig », l'adresse est à la ligne « ''inet adr:'' », paragraphe « ''eth'' (ou enp2s0 ou enp3s0 ou enpxxxxx ) » si vous êtes connecté en Ethernet, « ''wlan''  ou "wlpxxx" » pour une connexion Wi-Fi. | '' => suggestions : ['«\xa0', '“']
32 Mot inconnu : inet => Dans le terminal lancer « ifconfig », l'adresse est à la ligne « ''inet adr:'' », paragraphe « ''eth'' (ou enp2s0 ou enp3s0 ou enpxxxxx ) » si vous êtes connecté en Ethernet, « ''wlan''  ou "wlpxxx" » pour une connexion Wi-Fi. | inet
32 Mot inconnu : adr => Dans le terminal lancer « ifconfig », l'adresse est à la ligne « ''inet adr:'' », paragraphe « ''eth'' (ou enp2s0 ou enp3s0 ou enpxxxxx ) » si vous êtes connecté en Ethernet, « ''wlan''  ou "wlpxxx" » pour une connexion Wi-Fi. | adr
32 Guillemets typographiques ouvrants. => Dans le terminal lancer « ifconfig », l'adresse est à la ligne « ''inet adr:'' », paragraphe « ''eth'' (ou enp2s0 ou enp3s0 ou enpxxxxx ) » si vous êtes connecté en Ethernet, « ''wlan''  ou "wlpxxx" » pour une connexion Wi-Fi. | '' => suggestions : ['«\xa0', '“']
32 Guillemets typographiques fermants. => Dans le terminal lancer « ifconfig », l'adresse est à la ligne « ''inet adr:'' », paragraphe « ''eth'' (ou enp2s0 ou enp3s0 ou enpxxxxx ) » si vous êtes connecté en Ethernet, « ''wlan''  ou "wlpxxx" » pour une connexion Wi-Fi. | '' => suggestions : ['\xa0»', '”']
32 Mot inconnu : enp2s0 => Dans le terminal lancer « ifconfig », l'adresse est à la ligne « ''inet adr:'' », paragraphe « ''eth'' (ou enp2s0 ou enp3s0 ou enpxxxxx ) » si vous êtes connecté en Ethernet, « ''wlan''  ou "wlpxxx" » pour une connexion Wi-Fi. | enp2s0
32 Mot inconnu : enp3s0 => Dans le terminal lancer « ifconfig », l'adresse est à la ligne « ''inet adr:'' », paragraphe « ''eth'' (ou enp2s0 ou enp3s0 ou enpxxxxx ) » si vous êtes connecté en Ethernet, « ''wlan''  ou "wlpxxx" » pour une connexion Wi-Fi. | enp3s0
32 Mot inconnu : enpxxxxx => Dans le terminal lancer « ifconfig », l'adresse est à la ligne « ''inet adr:'' », paragraphe « ''eth'' (ou enp2s0 ou enp3s0 ou enpxxxxx ) » si vous êtes connecté en Ethernet, « ''wlan''  ou "wlpxxx" » pour une connexion Wi-Fi. | enpxxxxx
32 Pas d’espace avant ce signe. => Dans le terminal lancer « ifconfig », l'adresse est à la ligne « ''inet adr:'' », paragraphe « ''eth'' (ou enp2s0 ou enp3s0 ou enpxxxxx ) » si vous êtes connecté en Ethernet, « ''wlan''  ou "wlpxxx" » pour une connexion Wi-Fi. |  ) => suggestions : [')']
32 Guillemets typographiques ouvrants. => Dans le terminal lancer « ifconfig », l'adresse est à la ligne « ''inet adr:'' », paragraphe « ''eth'' (ou enp2s0 ou enp3s0 ou enpxxxxx ) » si vous êtes connecté en Ethernet, « ''wlan''  ou "wlpxxx" » pour une connexion Wi-Fi. | '' => suggestions : ['«\xa0', '“']
32 Mot inconnu : wlan => Dans le terminal lancer « ifconfig », l'adresse est à la ligne « ''inet adr:'' », paragraphe « ''eth'' (ou enp2s0 ou enp3s0 ou enpxxxxx ) » si vous êtes connecté en Ethernet, « ''wlan''  ou "wlpxxx" » pour une connexion Wi-Fi. | wlan
32 Guillemets typographiques fermants. => Dans le terminal lancer « ifconfig », l'adresse est à la ligne « ''inet adr:'' », paragraphe « ''eth'' (ou enp2s0 ou enp3s0 ou enpxxxxx ) » si vous êtes connecté en Ethernet, « ''wlan''  ou "wlpxxx" » pour une connexion Wi-Fi. | '' => suggestions : ['\xa0»', '”']
32 Guillemets typographiques ouvrants. => Dans le terminal lancer « ifconfig », l'adresse est à la ligne « ''inet adr:'' », paragraphe « ''eth'' (ou enp2s0 ou enp3s0 ou enpxxxxx ) » si vous êtes connecté en Ethernet, « ''wlan''  ou "wlpxxx" » pour une connexion Wi-Fi. | " => suggestions : ['«\xa0', '“']
32 Mot inconnu : wlpxxx => Dans le terminal lancer « ifconfig », l'adresse est à la ligne « ''inet adr:'' », paragraphe « ''eth'' (ou enp2s0 ou enp3s0 ou enpxxxxx ) » si vous êtes connecté en Ethernet, « ''wlan''  ou "wlpxxx" » pour une connexion Wi-Fi. | wlpxxx
