
6 Mot inconnu : deb => ====== Création d'un paquet deb à partir d'une archive ====== | deb
14 Guillemets typographiques ouvrants. => Le programme en question ne demande qu'à être installé avec la fonction : ''python setup.py install'' | '' => suggestions : ['«\xa0', '“']
14 Mot inconnu : setup => Le programme en question ne demande qu'à être installé avec la fonction : ''python setup.py install'' | setup
14 Mot inconnu : py => Le programme en question ne demande qu'à être installé avec la fonction : ''python setup.py install'' | py
14 Mot inconnu : install => Le programme en question ne demande qu'à être installé avec la fonction : ''python setup.py install'' | install
14 Guillemets typographiques fermants. => Le programme en question ne demande qu'à être installé avec la fonction : ''python setup.py install'' | '' => suggestions : ['\xa0»', '”']

18 Mot inconnu : tar => Une fois l'archive créée, on procède comme pour le programme archivé. Ici, le format est tar.gz. On le décompressera en tapant: ''tar xvzf xxxx.tar.gz'' | tar
18 Mot inconnu : gz => Une fois l'archive créée, on procède comme pour le programme archivé. Ici, le format est tar.gz. On le décompressera en tapant: ''tar xvzf xxxx.tar.gz'' | gz
18 Guillemets typographiques ouvrants. => Une fois l'archive créée, on procède comme pour le programme archivé. Ici, le format est tar.gz. On le décompressera en tapant: ''tar xvzf xxxx.tar.gz'' | '' => suggestions : ['«\xa0', '“']
18 Mot inconnu : tar => Une fois l'archive créée, on procède comme pour le programme archivé. Ici, le format est tar.gz. On le décompressera en tapant: ''tar xvzf xxxx.tar.gz'' | tar
18 Mot inconnu : xvzf => Une fois l'archive créée, on procède comme pour le programme archivé. Ici, le format est tar.gz. On le décompressera en tapant: ''tar xvzf xxxx.tar.gz'' | xvzf
18 Guillemets typographiques fermants. => Une fois l'archive créée, on procède comme pour le programme archivé. Ici, le format est tar.gz. On le décompressera en tapant: ''tar xvzf xxxx.tar.gz'' | '' => suggestions : ['\xa0»', '”']

27 Mot inconnu : deb => Au lieu de cela, on va créer un paquet deb pour pouvoir l'installer et le désinstaller correctement. En lieu et place de firefox, j'en choisi pour l'exemple la version libre [[http://www.gnu.org/software/gnuzilla/|icecat]]. | deb
27 Mot inconnu : firefox => Au lieu de cela, on va créer un paquet deb pour pouvoir l'installer et le désinstaller correctement. En lieu et place de firefox, j'en choisi pour l'exemple la version libre [[http://www.gnu.org/software/gnuzilla/|icecat]]. | firefox
27 Conjugaison erronée. Accord avec “j’”. Le verbe devrait être à la 1ʳᵉ personne du singulier. => Au lieu de cela, on va créer un paquet deb pour pouvoir l'installer et le désinstaller correctement. En lieu et place de firefox, j'en choisi pour l'exemple la version libre [[http://www.gnu.org/software/gnuzilla/|icecat]]. | choisi => suggestions : ['choisissais', 'choisis']

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   wget http://ftp.gnu.org/gnu/gnuzilla/3.5.1/icecat-3.5.1-i386.tar.bz2    |    => suggestions : ['']
30 Mot inconnu : wget =>   wget http://ftp.gnu.org/gnu/gnuzilla/3.5.1/icecat-3.5.1-i386.tar.bz2    | wget
30 Espace(s) en fin de ligne à supprimer. =>   wget http://ftp.gnu.org/gnu/gnuzilla/3.5.1/icecat-3.5.1-i386.tar.bz2    |     => suggestions : ['']

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   tar xvjf icecat-3.5.1-i386.tar.bz2 |    => suggestions : ['']
31 Mot inconnu : tar =>   tar xvjf icecat-3.5.1-i386.tar.bz2 | tar
31 Mot inconnu : xvjf =>   tar xvjf icecat-3.5.1-i386.tar.bz2 | xvjf
31 Mot inconnu : icecat-3 =>   tar xvjf icecat-3.5.1-i386.tar.bz2 | icecat-3

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * un dossier de travail, |    => suggestions : ['']

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * dans ce dossier, un dossier **DEBIAN** qui comporte un fichier ''contro''. Ce fichier comporte la description du paquet, ses dépendances, son nom... |    => suggestions : ['']
36 Guillemets typographiques ouvrants. =>   * dans ce dossier, un dossier **DEBIAN** qui comporte un fichier ''contro''. Ce fichier comporte la description du paquet, ses dépendances, son nom... | '' => suggestions : ['«\xa0', '“']
36 Mot inconnu : contro =>   * dans ce dossier, un dossier **DEBIAN** qui comporte un fichier ''contro''. Ce fichier comporte la description du paquet, ses dépendances, son nom... | contro
36 Guillemets typographiques fermants. =>   * dans ce dossier, un dossier **DEBIAN** qui comporte un fichier ''contro''. Ce fichier comporte la description du paquet, ses dépendances, son nom... | '' => suggestions : ['\xa0»', '”']
36 Typographie : points de suspension. Utilisez le caractère dédié. =>   * dans ce dossier, un dossier **DEBIAN** qui comporte un fichier ''contro''. Ce fichier comporte la description du paquet, ses dépendances, son nom... | ... => suggestions : ['…']

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * dans ce même dossier de travail, l'arborescence comme si l'on partait de / |    => suggestions : ['']

39 S’il s’agit d’un impératif, mettez un trait d’union. => Créons le dossier de travail, et rendons-nous y :  | rendons-nous y => suggestions : ['rendons-nous-y']
39 Espace(s) en fin de ligne à supprimer. => Créons le dossier de travail, et rendons-nous y :  |   => suggestions : ['']

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   mkdir travail |    => suggestions : ['']
40 Mot inconnu : mkdir =>   mkdir travail | mkdir

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd travail |    => suggestions : ['']

47 Mot inconnu : mkdir => mkdir usr/bin</code> | mkdir
47 Mot inconnu : usr => mkdir usr/bin</code> | usr

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']
54 Mot inconnu : icecat => Package: icecat | icecat
56 Mot inconnu : i386 => Architecture: i386 | i386

57 Mot inconnu : Maintainer => Maintainer: Gnuzilla Project | maintainer
57 Mot inconnu : Gnuzilla => Maintainer: Gnuzilla Project | gnuzilla
57 Mot inconnu : Project => Maintainer: Gnuzilla Project | project

59 Mot inconnu : Priority => Priority: optional | priority
59 Mot inconnu : optional => Priority: optional | optional

60 Mot inconnu : Installed-Size => Installed-Size: 29700 | installed-size
60 Formatage des grands nombres. => Installed-Size: 29700 | 29700 => suggestions : ['29\xa0700']
61 Mot inconnu : Decouvrez => Description: Decouvrez une version totalement libre de firefox | decouvrez
61 Mot inconnu : firefox => Description: Decouvrez une version totalement libre de firefox | firefox

62 Mot inconnu : IceCat => IceCat est un fork totalement libre de Firefox, maintenu par le projet GnuZilla.</file> | icecat
62 Mot inconnu : GnuZilla => IceCat est un fork totalement libre de Firefox, maintenu par le projet GnuZilla.</file> | gnuzilla

