
11 Mot inconnu : Unity => ==== Sur Ubuntu (Unity) ==== <|> unity

13 Ceci est un verbe à la 2ᵉ personne du pluriel. Sujet (“vous” ou équivalent) introuvable. => En haut à droite de votre tableau de bord se trouve une icône en forme de roue dentée et d'interrupteur. En cliquant dessus vous avez accès aux fonctions suivantes : <|> avez => suggestions : ['ont']

21 Typographie : points de suspension. Utilisez le caractère dédié. => Par contre pour redémarrer il vous faut d'abord cliquer sur **Éteindre...** qui ouvre une fenêtre dans laquelle vous aurez le choix entre éteindre et redémarrer votre ordinateur. <|> ... => suggestions : ['…']
24 Mot inconnu : Ctrl-Alt-Suppr =>   * La commande **Ctrl-Alt-Suppr** ouvre la fenêtre "Fermer la session", il suffit d'appuyer sur la touche Entrée de votre clavier pour fermer la session. <|> ctrl-alt-suppr
24 Guillemets typographiques ouvrants. =>   * La commande **Ctrl-Alt-Suppr** ouvre la fenêtre "Fermer la session", il suffit d'appuyer sur la touche Entrée de votre clavier pour fermer la session. <|> " => suggestions : ['«\xa0', '“']
24 Guillemets typographiques fermants. =>   * La commande **Ctrl-Alt-Suppr** ouvre la fenêtre "Fermer la session", il suffit d'appuyer sur la touche Entrée de votre clavier pour fermer la session. <|> " => suggestions : ['\xa0»', '”']
25 Confusion probable. Quand = à quel moment. Quant à = à propos de. =>   * La commande **Ctrl-Alt-L** quand à elle permet de verrouiller, ou de changer de session. <|> quand => suggestions : ['quant']
31 Guillemets typographiques ouvrants. =>   * Votre nom (ici "Moi"), cliquez dessus permet d'afficher un sous-menu avec un bouton "Fermer la session". <|> " => suggestions : ['«\xa0', '“']
31 Guillemets typographiques fermants. =>   * Votre nom (ici "Moi"), cliquez dessus permet d'afficher un sous-menu avec un bouton "Fermer la session". <|> " => suggestions : ['\xa0»', '”']
31 Guillemets typographiques ouvrants. =>   * Votre nom (ici "Moi"), cliquez dessus permet d'afficher un sous-menu avec un bouton "Fermer la session". <|> " => suggestions : ['«\xa0', '“']
31 Guillemets typographiques fermants. =>   * Votre nom (ici "Moi"), cliquez dessus permet d'afficher un sous-menu avec un bouton "Fermer la session". <|> " => suggestions : ['\xa0»', '”']
34 Mot inconnu : KDE => ==== Sur Kubuntu (KDE) ==== <|> kde

37 Guillemets typographiques ouvrants. => Dans le menu "Démarrer" de KDE, on va sur l'onglet "Quitter", puis on clique sur l'option qu'on veut (Éteindre, Redémarrer, Fermer la session, etc.) <|> " => suggestions : ['«\xa0', '“']
37 Guillemets typographiques fermants. => Dans le menu "Démarrer" de KDE, on va sur l'onglet "Quitter", puis on clique sur l'option qu'on veut (Éteindre, Redémarrer, Fermer la session, etc.) <|> " => suggestions : ['\xa0»', '”']
37 Mot inconnu : KDE => Dans le menu "Démarrer" de KDE, on va sur l'onglet "Quitter", puis on clique sur l'option qu'on veut (Éteindre, Redémarrer, Fermer la session, etc.) <|> kde
37 Guillemets typographiques ouvrants. => Dans le menu "Démarrer" de KDE, on va sur l'onglet "Quitter", puis on clique sur l'option qu'on veut (Éteindre, Redémarrer, Fermer la session, etc.) <|> " => suggestions : ['«\xa0', '“']
37 Guillemets typographiques fermants. => Dans le menu "Démarrer" de KDE, on va sur l'onglet "Quitter", puis on clique sur l'option qu'on veut (Éteindre, Redémarrer, Fermer la session, etc.) <|> " => suggestions : ['\xa0»', '”']

39 Mot inconnu : Budgie => ==== Sur Ubuntu Budgie ==== <|> budgie

44 Mot inconnu : Xubuntu => ==== Sur Xubuntu (Xfce) ==== <|> xubuntu
44 Mot inconnu : Xfce => ==== Sur Xubuntu (Xfce) ==== <|> xfce
48 Mot inconnu : LXDE => ==== Sur Lubuntu (LXDE) ==== <|> lxde

54 Guillemets typographiques ouvrants. => Le bouton pour "éteindre l'ordinateur" est tout en haut à droite. <|> " => suggestions : ['«\xa0', '“']
54 Guillemets typographiques fermants. => Le bouton pour "éteindre l'ordinateur" est tout en haut à droite. <|> " => suggestions : ['\xa0»', '”']


61 Mot inconnu : sudo => sauf si vous supprimer le mot sudo avant shutdown. <|> sudo
61 Mot inconnu : shutdown => sauf si vous supprimer le mot sudo avant shutdown. <|> shutdown

67 Mot inconnu : shutdown => Il est possible de différer l'arrêt ou le redémarrage du système avec la commande **shutdown** selon différentes modalités. C'est l'option **-h** ou **-r** qui définit si l'on souhaite l'arrêt (-h pour halt) ou le redémarrage (-r pour reboot). <|> shutdown
