
4 Mot inconnu : carps-cups => ======Procédure d'installation du pilote carps-cups pour Canon====== | carps-cups

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

15 Mot inconnu : carp-cups => Pour installer le pilote carp-cups sous trusty uniquement: | carp-cups
24 Mot inconnu : make => Commencez par installer les paquets suivant **[[apt>make, gcc, libcups2-dev, libcupsimage2-dev, cups-ppdc, git]]**. | make
24 Mot inconnu : gcc => Commencez par installer les paquets suivant **[[apt>make, gcc, libcups2-dev, libcupsimage2-dev, cups-ppdc, git]]**. | gcc
24 Mot inconnu : libcups2-dev => Commencez par installer les paquets suivant **[[apt>make, gcc, libcups2-dev, libcupsimage2-dev, cups-ppdc, git]]**. | libcups2-dev
24 Mot inconnu : libcupsimage2-dev => Commencez par installer les paquets suivant **[[apt>make, gcc, libcups2-dev, libcupsimage2-dev, cups-ppdc, git]]**. | libcupsimage2-dev
24 Mot inconnu : cups-ppdc => Commencez par installer les paquets suivant **[[apt>make, gcc, libcups2-dev, libcupsimage2-dev, cups-ppdc, git]]**. | cups-ppdc

34 Mot inconnu : sudo => sudo make install</code> | sudo
34 Mot inconnu : make => sudo make install</code> | make
34 Mot inconnu : install => sudo make install</code> | install

37 Mot inconnu : CUPS => =====Problèmes avec CUPS libusb backend===== | cups
37 Mot inconnu : libusb => =====Problèmes avec CUPS libusb backend===== | libusb
37 Mot inconnu : backend => =====Problèmes avec CUPS libusb backend===== | backend

38 Espace(s) en fin de ligne à supprimer. => Si votre imprimante imprime uniquement le premier document et qu'ensuite vous deviez éteindre et rallumer votre imprimante, la solution consiste à  |   => suggestions : ['']

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Mettre dans l'URI du l'imprimante:///dev/usb/lp0//, |    => suggestions : ['']

43 Mot inconnu : FileDevice => <file>FileDevice Yes</file> | filedevice

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Redémarrez CUPS: |    => suggestions : ['']
44 Mot inconnu : CUPS =>   * Redémarrez CUPS: | cups

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.rainbow-software.org/2014/01/23/cups-driver-for-canon-carps-printers/|Procédure en anglais]]. |    => suggestions : ['']
