11 Mot inconnu : install [[16:23]] =>   * Ubuntu-base install (ubuntu-server va très bien) <|> install
11 Mot inconnu : ubuntu-server [[25:38]] =>   * Ubuntu-base install (ubuntu-server va très bien) <|> ubuntu-server

16 Mot inconnu : Etape [[4:9]] => === Etape 1: Configuration du serveur DHCP & du démarrage par PXE === <|> etape
16 Mot inconnu : PXE [[62:65]] => === Etape 1: Configuration du serveur DHCP & du démarrage par PXE === <|> pxe

20 Mot inconnu : dhcp3-server [[42:54]] => Procédez maintenant à l'installation de **dhcp3-server** et **tftpd-hpa** <|> dhcp3-server
20 Mot inconnu : tftpd-hpa [[62:71]] => Procédez maintenant à l'installation de **dhcp3-server** et **tftpd-hpa** <|> tftpd-hpa

24 Mot inconnu : PXE [[17:20]] => Le démarrage par PXE demande à ce que l'image .iso soit montée localement, je l'ai donc monté sous /var/lib/tftpboot/ubuntu/ <|> pxe
24 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[45:47]] => Le démarrage par PXE demande à ce que l'image .iso soit montée localement, je l'ai donc monté sous /var/lib/tftpboot/ubuntu/ <|>  . => suggestions : .. 
24 Mot inconnu : iso [[47:50]] => Le démarrage par PXE demande à ce que l'image .iso soit montée localement, je l'ai donc monté sous /var/lib/tftpboot/ubuntu/ <|> iso

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>  

44 Mot inconnu : Etape [[4:9]] => === Etape 2: Configuration du nis et du nfs === <|> etape
44 Mot inconnu : nis [[30:33]] => === Etape 2: Configuration du nis et du nfs === <|> nis
48 Mot inconnu : nis [[16:19]] => Note: le paquet nis (pas nis en lui-même) est un buggé, il essayera de lancer ypbind même si on ne lui demande pas. Il ignore également le preseed, plus loin nous créerons une nouvelle version du package, pour l'instant il faut juste laisser ypbind partir en time out. <|> nis
48 Mot inconnu : nis [[25:28]] => Note: le paquet nis (pas nis en lui-même) est un buggé, il essayera de lancer ypbind même si on ne lui demande pas. Il ignore également le preseed, plus loin nous créerons une nouvelle version du package, pour l'instant il faut juste laisser ypbind partir en time out. <|> nis
48 Mot inconnu : buggé [[49:54]] => Note: le paquet nis (pas nis en lui-même) est un buggé, il essayera de lancer ypbind même si on ne lui demande pas. Il ignore également le preseed, plus loin nous créerons une nouvelle version du package, pour l'instant il faut juste laisser ypbind partir en time out. <|> buggé
48 Mot inconnu : ypbind [[78:84]] => Note: le paquet nis (pas nis en lui-même) est un buggé, il essayera de lancer ypbind même si on ne lui demande pas. Il ignore également le preseed, plus loin nous créerons une nouvelle version du package, pour l'instant il faut juste laisser ypbind partir en time out. <|> ypbind
48 Mot inconnu : preseed [[139:146]] => Note: le paquet nis (pas nis en lui-même) est un buggé, il essayera de lancer ypbind même si on ne lui demande pas. Il ignore également le preseed, plus loin nous créerons une nouvelle version du package, pour l'instant il faut juste laisser ypbind partir en time out. <|> preseed
48 Mot inconnu : ypbind [[242:248]] => Note: le paquet nis (pas nis en lui-même) est un buggé, il essayera de lancer ypbind même si on ne lui demande pas. Il ignore également le preseed, plus loin nous créerons une nouvelle version du package, pour l'instant il faut juste laisser ypbind partir en time out. <|> ypbind
48 Mot inconnu : time [[259:263]] => Note: le paquet nis (pas nis en lui-même) est un buggé, il essayera de lancer ypbind même si on ne lui demande pas. Il ignore également le preseed, plus loin nous créerons une nouvelle version du package, pour l'instant il faut juste laisser ypbind partir en time out. <|> time

50 Mot inconnu : nis [[26:29]] => Lorsque l'installation de nis demande un domaine, prenez un nom de votre choix. Dès que ypbind est mort, arrêtez nis avec la commande suivante : <|> nis
50 Mot inconnu : ypbind [[88:94]] => Lorsque l'installation de nis demande un domaine, prenez un nom de votre choix. Dès que ypbind est mort, arrêtez nis avec la commande suivante : <|> ypbind
50 Mot inconnu : nis [[113:116]] => Lorsque l'installation de nis demande un domaine, prenez un nom de votre choix. Dès que ypbind est mort, arrêtez nis avec la commande suivante : <|> nis

60 Mot inconnu : nis [[43:46]] => Vous pouvez maintenant démarrer le service nis : <|> nis

72 Accord de nombre erroné : « serveurs » est au pluriel. [[11:13]] => Redémarrez le serveurs NFS <|> le => suggestions : les
72 Accord de nombre erroné : « serveurs » devrait être au singulier. [[14:22]] => Redémarrez le serveurs NFS <|> serveurs => suggestions : serveur

77 Mot inconnu : Etape [[4:9]] => === Etape 3: Configuration du miroir local et du proxy === <|> etape

79 Mot inconnu : httpd [[63:68]] => L'installation depuis un miroir local et en utilisant un proxy httpd pour le reste augmente de manière significative la vitesse des installations. Comme apt-proxy ne fonctionne pas trop bien, nous allons utiliser squid. Pour la récupération apres l'installation il faut également php, on l'a donc installé. (Un script CGI aurait très bien fait l'affaire, c'est une histoire de gout) <|> httpd
79 Mot inconnu : apt-proxy [[153:162]] => L'installation depuis un miroir local et en utilisant un proxy httpd pour le reste augmente de manière significative la vitesse des installations. Comme apt-proxy ne fonctionne pas trop bien, nous allons utiliser squid. Pour la récupération apres l'installation il faut également php, on l'a donc installé. (Un script CGI aurait très bien fait l'affaire, c'est une histoire de gout) <|> apt-proxy
79 Mot inconnu : squid [[213:218]] => L'installation depuis un miroir local et en utilisant un proxy httpd pour le reste augmente de manière significative la vitesse des installations. Comme apt-proxy ne fonctionne pas trop bien, nous allons utiliser squid. Pour la récupération apres l'installation il faut également php, on l'a donc installé. (Un script CGI aurait très bien fait l'affaire, c'est une histoire de gout) <|> squid
79 Mot inconnu : apres [[241:246]] => L'installation depuis un miroir local et en utilisant un proxy httpd pour le reste augmente de manière significative la vitesse des installations. Comme apt-proxy ne fonctionne pas trop bien, nous allons utiliser squid. Pour la récupération apres l'installation il faut également php, on l'a donc installé. (Un script CGI aurait très bien fait l'affaire, c'est une histoire de gout) <|> apres
79 Mot inconnu : CGI [[318:321]] => L'installation depuis un miroir local et en utilisant un proxy httpd pour le reste augmente de manière significative la vitesse des installations. Comme apt-proxy ne fonctionne pas trop bien, nous allons utiliser squid. Pour la récupération apres l'installation il faut également php, on l'a donc installé. (Un script CGI aurait très bien fait l'affaire, c'est une histoire de gout) <|> cgi

83 Mot inconnu : noeuds [[97:103]] => Mon cluster a seulement une IP publique, donc seul le maitre est connecté à Internet. Les autres noeuds sont simplement connectés au maitre (et via le NAT ils peuvent accéder à Internet). Comme je ne veux pas faire office de proxy public, J'ai configuré squid pour qu'il écoute seulement sur eth1 (l'interface interne). On peut faire pareil avec apache en éditant le fichier /etc/apache2/ports.conf. <|> noeuds
83 Mot inconnu : NAT [[151:154]] => Mon cluster a seulement une IP publique, donc seul le maitre est connecté à Internet. Les autres noeuds sont simplement connectés au maitre (et via le NAT ils peuvent accéder à Internet). Comme je ne veux pas faire office de proxy public, J'ai configuré squid pour qu'il écoute seulement sur eth1 (l'interface interne). On peut faire pareil avec apache en éditant le fichier /etc/apache2/ports.conf. <|> nat
83 Mot inconnu : squid [[254:259]] => Mon cluster a seulement une IP publique, donc seul le maitre est connecté à Internet. Les autres noeuds sont simplement connectés au maitre (et via le NAT ils peuvent accéder à Internet). Comme je ne veux pas faire office de proxy public, J'ai configuré squid pour qu'il écoute seulement sur eth1 (l'interface interne). On peut faire pareil avec apache en éditant le fichier /etc/apache2/ports.conf. <|> squid
83 Mot inconnu : eth1 [[292:296]] => Mon cluster a seulement une IP publique, donc seul le maitre est connecté à Internet. Les autres noeuds sont simplement connectés au maitre (et via le NAT ils peuvent accéder à Internet). Comme je ne veux pas faire office de proxy public, J'ai configuré squid pour qu'il écoute seulement sur eth1 (l'interface interne). On peut faire pareil avec apache en éditant le fichier /etc/apache2/ports.conf. <|> eth1

92 Mot inconnu : iso [[31:34]] => Faites un lien symbolique de l'iso vers apache pour la servir. <|> iso

96 Mot inconnu : Etape [[4:9]] => === Etape 4: preseed === <|> etape
96 Mot inconnu : preseed [[13:20]] => === Etape 4: preseed === <|> preseed

98 Mot inconnu : Tftpboot [[109:117]] => Tout est maintenant configuré sur le serveur, nous pouvons maintenant passer à la configuration des clients. Tftpboot va lancer l'installeur Ubuntu. L'installeur pose des questions, mais les réponses peuvent être "enregistrées" dans un fichier appelé preseed.  <|> tftpboot
98 Guillemets typographiques ouvrants. [[213:214]] => Tout est maintenant configuré sur le serveur, nous pouvons maintenant passer à la configuration des clients. Tftpboot va lancer l'installeur Ubuntu. L'installeur pose des questions, mais les réponses peuvent être "enregistrées" dans un fichier appelé preseed.  <|> " => suggestions : « “
98 Guillemets typographiques fermants. [[226:227]] => Tout est maintenant configuré sur le serveur, nous pouvons maintenant passer à la configuration des clients. Tftpboot va lancer l'installeur Ubuntu. L'installeur pose des questions, mais les réponses peuvent être "enregistrées" dans un fichier appelé preseed.  <|> " => suggestions :  »”
98 Mot inconnu : preseed [[251:258]] => Tout est maintenant configuré sur le serveur, nous pouvons maintenant passer à la configuration des clients. Tftpboot va lancer l'installeur Ubuntu. L'installeur pose des questions, mais les réponses peuvent être "enregistrées" dans un fichier appelé preseed.  <|> preseed
98 Espace(s) en fin de ligne à supprimer. [[259:260]] => Tout est maintenant configuré sur le serveur, nous pouvons maintenant passer à la configuration des clients. Tftpboot va lancer l'installeur Ubuntu. L'installeur pose des questions, mais les réponses peuvent être "enregistrées" dans un fichier appelé preseed.  <|>  
102 S’il s’agit d’un impératif, mettez un trait d’union. [[185:199]] => Ce que l'on peut changer: langue, les paquets à installer (qui sont des chaines aptitude), le premier utilisateur ainsi que le partitionnement. Configurez ceci à votre convenance, puis enregistrez le à la racine d'apache. <|> enregistrez le => suggestions : enregistrez-le

104 Mot inconnu : Etape [[4:9]] => === Etape 5: Après le redémarrage === <|> etape

106 Mot inconnu : pressed [[237:244]] => L'installeur redémarre après l'installation classique, ce qui signifie qu'il sera relancé. Bien sur nous ne voulons pas ça, c'est pourquoi il est nécessaire de créer un système d'enregistrement. Comme vous pouvez le voir dans le fichier pressed, la ligne preseed/late-command correspond à  <|> pressed
106 Mot inconnu : preseed [[255:262]] => L'installeur redémarre après l'installation classique, ce qui signifie qu'il sera relancé. Bien sur nous ne voulons pas ça, c'est pourquoi il est nécessaire de créer un système d'enregistrement. Comme vous pouvez le voir dans le fichier pressed, la ligne preseed/late-command correspond à  <|> preseed
106 Mot inconnu : late-command [[263:275]] => L'installeur redémarre après l'installation classique, ce qui signifie qu'il sera relancé. Bien sur nous ne voulons pas ça, c'est pourquoi il est nécessaire de créer un système d'enregistrement. Comme vous pouvez le voir dans le fichier pressed, la ligne preseed/late-command correspond à  <|> late-command
