
4 Mot inconnu : Shockwave => ====== Comment lire des animations Shockwave avec Firefox ====== | shockwave

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Télécharger la version Windows de firefox : [[http://www.mozilla.com/en-US/firefox/all.html#fr]] |    => suggestions : ['']
18 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Télécharger la version Windows de firefox : [[http://www.mozilla.com/en-US/firefox/all.html#fr]] |  -  => suggestions : [' – ', ' — ', ' − ']
18 Mot inconnu : firefox =>   - Télécharger la version Windows de firefox : [[http://www.mozilla.com/en-US/firefox/all.html#fr]] | firefox

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Lors de l'installation, cliquer sur oui, suivant, etc… Puis cocher « Lancer Firefox maintenant » |    => suggestions : ['']
20 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Lors de l'installation, cliquer sur oui, suivant, etc… Puis cocher « Lancer Firefox maintenant » |  -  => suggestions : [' – ', ' — ', ' − ']
20 Un seul point après « etc. » =>   - Lors de l'installation, cliquer sur oui, suivant, etc… Puis cocher « Lancer Firefox maintenant » | etc… => suggestions : ['etc.']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Aller sur un site ayant besoin de Shockwave |    => suggestions : ['']
21 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Aller sur un site ayant besoin de Shockwave |  -  => suggestions : [' – ', ' — ', ' − ']
21 Mot inconnu : Shockwave =>   - Aller sur un site ayant besoin de Shockwave | shockwave

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Cliquer sur « Installer les plugins additionnels… » |    => suggestions : ['']
22 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Cliquer sur « Installer les plugins additionnels… » |  -  => suggestions : [' – ', ' — ', ' − ']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Suivre l'installation de Shockwave |    => suggestions : ['']
23 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Suivre l'installation de Shockwave |  -  => suggestions : [' – ', ' — ', ' − ']
23 Mot inconnu : Shockwave =>   - Suivre l'installation de Shockwave | shockwave

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Et voila, ça marche. |    => suggestions : ['']
24 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Et voila, ça marche. |  -  => suggestions : [' – ', ' — ', ' − ']

29 Mot inconnu : topic => <note tip>Si vous avez des questions, j'ai créé un topic sur le forum pour en parler : [[https://forum.ubuntu-fr.org/viewtopic.php?pid=1337739]]</note> | topic
