
9 Mot inconnu : linux => La gestion de la priorité sous linux est celle-ci : | linux

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * de -1 à  - 20 ce sont des priorités hautes, - 20 étant la plus haute. |    => suggestions : ['']
10 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. =>   * de -1 à  - 20 ce sont des priorités hautes, - 20 étant la plus haute. | -1 => suggestions : ['−1', '– 1', '— 1']
10 Espace(s) surnuméraire(s) à supprimer. =>   * de -1 à  - 20 ce sont des priorités hautes, - 20 étant la plus haute. |    => suggestions : [' ']
10 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” s’il s’agit d’une soustraction [3] ou de représenter un nombre négatif [4].) =>   * de -1 à  - 20 ce sont des priorités hautes, - 20 étant la plus haute. |  -  => suggestions : [' – ', ' — ', ' − ', ' −']
10 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” s’il s’agit d’une soustraction [3] ou de représenter un nombre négatif [4].) =>   * de -1 à  - 20 ce sont des priorités hautes, - 20 étant la plus haute. |  -  => suggestions : [' – ', ' — ', ' − ', ' −']

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * de 0 à 19 ce sont priorités basses , 19 la plus basse. |    => suggestions : ['']
11 Pas d’espace avant une virgule. =>   * de 0 à 19 ce sont priorités basses , 19 la plus basse. |  , => suggestions : [',']

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Clic droit sur le processus → modifier la priorité → déplacer pour obtenir faible ou très faible. |      => suggestions : ['']

25 Mot inconnu : leprocessus => Remplacer //leprocessus// par le processus désiré et x par une valeur entre 0 et 19 : | leprocessus

35 Mot inconnu : root => ===== Augmenter la priorité (nécessite les droits root) ===== | root

36 Mot inconnu : lags => <note warning>**Attention n'augmentez pas trop la priorité, risque d'importants lags pc!**</note> | lags

39 Accord de nombre erroné : « problème » devrait être au pluriel. => Il existe une méthode pour pouvoir changer la priorité d'un processus sans ouvrir à chaque fois votre terminal. Il s'agit de donner les droits à l'utilisateur et non qu'à l'administrateur, ce qui peut poser des problème de sécurité. Il suffit d'éditer le fichier /etc/security/limits.conf et de rajouter à la fin du fichier | problème => suggestions : ['problèmes']

40 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => [USER]             -       nice            -20 |  -  => suggestions : [' – ', ' — ', ' − ']
40 Mot inconnu : nice => [USER]             -       nice            -20 | nice
40 Espace(s) surnuméraire(s) à supprimer. => [USER]             -       nice            -20 |              => suggestions : [' ']
40 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. => [USER]             -       nice            -20 | -20 => suggestions : ['−20', '– 20', '— 20']

44 Mot inconnu : sudo => sudo echo "[USER]             -       nice            -20"  >> /etc/security/limits.conf  | sudo
44 Mot inconnu : echo => sudo echo "[USER]             -       nice            -20"  >> /etc/security/limits.conf  | echo
44 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => sudo echo "[USER]             -       nice            -20"  >> /etc/security/limits.conf  |  -  => suggestions : [' – ', ' — ', ' − ']
44 Mot inconnu : nice => sudo echo "[USER]             -       nice            -20"  >> /etc/security/limits.conf  | nice
44 Espace(s) surnuméraire(s) à supprimer. => sudo echo "[USER]             -       nice            -20"  >> /etc/security/limits.conf  |              => suggestions : [' ']
44 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. => sudo echo "[USER]             -       nice            -20"  >> /etc/security/limits.conf  | -20 => suggestions : ['−20', '– 20', '— 20']
44 Guillemets typographiques fermants. => sudo echo "[USER]             -       nice            -20"  >> /etc/security/limits.conf  | " => suggestions : ['\xa0»', '”']
44 Espace(s) en fin de ligne à supprimer. => sudo echo "[USER]             -       nice            -20"  >> /etc/security/limits.conf  |   => suggestions : ['']

46 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => <note>A préciser : risques</note> | a => suggestions : ['À']

49 Mot inconnu : leprocessus => Remplacer //leprocessus// par le processus désiré et x par une valeur entre -20 et -1 : | leprocessus
49 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. => Remplacer //leprocessus// par le processus désiré et x par une valeur entre -20 et -1 : | -20 => suggestions : ['−20', '– 20', '— 20']
49 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. => Remplacer //leprocessus// par le processus désiré et x par une valeur entre -20 et -1 : | -1 => suggestions : ['−1', '– 1', '— 1']

59 Mot inconnu : pidof => pidof : renvoi le pid du processus. | pidof
59 Mot inconnu : pid => pidof : renvoi le pid du processus. | pid

60 Mot inconnu : xargs => xargs : construit la commande à partir de ce que renvoie pidof. | xargs
60 Mot inconnu : pidof => xargs : construit la commande à partir de ce que renvoie pidof. | pidof
