
5 Mot inconnu : Kernel => ====== Comment compiler un noyau de Kernel.org ====== | kernel

8 Typographie : points de suspension. Utilisez le caractère dédié. => Cette page propose de détailler comment faire et invite tous ceux qui le veulent à ajouter des précisions ... | ... => suggestions : ['…']

10 Mot inconnu : PowerPC => <note tip>Si vous souhaitez faire de la compilation croisée, comme compiler un noyau pour PowerPC sur un x86, rendez-vous [[compilation_croisee|ici]].</note> | powerpc
10 Mot inconnu : x86 => <note tip>Si vous souhaitez faire de la compilation croisée, comme compiler un noyau pour PowerPC sur un x86, rendez-vous [[compilation_croisee|ici]].</note> | x86
10 Mot inconnu : compilation_croisee => <note tip>Si vous souhaitez faire de la compilation croisée, comme compiler un noyau pour PowerPC sur un x86, rendez-vous [[compilation_croisee|ici]].</note> | compilation_croisee

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Une bonne heure pour configurer (seulement si vous souhaitez optimiser le noyau pour votre utilisation) ; |    => suggestions : ['']

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Deux bonnes heures ou plus pour la compilation suivant la puissance de votre ordinateur. |    => suggestions : ['']

31 Mot inconnu : FIXME => FIXME | fixme

32 Mot inconnu : EDIT => EDIT : afin de pouvoir compiler les derniers noyaux provenant de kernel.org (version > 3.14), il faut installer la dernière version de "kernel-package" et non celle ci-dessus issue des dépôts, car elle crée des bugs pendant la compilation, et ne produit pas au final les paquets .deb) | edit
32 Mot inconnu : kernel => EDIT : afin de pouvoir compiler les derniers noyaux provenant de kernel.org (version > 3.14), il faut installer la dernière version de "kernel-package" et non celle ci-dessus issue des dépôts, car elle crée des bugs pendant la compilation, et ne produit pas au final les paquets .deb) | kernel
32 Guillemets typographiques ouvrants. => EDIT : afin de pouvoir compiler les derniers noyaux provenant de kernel.org (version > 3.14), il faut installer la dernière version de "kernel-package" et non celle ci-dessus issue des dépôts, car elle crée des bugs pendant la compilation, et ne produit pas au final les paquets .deb) | " => suggestions : ['«\xa0', '“']
32 Mot inconnu : kernel-package => EDIT : afin de pouvoir compiler les derniers noyaux provenant de kernel.org (version > 3.14), il faut installer la dernière version de "kernel-package" et non celle ci-dessus issue des dépôts, car elle crée des bugs pendant la compilation, et ne produit pas au final les paquets .deb) | kernel-package
