
15 Mot inconnu : fakeroot => ===== Compilation de logiciels avec fakeroot ===== | fakeroot

26 Mot inconnu : root => Toute l'astuce consiste à créer le répertoire où le script va s'installer, et changer ses droits (qui par défaut sont en root) par les vôtres. | root

29 Mot inconnu : sudo => sudo chgrp VOTRE_LOGIN /usr/local/java  # confère les droits de votre groupe sur ce dossier et donc son contenu</code> | sudo
29 Mot inconnu : chgrp => sudo chgrp VOTRE_LOGIN /usr/local/java  # confère les droits de votre groupe sur ce dossier et donc son contenu</code> | chgrp
29 Mot inconnu : VOTRE_LOGIN => sudo chgrp VOTRE_LOGIN /usr/local/java  # confère les droits de votre groupe sur ce dossier et donc son contenu</code> | votre_login
29 Espace(s) surnuméraire(s) à supprimer. => sudo chgrp VOTRE_LOGIN /usr/local/java  # confère les droits de votre groupe sur ce dossier et donc son contenu</code> |    => suggestions : [' ']

32 Il manque probablement un trait d’union. => <note tip>Si jamais vous aviez déjà installé une version de votre logiciel ou d'un autre qui a créé le répertoire avec les droits d'administration, et que vous avez besoin de le réinstaller sachant que vous êtes susceptibles de modifier aussi des sous répertoires, pensez à mettre l'option récursive "-R" après le chown et le chgrp afin qu'ils s'appliquent à l'ensemble des fichiers et sous répertoires de votre répertoire de base</note> | sous répertoires => suggestions : ['sous-répertoires']
32 Guillemets typographiques fermants. => <note tip>Si jamais vous aviez déjà installé une version de votre logiciel ou d'un autre qui a créé le répertoire avec les droits d'administration, et que vous avez besoin de le réinstaller sachant que vous êtes susceptibles de modifier aussi des sous répertoires, pensez à mettre l'option récursive "-R" après le chown et le chgrp afin qu'ils s'appliquent à l'ensemble des fichiers et sous répertoires de votre répertoire de base</note> | " => suggestions : ['\xa0»', '”']
32 Mot inconnu : chown => <note tip>Si jamais vous aviez déjà installé une version de votre logiciel ou d'un autre qui a créé le répertoire avec les droits d'administration, et que vous avez besoin de le réinstaller sachant que vous êtes susceptibles de modifier aussi des sous répertoires, pensez à mettre l'option récursive "-R" après le chown et le chgrp afin qu'ils s'appliquent à l'ensemble des fichiers et sous répertoires de votre répertoire de base</note> | chown
32 Mot inconnu : chgrp => <note tip>Si jamais vous aviez déjà installé une version de votre logiciel ou d'un autre qui a créé le répertoire avec les droits d'administration, et que vous avez besoin de le réinstaller sachant que vous êtes susceptibles de modifier aussi des sous répertoires, pensez à mettre l'option récursive "-R" après le chown et le chgrp afin qu'ils s'appliquent à l'ensemble des fichiers et sous répertoires de votre répertoire de base</note> | chgrp

33 Il manque un trait d’union si “même” se rapporte à “vous”. => <note warning>Pour éviter les risques de sécurité, il ne faut jamais modifier les droits d'un répertoire système que vous n'avez pas vous même créé (et même là il faut être prudent) à moins de savoir vraiment ce que vous faites.</note> | vous même => suggestions : ['vous-même']

34 Espace(s) en fin de ligne à supprimer. => <note important>Si vous souhaitez que le programme que vous installez puisse être trouvé automatiquement par le système lorsque vous entrez son nom dans la console, pensez à rajouter son chemin d'accès dans le  |   => suggestions : ['']

38 Mot inconnu : SUID => ===== Utilisation du bit SUID pour donner à n'importe qui le droit d'exécuter un programme normalement réservé au root ===== | suid
38 Mot inconnu : root => ===== Utilisation du bit SUID pour donner à n'importe qui le droit d'exécuter un programme normalement réservé au root ===== | root

40 Mot inconnu : root => Cette manipulation n'est pas possible pour les scripts. En effet, en supposant que vous créiez un script appartenant à root, mais avec les droits d'écriture pour d'autres utilisateurs, cela créerai une faille système dangereuse. Elle est donc réservée aux binaires. Même ainsi, il vaut mieux faire preuve de prudence. Tout binaire système que vous rendez accessible à tous est une faille potentielle. Passons maintenant à l'application: c'est très simple. Naviguez en console jusqu'au binaire que vous voulez rendre accessible à tous, et tapez | root
40 Conjugaison erronée. Accord avec “cela”. Le verbe devrait être à la 3ᵉ personne du singulier. => Cette manipulation n'est pas possible pour les scripts. En effet, en supposant que vous créiez un script appartenant à root, mais avec les droits d'écriture pour d'autres utilisateurs, cela créerai une faille système dangereuse. Elle est donc réservée aux binaires. Même ainsi, il vaut mieux faire preuve de prudence. Tout binaire système que vous rendez accessible à tous est une faille potentielle. Passons maintenant à l'application: c'est très simple. Naviguez en console jusqu'au binaire que vous voulez rendre accessible à tous, et tapez | créerai => suggestions : ['créera']
