2 Mot inconnu : À_RECYCLER => {{tag>tutoriel matériel installation À_RECYCLER}}

5 Il manque un espace insécable. => ====== Tutoriel : Ajouter un disque dur ======

8 Guillemets typographiques ouvrants. => <note important>Le mieux serait d'apporter ses connaissances au lieu de laisser les autres dans l'ignorance surtout avec des commentaires inutiles et dans une doc de partage, "Largement obsolète" ne veut rien dire sans arguments, merci. </note>
8 Guillemets typographiques fermants. => <note important>Le mieux serait d'apporter ses connaissances au lieu de laisser les autres dans l'ignorance surtout avec des commentaires inutiles et dans une doc de partage, "Largement obsolète" ne veut rien dire sans arguments, merci. </note>

12 Mot inconnu : hd => Avec GNU/Linux, tout comme avec Unix, tout est fichier. Le système interprète donc vos périphériques en tant que fichiers. Les disques durs n'échappent pas à cette règle et se retrouvent donc dans le dossier /dev. Traditionnellement les périphériques IDE répondent à une appellation commençant par hd (pour Hard Disk) suivi d'une lettre correspondant à la position logique du disque (maître, esclave etc.) suivi d'un chiffre identifiant la partition.
12 Mot inconnu : Disk => Avec GNU/Linux, tout comme avec Unix, tout est fichier. Le système interprète donc vos périphériques en tant que fichiers. Les disques durs n'échappent pas à cette règle et se retrouvent donc dans le dossier /dev. Traditionnellement les périphériques IDE répondent à une appellation commençant par hd (pour Hard Disk) suivi d'une lettre correspondant à la position logique du disque (maître, esclave etc.) suivi d'un chiffre identifiant la partition.
12 Avant « etc. », il faut mettre une virgule. => Avec GNU/Linux, tout comme avec Unix, tout est fichier. Le système interprète donc vos périphériques en tant que fichiers. Les disques durs n'échappent pas à cette règle et se retrouvent donc dans le dossier /dev. Traditionnellement les périphériques IDE répondent à une appellation commençant par hd (pour Hard Disk) suivi d'une lettre correspondant à la position logique du disque (maître, esclave etc.) suivi d'un chiffre identifiant la partition.

14 Mot inconnu : hda1 => Par exemple, la première partition du premier disque dur (disque maître du bus IDE primaire) s'appelle donc hda1 et c'est généralement sur celle-ci qu'est installé votre système d'exploitation.

16 Mot inconnu : Serial => Malheureusement cette nomenclature devient plus complexe dès lors que l'on utilise des contrôleurs Serial ATA ou RAID et que l'on se retrouve avec beaucoup de disques dans le même ordinateur. Je vais, dans cet article, essayer de vous faciliter la vie mais si vous désirez vraiment savoir comment ça fonctionne je vous invite à consulter cette page : [[http://www.linux-wizard.net/faq.php?section=0&key=hd_naming]] ...
16 Mot inconnu : ATA => Malheureusement cette nomenclature devient plus complexe dès lors que l'on utilise des contrôleurs Serial ATA ou RAID et que l'on se retrouve avec beaucoup de disques dans le même ordinateur. Je vais, dans cet article, essayer de vous faciliter la vie mais si vous désirez vraiment savoir comment ça fonctionne je vous invite à consulter cette page : [[http://www.linux-wizard.net/faq.php?section=0&key=hd_naming]] ...
16 Il manque un espace insécable. => Malheureusement cette nomenclature devient plus complexe dès lors que l'on utilise des contrôleurs Serial ATA ou RAID et que l'on se retrouve avec beaucoup de disques dans le même ordinateur. Je vais, dans cet article, essayer de vous faciliter la vie mais si vous désirez vraiment savoir comment ça fonctionne je vous invite à consulter cette page : [[http://www.linux-wizard.net/faq.php?section=0&key=hd_naming]] ...
16 Typographie : points de suspension. Utilisez le caractère dédié. => Malheureusement cette nomenclature devient plus complexe dès lors que l'on utilise des contrôleurs Serial ATA ou RAID et que l'on se retrouve avec beaucoup de disques dans le même ordinateur. Je vais, dans cet article, essayer de vous faciliter la vie mais si vous désirez vraiment savoir comment ça fonctionne je vous invite à consulter cette page : [[http://www.linux-wizard.net/faq.php?section=0&key=hd_naming]] ...

19 Mot inconnu : sdx => <note help>Depuis quelques années la notation des disques a été simplifiée. Ils se nomment tous sdx (où x est une lettre) par exemple hda devient sda, hdb devient sdb. </note>
19 Mot inconnu : hda => <note help>Depuis quelques années la notation des disques a été simplifiée. Ils se nomment tous sdx (où x est une lettre) par exemple hda devient sda, hdb devient sdb. </note>
19 Mot inconnu : sda => <note help>Depuis quelques années la notation des disques a été simplifiée. Ils se nomment tous sdx (où x est une lettre) par exemple hda devient sda, hdb devient sdb. </note>
19 Mot inconnu : hdb => <note help>Depuis quelques années la notation des disques a été simplifiée. Ils se nomment tous sdx (où x est une lettre) par exemple hda devient sda, hdb devient sdb. </note>
19 Mot inconnu : sdb => <note help>Depuis quelques années la notation des disques a été simplifiée. Ils se nomment tous sdx (où x est une lettre) par exemple hda devient sda, hdb devient sdb. </note>

24 Espace(s) surnuméraire(s) à supprimer. => === En ligne  de commandes ===

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * lshw
29 Mot inconnu : lshw =>   * lshw

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    sudo lshw -class disk
31 Mot inconnu : sudo =>    sudo lshw -class disk
31 Mot inconnu : lshw =>    sudo lshw -class disk
31 Il manque un espace à côté du tiret. =>    sudo lshw -class disk
31 Mot inconnu : class =>    sudo lshw -class disk
31 Mot inconnu : disk =>    sudo lshw -class disk

64 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Analyse des fichiers log 
64 Espace(s) en fin de ligne à supprimer. =>   * Analyse des fichiers log 

68 Il manque un espace insécable. => Lancez la commande: ''dmesg | grep [sh]d[a-z]'' pour obtenir quelque chose de ce genre ou encore dmesg > /chemin/votre_fichier (cela permet d'envoyer le contenu de la commande dans un fichier) :
68 Guillemets typographiques ouvrants. => Lancez la commande: ''dmesg | grep [sh]d[a-z]'' pour obtenir quelque chose de ce genre ou encore dmesg > /chemin/votre_fichier (cela permet d'envoyer le contenu de la commande dans un fichier) :
68 Mot inconnu : dmesg => Lancez la commande: ''dmesg | grep [sh]d[a-z]'' pour obtenir quelque chose de ce genre ou encore dmesg > /chemin/votre_fichier (cela permet d'envoyer le contenu de la commande dans un fichier) :
68 Mot inconnu : grep => Lancez la commande: ''dmesg | grep [sh]d[a-z]'' pour obtenir quelque chose de ce genre ou encore dmesg > /chemin/votre_fichier (cela permet d'envoyer le contenu de la commande dans un fichier) :
68 Mot inconnu : sh => Lancez la commande: ''dmesg | grep [sh]d[a-z]'' pour obtenir quelque chose de ce genre ou encore dmesg > /chemin/votre_fichier (cela permet d'envoyer le contenu de la commande dans un fichier) :
68 Mot inconnu : dmesg => Lancez la commande: ''dmesg | grep [sh]d[a-z]'' pour obtenir quelque chose de ce genre ou encore dmesg > /chemin/votre_fichier (cela permet d'envoyer le contenu de la commande dans un fichier) :
68 Mot inconnu : votre_fichier => Lancez la commande: ''dmesg | grep [sh]d[a-z]'' pour obtenir quelque chose de ce genre ou encore dmesg > /chemin/votre_fichier (cela permet d'envoyer le contenu de la commande dans un fichier) :
68 Il manque un espace insécable. => Lancez la commande: ''dmesg | grep [sh]d[a-z]'' pour obtenir quelque chose de ce genre ou encore dmesg > /chemin/votre_fichier (cela permet d'envoyer le contenu de la commande dans un fichier) :

70 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Kernel command line: root=/dev/hda1 ro quiet splash
70 Mot inconnu : Kernel =>   Kernel command line: root=/dev/hda1 ro quiet splash
70 Mot inconnu : command =>   Kernel command line: root=/dev/hda1 ro quiet splash
70 Mot inconnu : line =>   Kernel command line: root=/dev/hda1 ro quiet splash
70 Il manque un espace insécable. =>   Kernel command line: root=/dev/hda1 ro quiet splash
70 Mot inconnu : root =>   Kernel command line: root=/dev/hda1 ro quiet splash
70 Mot inconnu : ro =>   Kernel command line: root=/dev/hda1 ro quiet splash

71 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ide0: BM-DMA at 0xe000-0xe007, BIOS settings: hda:DMA, hdb:DMA
71 Mot inconnu : ide0 =>   ide0: BM-DMA at 0xe000-0xe007, BIOS settings: hda:DMA, hdb:DMA
71 Il manque un espace insécable. =>   ide0: BM-DMA at 0xe000-0xe007, BIOS settings: hda:DMA, hdb:DMA
71 Mot inconnu : BM-DMA =>   ide0: BM-DMA at 0xe000-0xe007, BIOS settings: hda:DMA, hdb:DMA
71 Mot inconnu : at =>   ide0: BM-DMA at 0xe000-0xe007, BIOS settings: hda:DMA, hdb:DMA
71 Mot inconnu : xe000-0xe007 =>   ide0: BM-DMA at 0xe000-0xe007, BIOS settings: hda:DMA, hdb:DMA
71 Mot inconnu : settings =>   ide0: BM-DMA at 0xe000-0xe007, BIOS settings: hda:DMA, hdb:DMA
71 Il manque un espace insécable. =>   ide0: BM-DMA at 0xe000-0xe007, BIOS settings: hda:DMA, hdb:DMA
71 Mot inconnu : hda =>   ide0: BM-DMA at 0xe000-0xe007, BIOS settings: hda:DMA, hdb:DMA
71 Il manque un espace. =>   ide0: BM-DMA at 0xe000-0xe007, BIOS settings: hda:DMA, hdb:DMA
