
4 Mot inconnu : netgear => ====== Installation du serveur d'impression netgear wgps606 ====== | netgear
4 Mot inconnu : wgps606 => ====== Installation du serveur d'impression netgear wgps606 ====== | wgps606

10 Mot inconnu : ethernet => Pour installer le serveur, il va falloir brancher votre ordinateur en ethernet au serveur d'impression et utiliser une adresse ip fixe comme : 192.168.0.100/255.255.255.0 | ethernet
10 Mot inconnu : ip => Pour installer le serveur, il va falloir brancher votre ordinateur en ethernet au serveur d'impression et utiliser une adresse ip fixe comme : 192.168.0.100/255.255.255.0 | ip

11 Mot inconnu : connection => La connection au serveur d'impression se fait par une interface web sur l'adresse : 192.168.0.102 avec Admin/Password (que vous pourrez changer ensuite) | connection
11 Mot inconnu : Password => La connection au serveur d'impression se fait par une interface web sur l'adresse : 192.168.0.102 avec Admin/Password (que vous pourrez changer ensuite) | password

12 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => Sur l'interface web, configurez le serveur afin que vous puissiez vous connecter a votre point d'accès wifi. A la fin de cette connection, le voyant du serveur d'impression devra être bleu et fixe. A ce moment là, il est aussi recommandé de définir d'adresse ip que vous voulez donner a votre serveur d'impression. | a => suggestions : ['À']
12 Mot inconnu : connection => Sur l'interface web, configurez le serveur afin que vous puissiez vous connecter a votre point d'accès wifi. A la fin de cette connection, le voyant du serveur d'impression devra être bleu et fixe. A ce moment là, il est aussi recommandé de définir d'adresse ip que vous voulez donner a votre serveur d'impression. | connection
12 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => Sur l'interface web, configurez le serveur afin que vous puissiez vous connecter a votre point d'accès wifi. A la fin de cette connection, le voyant du serveur d'impression devra être bleu et fixe. A ce moment là, il est aussi recommandé de définir d'adresse ip que vous voulez donner a votre serveur d'impression. | a => suggestions : ['À']
12 Il manque probablement un trait d’union. => Sur l'interface web, configurez le serveur afin que vous puissiez vous connecter a votre point d'accès wifi. A la fin de cette connection, le voyant du serveur d'impression devra être bleu et fixe. A ce moment là, il est aussi recommandé de définir d'adresse ip que vous voulez donner a votre serveur d'impression. | moment là => suggestions : ['moment-là']
12 Mot inconnu : ip => Sur l'interface web, configurez le serveur afin que vous puissiez vous connecter a votre point d'accès wifi. A la fin de cette connection, le voyant du serveur d'impression devra être bleu et fixe. A ce moment là, il est aussi recommandé de définir d'adresse ip que vous voulez donner a votre serveur d'impression. | ip

14 Mot inconnu : cable => Débranchez ensuite votre cable ethernet, remettez vous en wifi et allez sur l'adresse 192.168.0.102 afin de vérifier que vous atteignez bien le serveur. Dans le cas contraire, il est possible que le serveur ne soit pas bien configuré (adresse du réseau, serveur ne supportant pas un type d'authentification wifi,...) | cable
14 Mot inconnu : ethernet => Débranchez ensuite votre cable ethernet, remettez vous en wifi et allez sur l'adresse 192.168.0.102 afin de vérifier que vous atteignez bien le serveur. Dans le cas contraire, il est possible que le serveur ne soit pas bien configuré (adresse du réseau, serveur ne supportant pas un type d'authentification wifi,...) | ethernet
14 Forme interrogative ? Mettez un trait d’union. => Débranchez ensuite votre cable ethernet, remettez vous en wifi et allez sur l'adresse 192.168.0.102 afin de vérifier que vous atteignez bien le serveur. Dans le cas contraire, il est possible que le serveur ne soit pas bien configuré (adresse du réseau, serveur ne supportant pas un type d'authentification wifi,...) | remettez vous => suggestions : ['remettez-vous']
14 Erreur de numérisation ? Virgules au lieu de points ? => Débranchez ensuite votre cable ethernet, remettez vous en wifi et allez sur l'adresse 192.168.0.102 afin de vérifier que vous atteignez bien le serveur. Dans le cas contraire, il est possible que le serveur ne soit pas bien configuré (adresse du réseau, serveur ne supportant pas un type d'authentification wifi,...) | ,... => suggestions : ['….']
14 Typographie : points de suspension. Utilisez le caractère dédié. => Débranchez ensuite votre cable ethernet, remettez vous en wifi et allez sur l'adresse 192.168.0.102 afin de vérifier que vous atteignez bien le serveur. Dans le cas contraire, il est possible que le serveur ne soit pas bien configuré (adresse du réseau, serveur ne supportant pas un type d'authentification wifi,...) | ... => suggestions : ['…']

19 Mot inconnu : usb => Choisissez un port usb du serveur d'impression et allez dans la gestion de vos imprimantes dans Système -> Administration -> Impression | usb

21 Guillemets typographiques ouvrants. => Créez une nouvelle imprimante de type "LPD", dans le champ hôte mettez l'adresse IP du serveur d'impression et dans file "L1" ou "L2" suivant si votre imprimante est connectée au premier ou au deuxième usb. Après cette étape installez l'imprimante de la même manière qu'une imprimante filaire. | " => suggestions : ['«\xa0', '“']
21 Mot inconnu : LPD => Créez une nouvelle imprimante de type "LPD", dans le champ hôte mettez l'adresse IP du serveur d'impression et dans file "L1" ou "L2" suivant si votre imprimante est connectée au premier ou au deuxième usb. Après cette étape installez l'imprimante de la même manière qu'une imprimante filaire. | lpd
