2 Espace(s) en fin de ligne à supprimer. => ----  |   => suggestions : ['']

5 Mot inconnu : BBCode => ====== BBCode ====== | bbcode

6 Mot inconnu : BBCode => BBCode est l'abréviation de Bulletin Board Code, inventé à travers le langage PHP pour éviter les injections HTML et SQL, utilisé pour mettre en forme les messages de forums de discussion. Par abus de langage, les éléments du BBCode sont appelés balises. Le nom d'une balise est délimité par les crochets [ et ], contrairement au HTML où les caractères < et > sont utilisés. Certaines balises ont une propriété, aussi appelée attribut, dont la valeur est assignée à la balise elle-même à l'aide du symbole =. | bbcode
6 Mot inconnu : Board => BBCode est l'abréviation de Bulletin Board Code, inventé à travers le langage PHP pour éviter les injections HTML et SQL, utilisé pour mettre en forme les messages de forums de discussion. Par abus de langage, les éléments du BBCode sont appelés balises. Le nom d'une balise est délimité par les crochets [ et ], contrairement au HTML où les caractères < et > sont utilisés. Certaines balises ont une propriété, aussi appelée attribut, dont la valeur est assignée à la balise elle-même à l'aide du symbole =. | board
6 Mot inconnu : BBCode => BBCode est l'abréviation de Bulletin Board Code, inventé à travers le langage PHP pour éviter les injections HTML et SQL, utilisé pour mettre en forme les messages de forums de discussion. Par abus de langage, les éléments du BBCode sont appelés balises. Le nom d'une balise est délimité par les crochets [ et ], contrairement au HTML où les caractères < et > sont utilisés. Certaines balises ont une propriété, aussi appelée attribut, dont la valeur est assignée à la balise elle-même à l'aide du symbole =. | bbcode
6 Pas d’espace après ce signe. => BBCode est l'abréviation de Bulletin Board Code, inventé à travers le langage PHP pour éviter les injections HTML et SQL, utilisé pour mettre en forme les messages de forums de discussion. Par abus de langage, les éléments du BBCode sont appelés balises. Le nom d'une balise est délimité par les crochets [ et ], contrairement au HTML où les caractères < et > sont utilisés. Certaines balises ont une propriété, aussi appelée attribut, dont la valeur est assignée à la balise elle-même à l'aide du symbole =. | [  => suggestions : ['[']
6 Pas d’espace avant ce signe. => BBCode est l'abréviation de Bulletin Board Code, inventé à travers le langage PHP pour éviter les injections HTML et SQL, utilisé pour mettre en forme les messages de forums de discussion. Par abus de langage, les éléments du BBCode sont appelés balises. Le nom d'une balise est délimité par les crochets [ et ], contrairement au HTML où les caractères < et > sont utilisés. Certaines balises ont une propriété, aussi appelée attribut, dont la valeur est assignée à la balise elle-même à l'aide du symbole =. |  ] => suggestions : [']']

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * cliquer sur **Poster une réponse**, en dessous du dernier message du sujet : vous êtes renvoyé sur la page de saisie de messages. |    => suggestions : ['']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * commencer directement à rédiger la réponse, par le champ **Message rapide** situé en bas de page |    => suggestions : ['']

19 Mot inconnu : ubuntu-fr => actuellement dans le forum ubuntu-fr il y a bien le bouton previsualiser en message rapide : et la previsualisation fait passer en mode complet : previsualiser est donc un moyen d'avoir accès a toutes les fonction | ubuntu-fr
19 Mot inconnu : previsualiser => actuellement dans le forum ubuntu-fr il y a bien le bouton previsualiser en message rapide : et la previsualisation fait passer en mode complet : previsualiser est donc un moyen d'avoir accès a toutes les fonction | previsualiser
19 Mot inconnu : previsualisation => actuellement dans le forum ubuntu-fr il y a bien le bouton previsualiser en message rapide : et la previsualisation fait passer en mode complet : previsualiser est donc un moyen d'avoir accès a toutes les fonction | previsualisation
19 Mot inconnu : previsualiser => actuellement dans le forum ubuntu-fr il y a bien le bouton previsualiser en message rapide : et la previsualisation fait passer en mode complet : previsualiser est donc un moyen d'avoir accès a toutes les fonction | previsualiser
19 Confusion : “a” est une conjugaison du verbe “avoir”. Pour la préposition, écrivez “à”. => actuellement dans le forum ubuntu-fr il y a bien le bouton previsualiser en message rapide : et la previsualisation fait passer en mode complet : previsualiser est donc un moyen d'avoir accès a toutes les fonction | a => suggestions : ['à']
19 Accord de nombre erroné : « fonction » devrait être au pluriel. => actuellement dans le forum ubuntu-fr il y a bien le bouton previsualiser en message rapide : et la previsualisation fait passer en mode complet : previsualiser est donc un moyen d'avoir accès a toutes les fonction | fonction => suggestions : ['fonctions']

21 Mot inconnu : BBCode => =====Balises BBCode===== | bbcode

23 Mot inconnu : BBCode => Les balises BBCode permettent une mise en forme un peu plus élaborée de vos messages, afin de les rendre un peu plus attractifs que le texte simple. La forme d'une balise BBCode est toujours la même : | bbcode
23 Mot inconnu : BBCode => Les balises BBCode permettent une mise en forme un peu plus élaborée de vos messages, afin de les rendre un peu plus attractifs que le texte simple. La forme d'une balise BBCode est toujours la même : | bbcode

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   [balise BBCode]   texte ou contenu sur lequel appliquer la mise en forme ou le traitement de la balise   [/balise BBCode] |    => suggestions : ['']
24 Mot inconnu : BBCode =>   [balise BBCode]   texte ou contenu sur lequel appliquer la mise en forme ou le traitement de la balise   [/balise BBCode] | bbcode
24 Espace(s) surnuméraire(s) à supprimer. =>   [balise BBCode]   texte ou contenu sur lequel appliquer la mise en forme ou le traitement de la balise   [/balise BBCode] |     => suggestions : [' ']
24 Mot inconnu : BBCode =>   [balise BBCode]   texte ou contenu sur lequel appliquer la mise en forme ou le traitement de la balise   [/balise BBCode] | bbcode
28 Mot inconnu : Bold => ====Balise [B] : Bold (Gras)==== | bold

33 Mot inconnu : __souligner => Cette balise permet de __souligner le texte__. | __souligner
33 Mot inconnu : texte__ => Cette balise permet de __souligner le texte__. | texte__

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   [URL]   http://www.lien/vers/la/page.net  [/URL] |    => suggestions : ['']
36 Espace(s) surnuméraire(s) à supprimer. =>   [URL]   http://www.lien/vers/la/page.net  [/URL] |    => suggestions : [' ']

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   [URL=http://www.lien/vers/la/page.net]  Texte à afficher sur le lien  [/URL] |    => suggestions : ['']
38 Espace(s) surnuméraire(s) à supprimer. =>   [URL=http://www.lien/vers/la/page.net]  Texte à afficher sur le lien  [/URL] |    => suggestions : [' ']

43 Mot inconnu : IMG => ====Balise [IMG] : Image==== | img

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * soit sur votre serveur personnel |    => suggestions : ['']

53 Mot inconnu : BBCode => Les sites d'hébergement d'images fournissent souvent directement le BBCode à insérer dans un forum. Faites un simple copier/coller de celui-ci vers votre message. | bbcode
53 Copier-coller pour la verbe ou l’action, copié-collé (et ses variantes) pour ce qui est copié-collé. => Les sites d'hébergement d'images fournissent souvent directement le BBCode à insérer dans un forum. Faites un simple copier/coller de celui-ci vers votre message. | copier/coller => suggestions : ['copier-coller', 'copié-collé', 'copiée-collée', 'copiés-collés', 'copiées-collées']

55 Signe de multiplication typographique. => Si vous devez poster des grandes images, optez pour la création de vignette de 150x150 pixels (attention, tous les sites d'hébergement d'images ne le font pas). Vous obtiendrez un code à insérer dans votre message, qui affichera une petite vignette de votre image. Une fois le message posté, un clic sur la vignette permettra d'afficher l'image en taille réelle. Ceci permet d'accélérer le chargement des pages du forum, et de rendre les messages plus lisibles. | 150x150 => suggestions : ['150\xa0×\xa0150']
55 Mot inconnu : x150 => Si vous devez poster des grandes images, optez pour la création de vignette de 150x150 pixels (attention, tous les sites d'hébergement d'images ne le font pas). Vous obtiendrez un code à insérer dans votre message, qui affichera une petite vignette de votre image. Une fois le message posté, un clic sur la vignette permettra d'afficher l'image en taille réelle. Ceci permet d'accélérer le chargement des pages du forum, et de rendre les messages plus lisibles. | x150

60 Espace(s) surnuméraire(s) à supprimer. => C'est la balise à utiliser pour afficher de longs messages d'erreurs, des contenus de fichiers de configuration, des commandes à taper, etc.  Elle permet des messages plus "compacts", et est moins ambiguë que d'autres polices sur certains caractères. |    => suggestions : [' ']
60 Guillemets typographiques ouvrants. => C'est la balise à utiliser pour afficher de longs messages d'erreurs, des contenus de fichiers de configuration, des commandes à taper, etc.  Elle permet des messages plus "compacts", et est moins ambiguë que d'autres polices sur certains caractères. | " => suggestions : ['«\xa0', '“']
