
4 Mot inconnu : HRM => ====== Installation d'Orange HRM====== | hrm

7 Mot inconnu : HRM => [[https://www.orangehrm.com/|Orange HRM]] est un logiciel open-source de gestion des ressources humaines dans une entreprise. Ce tutoriel décrit la démarche à suivre pour l'installer et le configurer. | hrm

14 Mot inconnu : HRM => <note important>Orange HRM ne semble pas supporter PHP 7 (les fonctions de bases de données mysql_* ont été supprimées de cette version de PHP). </note> | hrm
14 Mot inconnu : mysql_ => <note important>Orange HRM ne semble pas supporter PHP 7 (les fonctions de bases de données mysql_* ont été supprimées de cette version de PHP). </note> | mysql_

16 Mot inconnu : HRM => Pour installer Orange HRM : | hrm

32 Mot inconnu : the => Faites attention à bien décocher la case "**use the same database user for OrangeHRM**" (ce qui signifie "utiliser ce même utilisateur pour OrangeHRM"), et créez plutôt un nouvel utilisateur **orangehrm** pour OrangeHRM, auquel vous aurez soin de donner également un mot de passe correctement sécurisé; puis autorisez le cryptage des données (cochez la case "**Enable Data Encryption**"). | the
32 Mot inconnu : database => Faites attention à bien décocher la case "**use the same database user for OrangeHRM**" (ce qui signifie "utiliser ce même utilisateur pour OrangeHRM"), et créez plutôt un nouvel utilisateur **orangehrm** pour OrangeHRM, auquel vous aurez soin de donner également un mot de passe correctement sécurisé; puis autorisez le cryptage des données (cochez la case "**Enable Data Encryption**"). | database
32 Mot inconnu : OrangeHRM => Faites attention à bien décocher la case "**use the same database user for OrangeHRM**" (ce qui signifie "utiliser ce même utilisateur pour OrangeHRM"), et créez plutôt un nouvel utilisateur **orangehrm** pour OrangeHRM, auquel vous aurez soin de donner également un mot de passe correctement sécurisé; puis autorisez le cryptage des données (cochez la case "**Enable Data Encryption**"). | orangehrm
32 Guillemets typographiques ouvrants. => Faites attention à bien décocher la case "**use the same database user for OrangeHRM**" (ce qui signifie "utiliser ce même utilisateur pour OrangeHRM"), et créez plutôt un nouvel utilisateur **orangehrm** pour OrangeHRM, auquel vous aurez soin de donner également un mot de passe correctement sécurisé; puis autorisez le cryptage des données (cochez la case "**Enable Data Encryption**"). | " => suggestions : ['«\xa0', '“']
32 Mot inconnu : OrangeHRM => Faites attention à bien décocher la case "**use the same database user for OrangeHRM**" (ce qui signifie "utiliser ce même utilisateur pour OrangeHRM"), et créez plutôt un nouvel utilisateur **orangehrm** pour OrangeHRM, auquel vous aurez soin de donner également un mot de passe correctement sécurisé; puis autorisez le cryptage des données (cochez la case "**Enable Data Encryption**"). | orangehrm
32 Guillemets typographiques fermants. => Faites attention à bien décocher la case "**use the same database user for OrangeHRM**" (ce qui signifie "utiliser ce même utilisateur pour OrangeHRM"), et créez plutôt un nouvel utilisateur **orangehrm** pour OrangeHRM, auquel vous aurez soin de donner également un mot de passe correctement sécurisé; puis autorisez le cryptage des données (cochez la case "**Enable Data Encryption**"). | " => suggestions : ['\xa0»', '”']
32 Mot inconnu : orangehrm => Faites attention à bien décocher la case "**use the same database user for OrangeHRM**" (ce qui signifie "utiliser ce même utilisateur pour OrangeHRM"), et créez plutôt un nouvel utilisateur **orangehrm** pour OrangeHRM, auquel vous aurez soin de donner également un mot de passe correctement sécurisé; puis autorisez le cryptage des données (cochez la case "**Enable Data Encryption**"). | orangehrm
32 Mot inconnu : OrangeHRM => Faites attention à bien décocher la case "**use the same database user for OrangeHRM**" (ce qui signifie "utiliser ce même utilisateur pour OrangeHRM"), et créez plutôt un nouvel utilisateur **orangehrm** pour OrangeHRM, auquel vous aurez soin de donner également un mot de passe correctement sécurisé; puis autorisez le cryptage des données (cochez la case "**Enable Data Encryption**"). | orangehrm
32 Mot inconnu : Enable => Faites attention à bien décocher la case "**use the same database user for OrangeHRM**" (ce qui signifie "utiliser ce même utilisateur pour OrangeHRM"), et créez plutôt un nouvel utilisateur **orangehrm** pour OrangeHRM, auquel vous aurez soin de donner également un mot de passe correctement sécurisé; puis autorisez le cryptage des données (cochez la case "**Enable Data Encryption**"). | enable
32 Mot inconnu : Encryption => Faites attention à bien décocher la case "**use the same database user for OrangeHRM**" (ce qui signifie "utiliser ce même utilisateur pour OrangeHRM"), et créez plutôt un nouvel utilisateur **orangehrm** pour OrangeHRM, auquel vous aurez soin de donner également un mot de passe correctement sécurisé; puis autorisez le cryptage des données (cochez la case "**Enable Data Encryption**"). | encryption

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  À l'écran suivant, il vous sera demandé de configurer le compte administrateur de l'application. Prenez garde du fait que le formulaire est sensible à la casse ("**Admin**" n'est pas équivalent à "**admin**"). Vous êtes libres de choisir ce que vous voulez, mais faites attention de les noter en lieu sûr et de choisir un mot de passe sûr.  |   => suggestions : ['']
34 Espace(s) en fin de ligne à supprimer. =>  À l'écran suivant, il vous sera demandé de configurer le compte administrateur de l'application. Prenez garde du fait que le formulaire est sensible à la casse ("**Admin**" n'est pas équivalent à "**admin**"). Vous êtes libres de choisir ce que vous voulez, mais faites attention de les noter en lieu sûr et de choisir un mot de passe sûr.  |   => suggestions : ['']
