
6 Mot inconnu : Partimage => ====== Sauvegarde d'une partition avec Partimage ====== | partimage

12 Mot inconnu : backup => == Ce principe est souvent utilisé pour sauvegarder l'intégralité d'un système d'exploitation (appelé aussi backup) == | backup
17 Espace(s) en fin de ligne à supprimer. => Sauvegarder une partition de son disque dur peut s'avérer bien utile dans certaines circonstances :  |   => suggestions : ['']
19 Mot inconnu : GRUB => * Préserver sa partition windows afin d'éviter une réinstallation causant la perte de votre GRUB | grub

23 Espace(s) en fin de ligne à supprimer. => * Essayer temporairement une autre distribution  |   => suggestions : ['']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

27 Typographie : points de suspension. Utilisez le caractère dédié. => * ... etc. | ... => suggestions : ['…']

29 Guillemets typographiques ouvrants. => J'utilise ici "partimage" afin de sauvegarder la ou les partitions souhaitées.   | " => suggestions : ['«\xa0', '“']
29 Mot inconnu : partimage => J'utilise ici "partimage" afin de sauvegarder la ou les partitions souhaitées.   | partimage
29 Guillemets typographiques fermants. => J'utilise ici "partimage" afin de sauvegarder la ou les partitions souhaitées.   | " => suggestions : ['\xa0»', '”']
29 Espace(s) en fin de ligne à supprimer. => J'utilise ici "partimage" afin de sauvegarder la ou les partitions souhaitées.   |    => suggestions : ['']
32 Mot inconnu : GiB => === La restauration de votre système peut prendre environ 20 min pour 40 GiB (Variable ) et votre système sera identique à celui sauvegardé === | gib
32 Pas d’espace avant ce signe. => === La restauration de votre système peut prendre environ 20 min pour 40 GiB (Variable ) et votre système sera identique à celui sauvegardé === |  ) => suggestions : [')']

47 Mot inconnu : Partimage => ===== Partimage (présentation) ===== | partimage

49 Mot inconnu : Partimage => Partimage est un logiciel graphiquement simple, mais graphique tout de même. (cependant très puissant), un "générique" de Ghost.  | partimage
49 Guillemets typographiques ouvrants. => Partimage est un logiciel graphiquement simple, mais graphique tout de même. (cependant très puissant), un "générique" de Ghost.  | " => suggestions : ['«\xa0', '“']
49 Guillemets typographiques fermants. => Partimage est un logiciel graphiquement simple, mais graphique tout de même. (cependant très puissant), un "générique" de Ghost.  | " => suggestions : ['\xa0»', '”']
49 Mot inconnu : Ghost => Partimage est un logiciel graphiquement simple, mais graphique tout de même. (cependant très puissant), un "générique" de Ghost.  | ghost
