1 Mot inconnu : Nautilus-scripts => ====== Mes Nautilus-scripts ====== | nautilus-scripts

6 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Lisez la documentation [[https://help.ubuntu.com/community/NautilusScriptsHowto|NautilusScriptsHowto]] |    => suggestions : ['']

7 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Lisez la documentation [[http://www.tldp.org/LDP/Bash-Beginners-Guide/html/Bash-Beginners-Guide.html|Bash : Guide pour debutant]] et notamment sa section 10.3.3 |    => suggestions : ['']
7 Mot inconnu : Bash =>   * Lisez la documentation [[http://www.tldp.org/LDP/Bash-Beginners-Guide/html/Bash-Beginners-Guide.html|Bash : Guide pour debutant]] et notamment sa section 10.3.3 | bash
7 Mot inconnu : debutant =>   * Lisez la documentation [[http://www.tldp.org/LDP/Bash-Beginners-Guide/html/Bash-Beginners-Guide.html|Bash : Guide pour debutant]] et notamment sa section 10.3.3 | debutant

9 Mot inconnu : video => ===== Un script pour lire rapidement et lestement audio & video  ===== | video
9 Espace(s) surnuméraire(s) à supprimer. => ===== Un script pour lire rapidement et lestement audio & video  ===== |    => suggestions : [' ']

11 Guillemets typographiques ouvrants. => Il s'agit du programme ''gmplayer'' installé par le paquet **[[apt>mplayer-gui]]** : | '' => suggestions : ['«\xa0', '“']
11 Mot inconnu : gmplayer => Il s'agit du programme ''gmplayer'' installé par le paquet **[[apt>mplayer-gui]]** : | gmplayer
11 Guillemets typographiques fermants. => Il s'agit du programme ''gmplayer'' installé par le paquet **[[apt>mplayer-gui]]** : | '' => suggestions : ['\xa0»', '”']
11 Mot inconnu : mplayer-gui => Il s'agit du programme ''gmplayer'' installé par le paquet **[[apt>mplayer-gui]]** : | mplayer-gui

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Allez dans le dossier des scripts nautilus |    => suggestions : ['']
12 Mot inconnu : nautilus =>   * Allez dans le dossier des scripts nautilus | nautilus

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Créez-y le fichier //gmplayerit// ou //mplayerit//, au choix |    => suggestions : ['']
13 Mot inconnu : gmplayerit =>   * Créez-y le fichier //gmplayerit// ou //mplayerit//, au choix | gmplayerit
13 Mot inconnu : mplayerit =>   * Créez-y le fichier //gmplayerit// ou //mplayerit//, au choix | mplayerit

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Rendez le exécutable, pour ne pas avoir à le faire après |    => suggestions : ['']
14 Élision de l’article devant un mot commençant par une voyelle. =>   * Rendez le exécutable, pour ne pas avoir à le faire après | le  => suggestions : ['l’']

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Éditez-le et copiez-collez-y le code suivant |    => suggestions : ['']

24 Guillemets typographiques ouvrants. => <note important>Comme dit dans le commentaire du script, il faut modifier le fichier ''skin'' de configuration en ne laissant aucune ligne desactivée ou commentée</note> | '' => suggestions : ['«\xa0', '“']
24 Guillemets typographiques fermants. => <note important>Comme dit dans le commentaire du script, il faut modifier le fichier ''skin'' de configuration en ne laissant aucune ligne desactivée ou commentée</note> | '' => suggestions : ['\xa0»', '”']
24 Mot inconnu : desactivée => <note important>Comme dit dans le commentaire du script, il faut modifier le fichier ''skin'' de configuration en ne laissant aucune ligne desactivée ou commentée</note> | desactivée

26 Mot inconnu : Clearplayer => ==== Exemple de configuration avec la skin Clearplayer ==== | clearplayer

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Installez si besoin le paquet **[[apt>mplayer-skins]]** |    => suggestions : ['']
28 Mot inconnu : mplayer-skins =>   * Installez si besoin le paquet **[[apt>mplayer-skins]]** | mplayer-skins

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Copiez dans votre dossier personnel la skin ''Clearplayer'' |    => suggestions : ['']
29 Guillemets typographiques ouvrants. =>   * Copiez dans votre dossier personnel la skin ''Clearplayer'' | '' => suggestions : ['«\xa0', '“']
29 Mot inconnu : Clearplayer =>   * Copiez dans votre dossier personnel la skin ''Clearplayer'' | clearplayer
29 Guillemets typographiques fermants. =>   * Copiez dans votre dossier personnel la skin ''Clearplayer'' | '' => suggestions : ['\xa0»', '”']

32 Guillemets typographiques ouvrants. => La skin de configuration ''Clearplayer'' se présente ainsi : | '' => suggestions : ['«\xa0', '“']
32 Mot inconnu : Clearplayer => La skin de configuration ''Clearplayer'' se présente ainsi : | clearplayer
32 Guillemets typographiques fermants. => La skin de configuration ''Clearplayer'' se présente ainsi : | '' => suggestions : ['\xa0»', '”']

76 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * supprimer absolument <del>//potmeter   = waves, 11,  0,  315,  63,  6,  14, evSetVolume//</del>. |    => suggestions : ['']
76 Mot inconnu : potmeter =>   * supprimer absolument <del>//potmeter   = waves, 11,  0,  315,  63,  6,  14, evSetVolume//</del>. | potmeter
76 Espace(s) surnuméraire(s) à supprimer. =>   * supprimer absolument <del>//potmeter   = waves, 11,  0,  315,  63,  6,  14, evSetVolume//</del>. |     => suggestions : [' ']
76 Mot inconnu : waves =>   * supprimer absolument <del>//potmeter   = waves, 11,  0,  315,  63,  6,  14, evSetVolume//</del>. | waves
76 Espace(s) surnuméraire(s) à supprimer. =>   * supprimer absolument <del>//potmeter   = waves, 11,  0,  315,  63,  6,  14, evSetVolume//</del>. |    => suggestions : [' ']
76 Espace(s) surnuméraire(s) à supprimer. =>   * supprimer absolument <del>//potmeter   = waves, 11,  0,  315,  63,  6,  14, evSetVolume//</del>. |    => suggestions : [' ']
76 Espace(s) surnuméraire(s) à supprimer. =>   * supprimer absolument <del>//potmeter   = waves, 11,  0,  315,  63,  6,  14, evSetVolume//</del>. |    => suggestions : [' ']
76 Espace(s) surnuméraire(s) à supprimer. =>   * supprimer absolument <del>//potmeter   = waves, 11,  0,  315,  63,  6,  14, evSetVolume//</del>. |    => suggestions : [' ']
76 Espace(s) surnuméraire(s) à supprimer. =>   * supprimer absolument <del>//potmeter   = waves, 11,  0,  315,  63,  6,  14, evSetVolume//</del>. |    => suggestions : [' ']
76 Mot inconnu : evSetVolume =>   * supprimer absolument <del>//potmeter   = waves, 11,  0,  315,  63,  6,  14, evSetVolume//</del>. | evsetvolume

77 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * modifier la valeur ''0'' dans la ligne //hpotmeter  = vol,   18, 14, NULL, 100,  ''0'', 331, 64,  45, 14, evSetVolume// , c'est une valeur en pourcentage, donnez-lui un incrément de 10, 20, 30 … 100. |    => suggestions : ['']
77 Guillemets typographiques ouvrants. =>   * modifier la valeur ''0'' dans la ligne //hpotmeter  = vol,   18, 14, NULL, 100,  ''0'', 331, 64,  45, 14, evSetVolume// , c'est une valeur en pourcentage, donnez-lui un incrément de 10, 20, 30 … 100. | '' => suggestions : ['«\xa0', '“']
77 Guillemets typographiques fermants. =>   * modifier la valeur ''0'' dans la ligne //hpotmeter  = vol,   18, 14, NULL, 100,  ''0'', 331, 64,  45, 14, evSetVolume// , c'est une valeur en pourcentage, donnez-lui un incrément de 10, 20, 30 … 100. | '' => suggestions : ['\xa0»', '”']
77 Mot inconnu : hpotmeter =>   * modifier la valeur ''0'' dans la ligne //hpotmeter  = vol,   18, 14, NULL, 100,  ''0'', 331, 64,  45, 14, evSetVolume// , c'est une valeur en pourcentage, donnez-lui un incrément de 10, 20, 30 … 100. | hpotmeter
77 Espace(s) surnuméraire(s) à supprimer. =>   * modifier la valeur ''0'' dans la ligne //hpotmeter  = vol,   18, 14, NULL, 100,  ''0'', 331, 64,  45, 14, evSetVolume// , c'est une valeur en pourcentage, donnez-lui un incrément de 10, 20, 30 … 100. |    => suggestions : [' ']
77 Espace(s) surnuméraire(s) à supprimer. =>   * modifier la valeur ''0'' dans la ligne //hpotmeter  = vol,   18, 14, NULL, 100,  ''0'', 331, 64,  45, 14, evSetVolume// , c'est une valeur en pourcentage, donnez-lui un incrément de 10, 20, 30 … 100. |     => suggestions : [' ']
77 Mot inconnu : NULL =>   * modifier la valeur ''0'' dans la ligne //hpotmeter  = vol,   18, 14, NULL, 100,  ''0'', 331, 64,  45, 14, evSetVolume// , c'est une valeur en pourcentage, donnez-lui un incrément de 10, 20, 30 … 100. | null
77 Espace(s) surnuméraire(s) à supprimer. =>   * modifier la valeur ''0'' dans la ligne //hpotmeter  = vol,   18, 14, NULL, 100,  ''0'', 331, 64,  45, 14, evSetVolume// , c'est une valeur en pourcentage, donnez-lui un incrément de 10, 20, 30 … 100. |    => suggestions : [' ']
77 Guillemets typographiques ouvrants. =>   * modifier la valeur ''0'' dans la ligne //hpotmeter  = vol,   18, 14, NULL, 100,  ''0'', 331, 64,  45, 14, evSetVolume// , c'est une valeur en pourcentage, donnez-lui un incrément de 10, 20, 30 … 100. | '' => suggestions : ['«\xa0', '“']
77 Guillemets typographiques fermants. =>   * modifier la valeur ''0'' dans la ligne //hpotmeter  = vol,   18, 14, NULL, 100,  ''0'', 331, 64,  45, 14, evSetVolume// , c'est une valeur en pourcentage, donnez-lui un incrément de 10, 20, 30 … 100. | '' => suggestions : ['\xa0»', '”']
77 Espace(s) surnuméraire(s) à supprimer. =>   * modifier la valeur ''0'' dans la ligne //hpotmeter  = vol,   18, 14, NULL, 100,  ''0'', 331, 64,  45, 14, evSetVolume// , c'est une valeur en pourcentage, donnez-lui un incrément de 10, 20, 30 … 100. |    => suggestions : [' ']
77 Mot inconnu : evSetVolume =>   * modifier la valeur ''0'' dans la ligne //hpotmeter  = vol,   18, 14, NULL, 100,  ''0'', 331, 64,  45, 14, evSetVolume// , c'est une valeur en pourcentage, donnez-lui un incrément de 10, 20, 30 … 100. | evsetvolume
77 Pas d’espace avant une virgule. =>   * modifier la valeur ''0'' dans la ligne //hpotmeter  = vol,   18, 14, NULL, 100,  ''0'', 331, 64,  45, 14, evSetVolume// , c'est une valeur en pourcentage, donnez-lui un incrément de 10, 20, 30 … 100. |  , => suggestions : [',']
77 Pas d’espace avant le signe “…”. =>   * modifier la valeur ''0'' dans la ligne //hpotmeter  = vol,   18, 14, NULL, 100,  ''0'', 331, 64,  45, 14, evSetVolume// , c'est une valeur en pourcentage, donnez-lui un incrément de 10, 20, 30 … 100. |  … => suggestions : ['…']

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * modifier absolument la ligne //window = sub// en ''window = video'' |    => suggestions : ['']
78 Mot inconnu : window =>   * modifier absolument la ligne //window = sub// en ''window = video'' | window
78 Mot inconnu : sub =>   * modifier absolument la ligne //window = sub// en ''window = video'' | sub
78 Guillemets typographiques ouvrants. =>   * modifier absolument la ligne //window = sub// en ''window = video'' | '' => suggestions : ['«\xa0', '“']
78 Mot inconnu : window =>   * modifier absolument la ligne //window = sub// en ''window = video'' | window
78 Mot inconnu : video =>   * modifier absolument la ligne //window = sub// en ''window = video'' | video
78 Guillemets typographiques fermants. =>   * modifier absolument la ligne //window = sub// en ''window = video'' | '' => suggestions : ['\xa0»', '”']

121 Guillemets typographiques ouvrants. => <note>Sélectionnez la skin ''Clearplayer'' dans le skin-browser de mplayer si vous ne l'avez pas déja fait.</note> | '' => suggestions : ['«\xa0', '“']
121 Mot inconnu : Clearplayer => <note>Sélectionnez la skin ''Clearplayer'' dans le skin-browser de mplayer si vous ne l'avez pas déja fait.</note> | clearplayer
121 Guillemets typographiques fermants. => <note>Sélectionnez la skin ''Clearplayer'' dans le skin-browser de mplayer si vous ne l'avez pas déja fait.</note> | '' => suggestions : ['\xa0»', '”']
121 Mot inconnu : skin-browser => <note>Sélectionnez la skin ''Clearplayer'' dans le skin-browser de mplayer si vous ne l'avez pas déja fait.</note> | skin-browser
121 Mot inconnu : mplayer => <note>Sélectionnez la skin ''Clearplayer'' dans le skin-browser de mplayer si vous ne l'avez pas déja fait.</note> | mplayer
121 Mot inconnu : déja => <note>Sélectionnez la skin ''Clearplayer'' dans le skin-browser de mplayer si vous ne l'avez pas déja fait.</note> | déja

123 Mot inconnu : Ask => → Plus d'infos chez **Ask Ubuntu** [[https://askubuntu.com/a/993241|Default audio volume with gmplayer]] | ask
123 Mot inconnu : Default => → Plus d'infos chez **Ask Ubuntu** [[https://askubuntu.com/a/993241|Default audio volume with gmplayer]] | default
123 Mot inconnu : with => → Plus d'infos chez **Ask Ubuntu** [[https://askubuntu.com/a/993241|Default audio volume with gmplayer]] | with
123 Mot inconnu : gmplayer => → Plus d'infos chez **Ask Ubuntu** [[https://askubuntu.com/a/993241|Default audio volume with gmplayer]] | gmplayer

125 Mot inconnu : pyrenamer => ===== Un script pour renommer en masse avec pyrenamer ===== | pyrenamer

127 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Installez le paquet **[[apt>pyrenamer]]** |    => suggestions : ['']
127 Mot inconnu : pyrenamer =>   * Installez le paquet **[[apt>pyrenamer]]** | pyrenamer

128 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Allez dans le dossier des scripts nautilus |    => suggestions : ['']
