
5 Mot inconnu : BI => ======Business Intelligence (BI) - L'Informatique décisionnelle libre ====== | bi
5 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => ======Business Intelligence (BI) - L'Informatique décisionnelle libre ====== |  -  => suggestions : [' – ', ' — ', ' − ']

27 Mot inconnu : OLAP => ====Les Outils d'analyse multidimensionnelle (OLAP) ==== | olap

34 Mot inconnu : mining => ====Solutions de Data mining - Exploration de données==== | mining
34 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => ====Solutions de Data mining - Exploration de données==== |  -  => suggestions : [' – ', ' — ', ' − ']

35 Mot inconnu : mining => Le processus d'extraction de motifs à partir de données est appelée data mining. Il est reconnu comme un outil essentiel par les entreprises modernes, car il est capable de convertir les données en intelligence d'affaires donnant ainsi un avantage informationnel. À l'heure actuelle, il est largement utilisé dans les pratiques de profilage, comme la surveillance, le marketing, la découverte scientifique, et la détection des fraudes. | mining

37 Incohérence : “intervenir” n’est pas un participe passé. => Il existe quatre types de tâches qui sont normalement intervenir dans les mines de données: | intervenir => suggestions : ['intervenus']

49 Mot inconnu : PMML => Ces trois premiers de ces systèmes sont capables d'importer et d'exporter les modèles dans PMML (Predictive Model Markup Language), qui fournit une méthode standard pour représenter des modèles d'exploration de données afin que celles-ci peuvent être partagés entre différentes applications statistiques. | pmml
49 Mot inconnu : Predictive => Ces trois premiers de ces systèmes sont capables d'importer et d'exporter les modèles dans PMML (Predictive Model Markup Language), qui fournit une méthode standard pour représenter des modèles d'exploration de données afin que celles-ci peuvent être partagés entre différentes applications statistiques. | predictive
49 Mot inconnu : Model => Ces trois premiers de ces systèmes sont capables d'importer et d'exporter les modèles dans PMML (Predictive Model Markup Language), qui fournit une méthode standard pour représenter des modèles d'exploration de données afin que celles-ci peuvent être partagés entre différentes applications statistiques. | model
49 Mot inconnu : Markup => Ces trois premiers de ces systèmes sont capables d'importer et d'exporter les modèles dans PMML (Predictive Model Markup Language), qui fournit une méthode standard pour représenter des modèles d'exploration de données afin que celles-ci peuvent être partagés entre différentes applications statistiques. | markup
49 Mot inconnu : Language => Ces trois premiers de ces systèmes sont capables d'importer et d'exporter les modèles dans PMML (Predictive Model Markup Language), qui fournit une méthode standard pour représenter des modèles d'exploration de données afin que celles-ci peuvent être partagés entre différentes applications statistiques. | language
49 Accord avec le sujet “celles-ci” : “partagés” devrait être au féminin pluriel. => Ces trois premiers de ces systèmes sont capables d'importer et d'exporter les modèles dans PMML (Predictive Model Markup Language), qui fournit une méthode standard pour représenter des modèles d'exploration de données afin que celles-ci peuvent être partagés entre différentes applications statistiques. | partagés => suggestions : ['partagées']

61 Pas d’espace avant une virgule. => Voir aussi [[cartographie]] , [[gps]] |  , => suggestions : [',']
61 Mot inconnu : gps => Voir aussi [[cartographie]] , [[gps]] | gps

63 Mot inconnu : DSS => Et [[http://en.wikipedia.org/wiki/Spatial_Decision_Support_System|spatial DSS]] sur [[http://sourceforge.net/search/?words=%22Decision+Support%22&type_of_search=soft&sort=num_downloads_week&sortdir=desc&limit=100|"Decision Support" sur sourceforge]] | dss
63 Guillemets typographiques ouvrants. => Et [[http://en.wikipedia.org/wiki/Spatial_Decision_Support_System|spatial DSS]] sur [[http://sourceforge.net/search/?words=%22Decision+Support%22&type_of_search=soft&sort=num_downloads_week&sortdir=desc&limit=100|"Decision Support" sur sourceforge]] | " => suggestions : ['«\xa0', '“']
63 Mot inconnu : Decision => Et [[http://en.wikipedia.org/wiki/Spatial_Decision_Support_System|spatial DSS]] sur [[http://sourceforge.net/search/?words=%22Decision+Support%22&type_of_search=soft&sort=num_downloads_week&sortdir=desc&limit=100|"Decision Support" sur sourceforge]] | decision
63 Guillemets typographiques fermants. => Et [[http://en.wikipedia.org/wiki/Spatial_Decision_Support_System|spatial DSS]] sur [[http://sourceforge.net/search/?words=%22Decision+Support%22&type_of_search=soft&sort=num_downloads_week&sortdir=desc&limit=100|"Decision Support" sur sourceforge]] | " => suggestions : ['\xa0»', '”']
63 Mot inconnu : sourceforge => Et [[http://en.wikipedia.org/wiki/Spatial_Decision_Support_System|spatial DSS]] sur [[http://sourceforge.net/search/?words=%22Decision+Support%22&type_of_search=soft&sort=num_downloads_week&sortdir=desc&limit=100|"Decision Support" sur sourceforge]] | sourceforge

67 Mot inconnu : Modéliseur => ====Modéliseur de flux==== | modéliseur

70 Mot inconnu : Extract => ====Extract Transform Load (ETL) - intergiciel de Synchronisation entre bdd==== | extract
70 Mot inconnu : Transform => ====Extract Transform Load (ETL) - intergiciel de Synchronisation entre bdd==== | transform
70 Mot inconnu : Load => ====Extract Transform Load (ETL) - intergiciel de Synchronisation entre bdd==== | load
70 Mot inconnu : ETL => ====Extract Transform Load (ETL) - intergiciel de Synchronisation entre bdd==== | etl
70 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => ====Extract Transform Load (ETL) - intergiciel de Synchronisation entre bdd==== |  -  => suggestions : [' – ', ' — ', ' − ']
70 Mot inconnu : bdd => ====Extract Transform Load (ETL) - intergiciel de Synchronisation entre bdd==== | bdd

72 Mot inconnu : ETL => Les ETL (Extract - Transform - Load) sont les outils les plus couramment utilisés pour la construction et l'alimentation des datawarehouse (entrepôts de données). | etl
72 Mot inconnu : Extract => Les ETL (Extract - Transform - Load) sont les outils les plus couramment utilisés pour la construction et l'alimentation des datawarehouse (entrepôts de données). | extract
72 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Les ETL (Extract - Transform - Load) sont les outils les plus couramment utilisés pour la construction et l'alimentation des datawarehouse (entrepôts de données). |  -  => suggestions : [' – ', ' — ', ' − ']
72 Mot inconnu : Transform => Les ETL (Extract - Transform - Load) sont les outils les plus couramment utilisés pour la construction et l'alimentation des datawarehouse (entrepôts de données). | transform
72 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Les ETL (Extract - Transform - Load) sont les outils les plus couramment utilisés pour la construction et l'alimentation des datawarehouse (entrepôts de données). |  -  => suggestions : [' – ', ' — ', ' − ']
72 Mot inconnu : Load => Les ETL (Extract - Transform - Load) sont les outils les plus couramment utilisés pour la construction et l'alimentation des datawarehouse (entrepôts de données). | load
72 Mot inconnu : datawarehouse => Les ETL (Extract - Transform - Load) sont les outils les plus couramment utilisés pour la construction et l'alimentation des datawarehouse (entrepôts de données). | datawarehouse

74 Mot inconnu : ETL => Il existe plusieurs ETL Open Source. Les plus complets et reconnus sont les suivants : | etl

80 Mot inconnu : SGBD => ====Les SGBD relationnels d'analyse==== | sgbd

83 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => ====Solutions open source - commerciale==== |  -  => suggestions : [' – ', ' — ', ' − ']

93 Pas d’espace après ce signe. => Analyse du marché ( et d'internet ) : | (  => suggestions : ['(']
93 Pas d’espace avant ce signe. => Analyse du marché ( et d'internet ) : |  ) => suggestions : [')']
