1 Mot inconnu : samyboy [[7:14]] => ====== samyboy ====== <|> samyboy
13 Mot inconnu : Jabber [[6:12]] =>   * **Jabber :** <sam chez fritalk point com> <|> jabber

17 Après un point, une majuscule est généralement requise. [[68:72]] => J'essaye d'aider autant les débutants que les bricoleurs kamikazes. pour autant qu'ils se donnent de la peine (rtfm). <|> pour => suggestions : ['Pour']
17 Mot inconnu : rtfm [[111:115]] => J'essaye d'aider autant les débutants que les bricoleurs kamikazes. pour autant qu'ils se donnent de la peine (rtfm). <|> rtfm

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']
22 Mot inconnu : Sarge [[60:65]] =>   * Administration système (avec une préférence pour Debian Sarge) <|> sarge
24 Mot inconnu : MySQL [[17:22]] =>   * Apache, PHP, MySQL et touti quanti <|> mysql
24 Mot inconnu : touti [[26:31]] =>   * Apache, PHP, MySQL et touti quanti <|> touti
30 Mot inconnu : Turntablism [[4:15]] =>   * Turntablism <|> turntablism
