2 Mot inconnu : seb73 [[7:12]] => ====== seb73 ====== <|> seb73

7 Accord de nombre erroné : « connaissance » devrait être au pluriel. [[93:105]] => |Distribution testée|<Ubuntu> <9.10>, je pense qu'il n'est pas nécessaire que je précise mes connaissance sous windows ...| <|> connaissance => suggestions : None
7 Typographie : points de suspension. Utilisez le caractère dédié. [[119:122]] => |Distribution testée|<Ubuntu> <9.10>, je pense qu'il n'est pas nécessaire que je précise mes connaissance sous windows ...| <|> ... => suggestions : None
10 Conjugaison erronée. Accord avec “on”. Le verbe devrait être à la 3ᵉ personne du singulier. [[143:149]] => Depuis l'âge de 10 ans, j'utilisai quotidiennement Windows jusqu'à me certifier au près de Microsoft, les dépannage et installation serveur on suivis en clientèles, <|> suivis => suggestions : None

11 Accord de nombre erroné : « mise » devrait être au pluriel. [[32:36]] => avec le temps le raz le bol des mise à jours, des viru,s du système en lui même c'est installé j'ai décidé de passé a la philosophie GNU et de passé tous mes clients, amis, et connaissance sur ce merveilleux système "Ubuntu" <|> mise => suggestions : None
11 Mot inconnu : viru [[50:54]] => avec le temps le raz le bol des mise à jours, des viru,s du système en lui même c'est installé j'ai décidé de passé a la philosophie GNU et de passé tous mes clients, amis, et connaissance sur ce merveilleux système "Ubuntu" <|> viru
11 Il manque un espace. [[55:56]] => avec le temps le raz le bol des mise à jours, des viru,s du système en lui même c'est installé j'ai décidé de passé a la philosophie GNU et de passé tous mes clients, amis, et connaissance sur ce merveilleux système "Ubuntu" <|> s => suggestions : None
11 Il manque un trait d’union si “même” se rapporte à “lui”. [[71:79]] => avec le temps le raz le bol des mise à jours, des viru,s du système en lui même c'est installé j'ai décidé de passé a la philosophie GNU et de passé tous mes clients, amis, et connaissance sur ce merveilleux système "Ubuntu" <|> lui même => suggestions : None
11 Après “décidé de”, le verbe devrait être à l’infinitif. [[110:115]] => avec le temps le raz le bol des mise à jours, des viru,s du système en lui même c'est installé j'ai décidé de passé a la philosophie GNU et de passé tous mes clients, amis, et connaissance sur ce merveilleux système "Ubuntu" <|> passé => suggestions : None
11 Guillemets typographiques ouvrants. [[216:217]] => avec le temps le raz le bol des mise à jours, des viru,s du système en lui même c'est installé j'ai décidé de passé a la philosophie GNU et de passé tous mes clients, amis, et connaissance sur ce merveilleux système "Ubuntu" <|> " => suggestions : None
11 Guillemets typographiques fermants. [[223:224]] => avec le temps le raz le bol des mise à jours, des viru,s du système en lui même c'est installé j'ai décidé de passé a la philosophie GNU et de passé tous mes clients, amis, et connaissance sur ce merveilleux système "Ubuntu" <|> " => suggestions : None

13 Incohérence avec “je” : “vie” devrait être un verbe, un pronom objet, un adverbe de négation, etc. [[17:20]] => D'ailleurs je le vie mieux car maintenant quand je vais chez des amis je vie pleinement mes relations avec eux, avant j'avais le droit à " Tiens au fait Séb j'en profite j'ai un problème avec mon pc, Windows affiche message d'erreur au démarrage...> <|> vie => suggestions : None
13 Incohérence avec “je” : “vie” devrait être un verbe, un pronom objet, un adverbe de négation, etc. [[73:76]] => D'ailleurs je le vie mieux car maintenant quand je vais chez des amis je vie pleinement mes relations avec eux, avant j'avais le droit à " Tiens au fait Séb j'en profite j'ai un problème avec mon pc, Windows affiche message d'erreur au démarrage...> <|> vie => suggestions : None
13 Guillemets isolés. [[136:139]] => D'ailleurs je le vie mieux car maintenant quand je vais chez des amis je vie pleinement mes relations avec eux, avant j'avais le droit à " Tiens au fait Séb j'en profite j'ai un problème avec mon pc, Windows affiche message d'erreur au démarrage...> <|>  "  => suggestions : None
13 Mot inconnu : Séb [[153:156]] => D'ailleurs je le vie mieux car maintenant quand je vais chez des amis je vie pleinement mes relations avec eux, avant j'avais le droit à " Tiens au fait Séb j'en profite j'ai un problème avec mon pc, Windows affiche message d'erreur au démarrage...> <|> séb
13 Typographie : points de suspension. Utilisez le caractère dédié. [[245:248]] => D'ailleurs je le vie mieux car maintenant quand je vais chez des amis je vie pleinement mes relations avec eux, avant j'avais le droit à " Tiens au fait Séb j'en profite j'ai un problème avec mon pc, Windows affiche message d'erreur au démarrage...> <|> ... => suggestions : None
14 Accord de nombre erroné : « même » devrait être au pluriel. [[159:163]] => Alors un jour je me suis fait une live usb que j'ai toujours dans mon porte feuille, la foi de trop ou on me demande de regarder le pc pour faire toujours les même chose "mise à jour d'av... anti virus, puis supprimé quelques entré dans le registre, j'ai proposé de leur faire découvrir la distrib et par le plus grand des hasard, quand je repart son pc et sous ubuntu arrivé chez moi je lui envoi un jolie mail avec les chose à savoir les manip à faire pour les mises à jour. <|> même => suggestions : None
14 Guillemets typographiques ouvrants. [[170:171]] => Alors un jour je me suis fait une live usb que j'ai toujours dans mon porte feuille, la foi de trop ou on me demande de regarder le pc pour faire toujours les même chose "mise à jour d'av... anti virus, puis supprimé quelques entré dans le registre, j'ai proposé de leur faire découvrir la distrib et par le plus grand des hasard, quand je repart son pc et sous ubuntu arrivé chez moi je lui envoi un jolie mail avec les chose à savoir les manip à faire pour les mises à jour. <|> " => suggestions : None
14 Typographie : un ou trois points ? [[188:190]] => Alors un jour je me suis fait une live usb que j'ai toujours dans mon porte feuille, la foi de trop ou on me demande de regarder le pc pour faire toujours les même chose "mise à jour d'av... anti virus, puis supprimé quelques entré dans le registre, j'ai proposé de leur faire découvrir la distrib et par le plus grand des hasard, quand je repart son pc et sous ubuntu arrivé chez moi je lui envoi un jolie mail avec les chose à savoir les manip à faire pour les mises à jour. <|> .. => suggestions : None
14 Accord de nombre erroné : « entré » devrait être au pluriel. [[226:231]] => Alors un jour je me suis fait une live usb que j'ai toujours dans mon porte feuille, la foi de trop ou on me demande de regarder le pc pour faire toujours les même chose "mise à jour d'av... anti virus, puis supprimé quelques entré dans le registre, j'ai proposé de leur faire découvrir la distrib et par le plus grand des hasard, quand je repart son pc et sous ubuntu arrivé chez moi je lui envoi un jolie mail avec les chose à savoir les manip à faire pour les mises à jour. <|> entré => suggestions : None
14 Mot inconnu : distrib [[290:297]] => Alors un jour je me suis fait une live usb que j'ai toujours dans mon porte feuille, la foi de trop ou on me demande de regarder le pc pour faire toujours les même chose "mise à jour d'av... anti virus, puis supprimé quelques entré dans le registre, j'ai proposé de leur faire découvrir la distrib et par le plus grand des hasard, quand je repart son pc et sous ubuntu arrivé chez moi je lui envoi un jolie mail avec les chose à savoir les manip à faire pour les mises à jour. <|> distrib
14 Accord de nombre erroné : « hasard » devrait être au pluriel. [[323:329]] => Alors un jour je me suis fait une live usb que j'ai toujours dans mon porte feuille, la foi de trop ou on me demande de regarder le pc pour faire toujours les même chose "mise à jour d'av... anti virus, puis supprimé quelques entré dans le registre, j'ai proposé de leur faire découvrir la distrib et par le plus grand des hasard, quand je repart son pc et sous ubuntu arrivé chez moi je lui envoi un jolie mail avec les chose à savoir les manip à faire pour les mises à jour. <|> hasard => suggestions : None
14 Conjugaison erronée. Accord avec “je”. Le verbe devrait être à la 1ʳᵉ personne du singulier. [[340:346]] => Alors un jour je me suis fait une live usb que j'ai toujours dans mon porte feuille, la foi de trop ou on me demande de regarder le pc pour faire toujours les même chose "mise à jour d'av... anti virus, puis supprimé quelques entré dans le registre, j'ai proposé de leur faire découvrir la distrib et par le plus grand des hasard, quand je repart son pc et sous ubuntu arrivé chez moi je lui envoi un jolie mail avec les chose à savoir les manip à faire pour les mises à jour. <|> repart => suggestions : None
14 Incohérence avec “je” : “envoi” devrait être un verbe, un pronom objet, un adverbe de négation, etc. [[392:397]] => Alors un jour je me suis fait une live usb que j'ai toujours dans mon porte feuille, la foi de trop ou on me demande de regarder le pc pour faire toujours les même chose "mise à jour d'av... anti virus, puis supprimé quelques entré dans le registre, j'ai proposé de leur faire découvrir la distrib et par le plus grand des hasard, quand je repart son pc et sous ubuntu arrivé chez moi je lui envoi un jolie mail avec les chose à savoir les manip à faire pour les mises à jour. <|> envoi => suggestions : None
14 Accord de genre erroné : « jolie » est féminin. [[398:400]] => Alors un jour je me suis fait une live usb que j'ai toujours dans mon porte feuille, la foi de trop ou on me demande de regarder le pc pour faire toujours les même chose "mise à jour d'av... anti virus, puis supprimé quelques entré dans le registre, j'ai proposé de leur faire découvrir la distrib et par le plus grand des hasard, quand je repart son pc et sous ubuntu arrivé chez moi je lui envoi un jolie mail avec les chose à savoir les manip à faire pour les mises à jour. <|> un => suggestions : None
14 Accord de genre erroné : « un » est un déterminant masculin. [[401:406]] => Alors un jour je me suis fait une live usb que j'ai toujours dans mon porte feuille, la foi de trop ou on me demande de regarder le pc pour faire toujours les même chose "mise à jour d'av... anti virus, puis supprimé quelques entré dans le registre, j'ai proposé de leur faire découvrir la distrib et par le plus grand des hasard, quand je repart son pc et sous ubuntu arrivé chez moi je lui envoi un jolie mail avec les chose à savoir les manip à faire pour les mises à jour. <|> jolie => suggestions : None
14 Accord de nombre erroné : « chose » devrait être au pluriel. [[421:426]] => Alors un jour je me suis fait une live usb que j'ai toujours dans mon porte feuille, la foi de trop ou on me demande de regarder le pc pour faire toujours les même chose "mise à jour d'av... anti virus, puis supprimé quelques entré dans le registre, j'ai proposé de leur faire découvrir la distrib et par le plus grand des hasard, quand je repart son pc et sous ubuntu arrivé chez moi je lui envoi un jolie mail avec les chose à savoir les manip à faire pour les mises à jour. <|> chose => suggestions : None
14 Accord de nombre erroné : « manip » devrait être au pluriel. [[440:445]] => Alors un jour je me suis fait une live usb que j'ai toujours dans mon porte feuille, la foi de trop ou on me demande de regarder le pc pour faire toujours les même chose "mise à jour d'av... anti virus, puis supprimé quelques entré dans le registre, j'ai proposé de leur faire découvrir la distrib et par le plus grand des hasard, quand je repart son pc et sous ubuntu arrivé chez moi je lui envoi un jolie mail avec les chose à savoir les manip à faire pour les mises à jour. <|> manip => suggestions : None

16 Typographie : un ou trois points ? [[126:128]] => Maintenant depuis que j'ai découvert Ubuntu avec mes amis je profite vraiment des moments passé ensemble on ne parle plus de W..do..> <|> .. => suggestions : None
16 Typographie : un ou trois points ? [[130:132]] => Maintenant depuis que j'ai découvert Ubuntu avec mes amis je profite vraiment des moments passé ensemble on ne parle plus de W..do..> <|> .. => suggestions : None

19 Confusion : « peut » est une conjugaison de “pouvoir”, utilisez “peu” pour dire “pas beaucoup”. [[47:51]] => <Toujours Satisfait, mais en ce moment j'ai un peut les nerf qui chaud car mon grub bug complètement j'ai du faire une petite erreur avec webmin ce qui fait que mon pc ne démarre plus sur le premier choix, je suis obligé des faire ESC puis prendre le choix deux puis cancel puis me loger et lancer startx pour démarrer correctement ma machine et de plus mon pc ne veut n'accepte plus les disque ou clé usb en 3 ans d'utilisation c'est le seul problème que je rencontre aujourd'hui. <|> peut => suggestions : None
19 Accord de nombre erroné : « nerf » devrait être au pluriel. [[56:60]] => <Toujours Satisfait, mais en ce moment j'ai un peut les nerf qui chaud car mon grub bug complètement j'ai du faire une petite erreur avec webmin ce qui fait que mon pc ne démarre plus sur le premier choix, je suis obligé des faire ESC puis prendre le choix deux puis cancel puis me loger et lancer startx pour démarrer correctement ma machine et de plus mon pc ne veut n'accepte plus les disque ou clé usb en 3 ans d'utilisation c'est le seul problème que je rencontre aujourd'hui. <|> nerf => suggestions : None
19 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. [[70:74]] => <Toujours Satisfait, mais en ce moment j'ai un peut les nerf qui chaud car mon grub bug complètement j'ai du faire une petite erreur avec webmin ce qui fait que mon pc ne démarre plus sur le premier choix, je suis obligé des faire ESC puis prendre le choix deux puis cancel puis me loger et lancer startx pour démarrer correctement ma machine et de plus mon pc ne veut n'accepte plus les disque ou clé usb en 3 ans d'utilisation c'est le seul problème que je rencontre aujourd'hui. <|>  car => suggestions : None
19 Participe passé de devoir : “dû”. [[106:108]] => <Toujours Satisfait, mais en ce moment j'ai un peut les nerf qui chaud car mon grub bug complètement j'ai du faire une petite erreur avec webmin ce qui fait que mon pc ne démarre plus sur le premier choix, je suis obligé des faire ESC puis prendre le choix deux puis cancel puis me loger et lancer startx pour démarrer correctement ma machine et de plus mon pc ne veut n'accepte plus les disque ou clé usb en 3 ans d'utilisation c'est le seul problème que je rencontre aujourd'hui. <|> du => suggestions : None
19 Incohérence avec “du” : “faire” est un verbe. [[109:114]] => <Toujours Satisfait, mais en ce moment j'ai un peut les nerf qui chaud car mon grub bug complètement j'ai du faire une petite erreur avec webmin ce qui fait que mon pc ne démarre plus sur le premier choix, je suis obligé des faire ESC puis prendre le choix deux puis cancel puis me loger et lancer startx pour démarrer correctement ma machine et de plus mon pc ne veut n'accepte plus les disque ou clé usb en 3 ans d'utilisation c'est le seul problème que je rencontre aujourd'hui. <|> faire => suggestions : None
19 Mot inconnu : webmin [[138:144]] => <Toujours Satisfait, mais en ce moment j'ai un peut les nerf qui chaud car mon grub bug complètement j'ai du faire une petite erreur avec webmin ce qui fait que mon pc ne démarre plus sur le premier choix, je suis obligé des faire ESC puis prendre le choix deux puis cancel puis me loger et lancer startx pour démarrer correctement ma machine et de plus mon pc ne veut n'accepte plus les disque ou clé usb en 3 ans d'utilisation c'est le seul problème que je rencontre aujourd'hui. <|> webmin
19 Incohérence avec « des » : « faire » est un verbe. [[225:230]] => <Toujours Satisfait, mais en ce moment j'ai un peut les nerf qui chaud car mon grub bug complètement j'ai du faire une petite erreur avec webmin ce qui fait que mon pc ne démarre plus sur le premier choix, je suis obligé des faire ESC puis prendre le choix deux puis cancel puis me loger et lancer startx pour démarrer correctement ma machine et de plus mon pc ne veut n'accepte plus les disque ou clé usb en 3 ans d'utilisation c'est le seul problème que je rencontre aujourd'hui. <|> faire => suggestions : None
19 Mot inconnu : ESC [[231:234]] => <Toujours Satisfait, mais en ce moment j'ai un peut les nerf qui chaud car mon grub bug complètement j'ai du faire une petite erreur avec webmin ce qui fait que mon pc ne démarre plus sur le premier choix, je suis obligé des faire ESC puis prendre le choix deux puis cancel puis me loger et lancer startx pour démarrer correctement ma machine et de plus mon pc ne veut n'accepte plus les disque ou clé usb en 3 ans d'utilisation c'est le seul problème que je rencontre aujourd'hui. <|> esc
19 Mot inconnu : startx [[298:304]] => <Toujours Satisfait, mais en ce moment j'ai un peut les nerf qui chaud car mon grub bug complètement j'ai du faire une petite erreur avec webmin ce qui fait que mon pc ne démarre plus sur le premier choix, je suis obligé des faire ESC puis prendre le choix deux puis cancel puis me loger et lancer startx pour démarrer correctement ma machine et de plus mon pc ne veut n'accepte plus les disque ou clé usb en 3 ans d'utilisation c'est le seul problème que je rencontre aujourd'hui. <|> startx

21 Accord de nombre erroné avec « utilisateurs ». [[109:114]] => Je Souhaite rencontrer virtuellement et dans la vie du monde utilisant Ubuntu j'ai besoin de partager avec d'autre utilisateurs, je souhaite également participer a des évènements au tour du libre si vous avez déjà participez a ces événement  je suis preneur d'infos ;) <|> autre => suggestions : None
21 Accord de nombre erroné avec « autre ». [[115:127]] => Je Souhaite rencontrer virtuellement et dans la vie du monde utilisant Ubuntu j'ai besoin de partager avec d'autre utilisateurs, je souhaite également participer a des évènements au tour du libre si vous avez déjà participez a ces événement  je suis preneur d'infos ;) <|> utilisateurs => suggestions : None
21 Ce verbe devrait être un participe passé au masculin singulier. [[214:224]] => Je Souhaite rencontrer virtuellement et dans la vie du monde utilisant Ubuntu j'ai besoin de partager avec d'autre utilisateurs, je souhaite également participer a des évènements au tour du libre si vous avez déjà participez a ces événement  je suis preneur d'infos ;) <|> participez => suggestions : None
21 Confusion probable : “a” est une conjugaison du verbe “avoir”. Pour la préposition, écrivez “à”. [[225:226]] => Je Souhaite rencontrer virtuellement et dans la vie du monde utilisant Ubuntu j'ai besoin de partager avec d'autre utilisateurs, je souhaite également participer a des évènements au tour du libre si vous avez déjà participez a ces événement  je suis preneur d'infos ;) <|> a => suggestions : None
