
3 Mot inconnu : QuerMit => Pourquoi QuerMit ? | quermit

5 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   -Ça me rappelle 'Kermit the frog' et ses 'Flash News with Kermit' ! |    => suggestions : ['']
5 Guillemets typographiques ouvrants. =>   -Ça me rappelle 'Kermit the frog' et ses 'Flash News with Kermit' ! | ' => suggestions : ['“', '‘', '‹']
5 Mot inconnu : Kermit =>   -Ça me rappelle 'Kermit the frog' et ses 'Flash News with Kermit' ! | kermit
5 Mot inconnu : the =>   -Ça me rappelle 'Kermit the frog' et ses 'Flash News with Kermit' ! | the
5 Mot inconnu : frog =>   -Ça me rappelle 'Kermit the frog' et ses 'Flash News with Kermit' ! | frog
5 Guillemets typographiques fermants. =>   -Ça me rappelle 'Kermit the frog' et ses 'Flash News with Kermit' ! | ' => suggestions : ['”', '’', '›']
5 Guillemets typographiques ouvrants. =>   -Ça me rappelle 'Kermit the frog' et ses 'Flash News with Kermit' ! | ' => suggestions : ['“', '‘', '‹']
5 Mot inconnu : with =>   -Ça me rappelle 'Kermit the frog' et ses 'Flash News with Kermit' ! | with
5 Mot inconnu : Kermit =>   -Ça me rappelle 'Kermit the frog' et ses 'Flash News with Kermit' ! | kermit
5 Guillemets typographiques fermants. =>   -Ça me rappelle 'Kermit the frog' et ses 'Flash News with Kermit' ! | ' => suggestions : ['”', '’', '›']

6 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   -Je ne voudrait surtout pas que Miss Peggy se fâche après moi ;-) |    => suggestions : ['']
6 Conjugaison erronée. Accord avec “Je”. Le verbe devrait être à la 1ʳᵉ personne du singulier. =>   -Je ne voudrait surtout pas que Miss Peggy se fâche après moi ;-) | voudrait => suggestions : ['voudrais']

7 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   -J'adore cette petite créature verte |    => suggestions : ['']

8 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   -Les trois première lettre vous apprend ma province natale Quebec |    => suggestions : ['']
8 Accord de nombre erroné avec « trois » : « première » devrait être au pluriel. =>   -Les trois première lettre vous apprend ma province natale Quebec | première => suggestions : ['premières']
8 Mot inconnu : Quebec =>   -Les trois première lettre vous apprend ma province natale Quebec | quebec

10 Forme interrogative ? Mettez un trait d’union. => Quel âge me donnez vous ? | donnez vous => suggestions : ['donnez-vous']

12 Accord de nombre erroné avec « grand » : « utilisateurs » devrait être au singulier. => Au plaisir de se voir sur le forum même si je ne suis as encore un grand utilisateurs de ceux-ci | utilisateurs => suggestions : ['utilisateur']
