1 Mot inconnu : Canigou [[7:14]] => ====== Canigou 66 ====== <|> canigou
5 Conjugaison erronée. Accord avec “tous”. Le verbe devrait être à la 3ᵉ personne du pluriel. [[74:78]] =>   * Après avoir beaucoup appris avec toute la Documentation que vous tous avez créée... <|> avez => suggestions : ont
5 Typographie : points de suspension. Utilisez le caractère dédié. [[84:87]] =>   * Après avoir beaucoup appris avec toute la Documentation que vous tous avez créée... <|> ... => suggestions : …

10 Mot inconnu : multiboot [[86:95]] => J'ai ponctué mon arrivée chez vous en février 2008 avec mon installation détaillée en multiboot Vista-Ubuntu version 7.10 : <|> multiboot
10 Mot inconnu : Vista-Ubuntu [[96:108]] => J'ai ponctué mon arrivée chez vous en février 2008 avec mon installation détaillée en multiboot Vista-Ubuntu version 7.10 : <|> vista-ubuntu

12 Confusion : “à” est une préposition. Pour le verbe avoir, écrivez “a”. [[11:12]] => Cette page à été lue à ce jour (11/11/2009) 15321 fois, tous mes efforts pour créer cette doc sont ici récompensés. <|> à => suggestions : a
12 Formatage des grands nombres. [[44:49]] => Cette page à été lue à ce jour (11/11/2009) 15321 fois, tous mes efforts pour créer cette doc sont ici récompensés. <|> 15321 => suggestions : 15 321

21 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. [[0:2]] => et je suis toujours là en février 2019. Depuis 10ans que je contribue à la maintenance de cette page. Il est vrai que ce logiciel m'a permis de tester des choses que je n'aurais jamais tenté sans cette sérénité que m'offre CloneZilla. Je viens de créer les paragraphes suivants : <|> et => suggestions : Et
21 Si “des choses…” est bien le COD du participe passé “tenté”, celui-ci devrait être au pluriel (et accordé en genre). [[185:190]] => et je suis toujours là en février 2019. Depuis 10ans que je contribue à la maintenance de cette page. Il est vrai que ce logiciel m'a permis de tester des choses que je n'aurais jamais tenté sans cette sérénité que m'offre CloneZilla. Je viens de créer les paragraphes suivants : <|> tenté => suggestions : tentés
21 Mot inconnu : CloneZilla [[223:233]] => et je suis toujours là en février 2019. Depuis 10ans que je contribue à la maintenance de cette page. Il est vrai que ce logiciel m'a permis de tester des choses que je n'aurais jamais tenté sans cette sérénité que m'offre CloneZilla. Je viens de créer les paragraphes suivants : <|> clonezilla
22 Écriture invariable. Utilisez un point médian. [[45:57]] =>   * Comment créer une image de sauvegarde de partition(s) ou de disque <|> partition(s) => suggestions : partition·s
23 Écriture invariable. Utilisez un point médian. [[49:61]] =>   * Comment restaurer une image de sauvegarde de partition(s) ou de disque <|> partition(s) => suggestions : partition·s
28 Il manque un espace. [[38:48]] =>   * Le 12/11/2009, 09:29 utilisateurs:canigou_66 – **petit titre pour un grand correcteur** :) YoBoY (version actuelle) <|> canigou_66 => suggestions :  canigou_66
28 Mot inconnu : canigou_66 [[38:48]] =>   * Le 12/11/2009, 09:29 utilisateurs:canigou_66 – **petit titre pour un grand correcteur** :) YoBoY (version actuelle) <|> canigou_66
28 Mot inconnu : YoBoY [[95:100]] =>   * Le 12/11/2009, 09:29 utilisateurs:canigou_66 – **petit titre pour un grand correcteur** :) YoBoY (version actuelle) <|> yoboy
31 Mot inconnu : YoBoy [[4:9]] =>   * YoBoy est certainement une personne qui s'implique sur notre site puisqu'il a des droits de modification sur les pages personnelles des utilisateurs. <|> yoboy
33 Typographie : points de suspension. Utilisez le caractère dédié. [[18:21]] =>   * Salut Philippe... à nous tous nous ferons de grandes choses... <|> ... => suggestions : …
33 Typographie : points de suspension. Utilisez le caractère dédié. [[63:66]] =>   * Salut Philippe... à nous tous nous ferons de grandes choses... <|> ... => suggestions : …
37 Guillemets typographiques ouvrants. [[23:24]] =>   * Inscription sur la "Liste des utilisateurs du wiki francophone d'Ubuntu-fr" le 01/03/2011 ; (il était temps : je participe depuis février 2008). <|> " => suggestions : « “
37 Guillemets typographiques fermants. [[78:79]] =>   * Inscription sur la "Liste des utilisateurs du wiki francophone d'Ubuntu-fr" le 01/03/2011 ; (il était temps : je participe depuis février 2008). <|> " => suggestions :  »”

46 Mot inconnu : The [[15:18]] => === Mes dons à The Document Foundation - LibreOffice === <|> the
46 Mot inconnu : Foundation [[28:38]] => === Mes dons à The Document Foundation - LibreOffice === <|> foundation
46 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[38:41]] => === Mes dons à The Document Foundation - LibreOffice === <|>  -  => suggestions :  –  —  − 

50 Mot inconnu : clonezilla [[12:22]] => Préparation clonezilla : restauration... <|> clonezilla
50 Typographie : points de suspension. Utilisez le caractère dédié. [[37:40]] => Préparation clonezilla : restauration... <|> ... => suggestions : …

52 Écriture invariable. Utilisez un point médian. [[50:62]] => ==== Comment restaurer une image de sauvegarde de partition(s) ou de disque ==== <|> partition(s) => suggestions : partition·s
55 Écriture invariable. Utilisez un point médian. [[25:37]] =>   * restaurer l'image de partition(s) \\ ou <|> partition(s) => suggestions : partition·s

58 Typographie : points de suspension. Utilisez le caractère dédié. [[89:92]] => Les différentes étapes sont numérotées, chacune requiert votre intervention. Prêt, partez... <|> ... => suggestions : …

61 Mot inconnu : CloneZilla [[23:33]] => === Écran de démarrage CloneZilla === <|> clonezilla
62 Espace(s) en fin de ligne à supprimer. [[81:82]] =>   * Au démarrage du live CD, vous aurez un écran de démarrage assez accueillant ;  <|>  
63 Mot inconnu : Clonezilla [[4:14]] =>   * Clonezilla live (Default settings, VGA 800x600) \\ ou  <|> clonezilla
63 Mot inconnu : Default [[21:28]] =>   * Clonezilla live (Default settings, VGA 800x600) \\ ou  <|> default
63 Mot inconnu : settings [[29:37]] =>   * Clonezilla live (Default settings, VGA 800x600) \\ ou  <|> settings
63 Signe de multiplication typographique. [[43:50]] =>   * Clonezilla live (Default settings, VGA 800x600) \\ ou  <|> 800x600 => suggestions : 800 × 600
63 Mot inconnu : x600 [[46:50]] =>   * Clonezilla live (Default settings, VGA 800x600) \\ ou  <|> x600
63 Espace(s) en fin de ligne à supprimer. [[57:58]] =>   * Clonezilla live (Default settings, VGA 800x600) \\ ou  <|>  
64 Mot inconnu : Clonezilla [[4:14]] =>   * Clonezilla live (Defaut setting VGA 1024x768) ; <|> clonezilla
64 Mot inconnu : Defaut [[21:27]] =>   * Clonezilla live (Defaut setting VGA 1024x768) ; <|> defaut
64 Mot inconnu : setting [[28:35]] =>   * Clonezilla live (Defaut setting VGA 1024x768) ; <|> setting
64 Signe de multiplication typographique. [[40:48]] =>   * Clonezilla live (Defaut setting VGA 1024x768) ; <|> 1024x768 => suggestions : 1024 × 768
64 Mot inconnu : x768 [[44:48]] =>   * Clonezilla live (Defaut setting VGA 1024x768) ; <|> x768
65 Mot inconnu : clonezilla [[104:114]] =>   * Si vous souhaitez stocker une image de votre système sur la clé USB sur laquelle vous avez installé clonezilla, choisissez alors de charger clonezilla en mémoire vive <|> clonezilla
65 Mot inconnu : clonezilla [[144:154]] =>   * Si vous souhaitez stocker une image de votre système sur la clé USB sur laquelle vous avez installé clonezilla, choisissez alors de charger clonezilla en mémoire vive <|> clonezilla
66 Après le verbe “faire”, ce verbe devrait être à l’infinitif. [[11:17]] =>   * Faites Entrée <|> entrée => suggestions : Entrer
70 Typographie : points de suspension. Utilisez le caractère dédié. [[13:16]] =>   * Patientez... cela peut durer un moment <|> ... => suggestions : …
