1 Mot inconnu : Exod [[7:11]] => ====== Exod ====== <|> exod

6 Mot inconnu : HESB-TI [[41:48]] => Étudiant en Bachelor d'informatique à la HESB-TI (à Bienne, Suisse), j'ai obtenu une maturité (un équivalent du bac, en un peu plus exigeant) en mathématiques et physique en 2004. <|> hesb-ti
8 Mot inconnu : D800 [[30:34]] =>   * Un portable Dell Latitude D800 (Ubuntu) <|> d800
9 Mot inconnu : Epia [[11:15]] =>   * Un Via Epia M monté maison (Ubuntu avec XP en machine virtuelle, pas le choix, hélas) <|> epia
10 Mot inconnu : P4G8X [[13:18]] =>   * Un vieux P4G8X + P4(2667MHz) monté maison (Ubuntu et XP pour ma soeur) <|> p4g8x
10 Mot inconnu : P4 [[21:23]] =>   * Un vieux P4G8X + P4(2667MHz) monté maison (Ubuntu et XP pour ma soeur) <|> p4
10 Il manque un espace avant la parenthèse. [[23:24]] =>   * Un vieux P4G8X + P4(2667MHz) monté maison (Ubuntu et XP pour ma soeur) <|> ( => suggestions : None
10 Mot inconnu : soeur [[68:73]] =>   * Un vieux P4G8X + P4(2667MHz) monté maison (Ubuntu et XP pour ma soeur) <|> soeur
11 Mot inconnu : Inspiron [[12:20]] =>   * Un Dell Inspiron 530 Ubuntu dans une entreprise (administration seulement) <|> inspiron

13 Mot inconnu : jerome [[18:24]] => Par courriel, sur jerome [point] jolidon [à] bluewin [point] ch. <|> jerome
13 Mot inconnu : jolidon [[33:40]] => Par courriel, sur jerome [point] jolidon [à] bluewin [point] ch. <|> jolidon
13 Mot inconnu : bluewin [[45:52]] => Par courriel, sur jerome [point] jolidon [à] bluewin [point] ch. <|> bluewin
