1 Mot inconnu : Scid => ====== Scid ====== | scid

3 Mot inconnu : Scid => >Scid (**S**hane's **C**hess **I**nformation **D**atabase) est une application de base de données pour les échecs.(auteur Shane Hudson, modifié par Pascal Georges) | scid
3 Mot inconnu : hane's => >Scid (**S**hane's **C**hess **I**nformation **D**atabase) est une application de base de données pour les échecs.(auteur Shane Hudson, modifié par Pascal Georges) | hane's
3 Mot inconnu : hess => >Scid (**S**hane's **C**hess **I**nformation **D**atabase) est une application de base de données pour les échecs.(auteur Shane Hudson, modifié par Pascal Georges) | hess
3 Mot inconnu : nformation => >Scid (**S**hane's **C**hess **I**nformation **D**atabase) est une application de base de données pour les échecs.(auteur Shane Hudson, modifié par Pascal Georges) | nformation
3 Mot inconnu : atabase => >Scid (**S**hane's **C**hess **I**nformation **D**atabase) est une application de base de données pour les échecs.(auteur Shane Hudson, modifié par Pascal Georges) | atabase

8 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée ; |    => suggestions : ['']

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Avoir téléchargé la dernière version de Scid http://prdownloads.sourceforge.net/scid/scid-3.6.26.tar.bz2 |    => suggestions : ['']
12 Mot inconnu : Scid =>   * Avoir téléchargé la dernière version de Scid http://prdownloads.sourceforge.net/scid/scid-3.6.26.tar.bz2 | scid

16 Espace(s) en fin de ligne à supprimer. => Il vous suffit, pour cela,  |   => suggestions : ['']

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    sudo apt-get remove --purge tcl8.4 tcl8.4-dev tk8.4 tk8.4-dev scid tcl8.3 tk8.3 tcl8.3-dev tk8.3-dev //deinstalle les anciens paquets |     => suggestions : ['']
18 Mot inconnu : sudo =>    sudo apt-get remove --purge tcl8.4 tcl8.4-dev tk8.4 tk8.4-dev scid tcl8.3 tk8.3 tcl8.3-dev tk8.3-dev //deinstalle les anciens paquets | sudo
18 Mot inconnu : apt-get =>    sudo apt-get remove --purge tcl8.4 tcl8.4-dev tk8.4 tk8.4-dev scid tcl8.3 tk8.3 tcl8.3-dev tk8.3-dev //deinstalle les anciens paquets | apt-get
18 Mot inconnu : remove =>    sudo apt-get remove --purge tcl8.4 tcl8.4-dev tk8.4 tk8.4-dev scid tcl8.3 tk8.3 tcl8.3-dev tk8.3-dev //deinstalle les anciens paquets | remove
18 Mot inconnu : tcl8 =>    sudo apt-get remove --purge tcl8.4 tcl8.4-dev tk8.4 tk8.4-dev scid tcl8.3 tk8.3 tcl8.3-dev tk8.3-dev //deinstalle les anciens paquets | tcl8
18 Mot inconnu : tcl8 =>    sudo apt-get remove --purge tcl8.4 tcl8.4-dev tk8.4 tk8.4-dev scid tcl8.3 tk8.3 tcl8.3-dev tk8.3-dev //deinstalle les anciens paquets | tcl8
18 Mot inconnu : dev =>    sudo apt-get remove --purge tcl8.4 tcl8.4-dev tk8.4 tk8.4-dev scid tcl8.3 tk8.3 tcl8.3-dev tk8.3-dev //deinstalle les anciens paquets | dev
18 Mot inconnu : tk8 =>    sudo apt-get remove --purge tcl8.4 tcl8.4-dev tk8.4 tk8.4-dev scid tcl8.3 tk8.3 tcl8.3-dev tk8.3-dev //deinstalle les anciens paquets | tk8
18 Mot inconnu : tk8 =>    sudo apt-get remove --purge tcl8.4 tcl8.4-dev tk8.4 tk8.4-dev scid tcl8.3 tk8.3 tcl8.3-dev tk8.3-dev //deinstalle les anciens paquets | tk8
18 Mot inconnu : dev =>    sudo apt-get remove --purge tcl8.4 tcl8.4-dev tk8.4 tk8.4-dev scid tcl8.3 tk8.3 tcl8.3-dev tk8.3-dev //deinstalle les anciens paquets | dev
18 Mot inconnu : scid =>    sudo apt-get remove --purge tcl8.4 tcl8.4-dev tk8.4 tk8.4-dev scid tcl8.3 tk8.3 tcl8.3-dev tk8.3-dev //deinstalle les anciens paquets | scid
18 Mot inconnu : tcl8 =>    sudo apt-get remove --purge tcl8.4 tcl8.4-dev tk8.4 tk8.4-dev scid tcl8.3 tk8.3 tcl8.3-dev tk8.3-dev //deinstalle les anciens paquets | tcl8
18 Mot inconnu : tk8 =>    sudo apt-get remove --purge tcl8.4 tcl8.4-dev tk8.4 tk8.4-dev scid tcl8.3 tk8.3 tcl8.3-dev tk8.3-dev //deinstalle les anciens paquets | tk8
18 Mot inconnu : tcl8 =>    sudo apt-get remove --purge tcl8.4 tcl8.4-dev tk8.4 tk8.4-dev scid tcl8.3 tk8.3 tcl8.3-dev tk8.3-dev //deinstalle les anciens paquets | tcl8
18 Mot inconnu : dev =>    sudo apt-get remove --purge tcl8.4 tcl8.4-dev tk8.4 tk8.4-dev scid tcl8.3 tk8.3 tcl8.3-dev tk8.3-dev //deinstalle les anciens paquets | dev
18 Mot inconnu : tk8 =>    sudo apt-get remove --purge tcl8.4 tcl8.4-dev tk8.4 tk8.4-dev scid tcl8.3 tk8.3 tcl8.3-dev tk8.3-dev //deinstalle les anciens paquets | tk8
18 Mot inconnu : dev =>    sudo apt-get remove --purge tcl8.4 tcl8.4-dev tk8.4 tk8.4-dev scid tcl8.3 tk8.3 tcl8.3-dev tk8.3-dev //deinstalle les anciens paquets | dev
18 Mot inconnu : deinstalle =>    sudo apt-get remove --purge tcl8.4 tcl8.4-dev tk8.4 tk8.4-dev scid tcl8.3 tk8.3 tcl8.3-dev tk8.3-dev //deinstalle les anciens paquets | deinstalle

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    sudo apt-get install wget g++ make tcl8.5 tcl8.5-dev tk8.5 tk8.5-dev libsnack2 libtk-img // installation des paquets necessaires |     => suggestions : ['']
19 Mot inconnu : sudo =>    sudo apt-get install wget g++ make tcl8.5 tcl8.5-dev tk8.5 tk8.5-dev libsnack2 libtk-img // installation des paquets necessaires | sudo
19 Mot inconnu : apt-get =>    sudo apt-get install wget g++ make tcl8.5 tcl8.5-dev tk8.5 tk8.5-dev libsnack2 libtk-img // installation des paquets necessaires | apt-get
19 Mot inconnu : install =>    sudo apt-get install wget g++ make tcl8.5 tcl8.5-dev tk8.5 tk8.5-dev libsnack2 libtk-img // installation des paquets necessaires | install
19 Mot inconnu : wget =>    sudo apt-get install wget g++ make tcl8.5 tcl8.5-dev tk8.5 tk8.5-dev libsnack2 libtk-img // installation des paquets necessaires | wget
19 Mot inconnu : make =>    sudo apt-get install wget g++ make tcl8.5 tcl8.5-dev tk8.5 tk8.5-dev libsnack2 libtk-img // installation des paquets necessaires | make
19 Mot inconnu : tcl8 =>    sudo apt-get install wget g++ make tcl8.5 tcl8.5-dev tk8.5 tk8.5-dev libsnack2 libtk-img // installation des paquets necessaires | tcl8
19 Mot inconnu : tcl8 =>    sudo apt-get install wget g++ make tcl8.5 tcl8.5-dev tk8.5 tk8.5-dev libsnack2 libtk-img // installation des paquets necessaires | tcl8
19 Mot inconnu : dev =>    sudo apt-get install wget g++ make tcl8.5 tcl8.5-dev tk8.5 tk8.5-dev libsnack2 libtk-img // installation des paquets necessaires | dev
19 Mot inconnu : tk8 =>    sudo apt-get install wget g++ make tcl8.5 tcl8.5-dev tk8.5 tk8.5-dev libsnack2 libtk-img // installation des paquets necessaires | tk8
19 Mot inconnu : tk8 =>    sudo apt-get install wget g++ make tcl8.5 tcl8.5-dev tk8.5 tk8.5-dev libsnack2 libtk-img // installation des paquets necessaires | tk8
19 Mot inconnu : dev =>    sudo apt-get install wget g++ make tcl8.5 tcl8.5-dev tk8.5 tk8.5-dev libsnack2 libtk-img // installation des paquets necessaires | dev
19 Mot inconnu : libsnack2 =>    sudo apt-get install wget g++ make tcl8.5 tcl8.5-dev tk8.5 tk8.5-dev libsnack2 libtk-img // installation des paquets necessaires | libsnack2
19 Mot inconnu : libtk-img =>    sudo apt-get install wget g++ make tcl8.5 tcl8.5-dev tk8.5 tk8.5-dev libsnack2 libtk-img // installation des paquets necessaires | libtk-img
19 Mot inconnu : necessaires =>    sudo apt-get install wget g++ make tcl8.5 tcl8.5-dev tk8.5 tk8.5-dev libsnack2 libtk-img // installation des paquets necessaires | necessaires

