1 Mot inconnu : NiKo => ====== NiKo ====== | niko
3 Mot inconnu : Perriault => Nom réel : Nicolas Perriault | perriault

8 Mot inconnu : Jabber => Jabber : <nperriault AT jabber DOT org> | jabber

12 Mot inconnu : ubuntu-fr => Ce que je peux faire pour ubuntu-fr | ubuntu-fr

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Publier lorsque je le peux (et que cela n'a pas déjà été fait) mes trucs et astuces pour Ubuntu. |    => suggestions : ['']

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Donner un coup de main, si j'ai un peu de temps ;)  |    => suggestions : ['']
15 Espace(s) en fin de ligne à supprimer. =>   * Donner un coup de main, si j'ai un peu de temps ;)  |   => suggestions : ['']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

20 Mot inconnu : XHTML => XHTML, CSS2, PHP, SQL, AJAX, SWF | xhtml
20 Mot inconnu : CSS2 => XHTML, CSS2, PHP, SQL, AJAX, SWF | css2
20 Mot inconnu : AJAX => XHTML, CSS2, PHP, SQL, AJAX, SWF | ajax
20 Mot inconnu : SWF => XHTML, CSS2, PHP, SQL, AJAX, SWF | swf
