1 Mot inconnu : roxnin => ==== roxnin ==== | roxnin

3 Mot inconnu : celà => Je suis un ancien du monde Windows (commencé avec 98 sur mon propre ordinateur, et utilisé un peu depuis le 3.11 sur ceux des autres), celà fait depuis début 2007 que j'utilise Ubuntu (Edgy puis maintenant Feisty), ne retournant que peu sur une partition Xp qui me sert de moins en moins.  | celà
3 Mot inconnu : Edgy => Je suis un ancien du monde Windows (commencé avec 98 sur mon propre ordinateur, et utilisé un peu depuis le 3.11 sur ceux des autres), celà fait depuis début 2007 que j'utilise Ubuntu (Edgy puis maintenant Feisty), ne retournant que peu sur une partition Xp qui me sert de moins en moins.  | edgy
3 Mot inconnu : Feisty => Je suis un ancien du monde Windows (commencé avec 98 sur mon propre ordinateur, et utilisé un peu depuis le 3.11 sur ceux des autres), celà fait depuis début 2007 que j'utilise Ubuntu (Edgy puis maintenant Feisty), ne retournant que peu sur une partition Xp qui me sert de moins en moins.  | feisty
3 Mot inconnu : Xp => Je suis un ancien du monde Windows (commencé avec 98 sur mon propre ordinateur, et utilisé un peu depuis le 3.11 sur ceux des autres), celà fait depuis début 2007 que j'utilise Ubuntu (Edgy puis maintenant Feisty), ne retournant que peu sur une partition Xp qui me sert de moins en moins.  | xp
3 Espace(s) en fin de ligne à supprimer. => Je suis un ancien du monde Windows (commencé avec 98 sur mon propre ordinateur, et utilisé un peu depuis le 3.11 sur ceux des autres), celà fait depuis début 2007 que j'utilise Ubuntu (Edgy puis maintenant Feisty), ne retournant que peu sur une partition Xp qui me sert de moins en moins.  |   => suggestions : ['']

5 Mot inconnu : Photoshop => J'utilise pas mal Photoshop (7 avec Wine), un peu Gimp, Compiz-fusion et Firefox pour les principaux, et je tourne avec Gnome, que j'aime bien pour son organisation et sa capacité de customisation.  | photoshop
5 Mot inconnu : Wine => J'utilise pas mal Photoshop (7 avec Wine), un peu Gimp, Compiz-fusion et Firefox pour les principaux, et je tourne avec Gnome, que j'aime bien pour son organisation et sa capacité de customisation.  | wine
5 Mot inconnu : Compiz-fusion => J'utilise pas mal Photoshop (7 avec Wine), un peu Gimp, Compiz-fusion et Firefox pour les principaux, et je tourne avec Gnome, que j'aime bien pour son organisation et sa capacité de customisation.  | compiz-fusion
5 Espace(s) en fin de ligne à supprimer. => J'utilise pas mal Photoshop (7 avec Wine), un peu Gimp, Compiz-fusion et Firefox pour les principaux, et je tourne avec Gnome, que j'aime bien pour son organisation et sa capacité de customisation.  |   => suggestions : ['']

7 Mot inconnu : oeil => Je suis passé sous Ubuntu avant tout pour avoir un système solide, qui plante pas et configurable au doigt et à l'oeil tout en étant assez aisé à utiliser (d'ou mon choix d'Ubuntu, même si je n'exclue pas de tester d'autres distributions un peu plus tard), et aussi un peu je dois l'avouer pour les jolis effets de bureau LOL. | oeil
7 Confusion. La conjonction “ou” signale une alternative. Pour évoquer un lieu, un temps ou une situation, écrivez “où”. => Je suis passé sous Ubuntu avant tout pour avoir un système solide, qui plante pas et configurable au doigt et à l'oeil tout en étant assez aisé à utiliser (d'ou mon choix d'Ubuntu, même si je n'exclue pas de tester d'autres distributions un peu plus tard), et aussi un peu je dois l'avouer pour les jolis effets de bureau LOL. | ou => suggestions : ['où']

11 Si cet adjectif se réfère au pronom « j’ », l’adjectif devrait être au singulier (et accordé en genre). => Assez maigres pour l'instant, j'ai surtout apporté quelques corrections de français ou petits ajouts aux articles sur le wiki, mais peut-être que je finirai par y mettre du plus gros un jour... :-D | maigres => suggestions : ['maigre']
11 Typographie : points de suspension. Utilisez le caractère dédié. => Assez maigres pour l'instant, j'ai surtout apporté quelques corrections de français ou petits ajouts aux articles sur le wiki, mais peut-être que je finirai par y mettre du plus gros un jour... :-D | ... => suggestions : ['…']
16 Mot inconnu : roxnin => Forum : roxnin, tout simplement 8-). | roxnin

18 Mot inconnu : Irc => Irc : Je suis peu présent en ce moment, donc pas la peine pour l'instant (désolé...). | irc
18 Typographie : points de suspension. Utilisez le caractère dédié. => Irc : Je suis peu présent en ce moment, donc pas la peine pour l'instant (désolé...). | ... => suggestions : ['…']
20 Mot inconnu : hotmail => Mail : Je suis chez hotmail, par flemme de changer en fait (oui je sais...), mon mail est mon pseudo, sur le domaine français de hotmail (également utilisable pour msn). | hotmail
20 Typographie : points de suspension. Utilisez le caractère dédié. => Mail : Je suis chez hotmail, par flemme de changer en fait (oui je sais...), mon mail est mon pseudo, sur le domaine français de hotmail (également utilisable pour msn). | ... => suggestions : ['…']
20 Mot inconnu : hotmail => Mail : Je suis chez hotmail, par flemme de changer en fait (oui je sais...), mon mail est mon pseudo, sur le domaine français de hotmail (également utilisable pour msn). | hotmail
20 Mot inconnu : msn => Mail : Je suis chez hotmail, par flemme de changer en fait (oui je sais...), mon mail est mon pseudo, sur le domaine français de hotmail (également utilisable pour msn). | msn

30 Mot inconnu : AlSim => ~o AlSim o~ | alsim

33 Typographie : points de suspension. Utilisez le caractère dédié. => ... | ... => suggestions : ['…']

36 Mot inconnu : roxnin => *roxnin sifflote.... ^_^ | roxnin
36 Typographie : points de suspension. Utilisez le caractère dédié. => *roxnin sifflote.... ^_^ | .... => suggestions : ['…']
