1 Mot inconnu : Thibouf => ====== Thibouf ====== | thibouf

4 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Utilisateur d'ubuntu depuis près de 2 ans (mais toujours en Dual Boot...) |    => suggestions : ['']
4 Mot inconnu : Boot =>   * Utilisateur d'ubuntu depuis près de 2 ans (mais toujours en Dual Boot...) | boot
4 Typographie : points de suspension. Utilisez le caractère dédié. =>   * Utilisateur d'ubuntu depuis près de 2 ans (mais toujours en Dual Boot...) | ... => suggestions : ['…']

5 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Etudiant en informatique à l'INSA de Toulouse |    => suggestions : ['']
5 Mot inconnu : Etudiant =>   * Etudiant en informatique à l'INSA de Toulouse | etudiant

6 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Programmeur à mes heures perdues (C, ada, xhtml, php ...) |    => suggestions : ['']
6 Mot inconnu : ada =>   * Programmeur à mes heures perdues (C, ada, xhtml, php ...) | ada
6 Mot inconnu : xhtml =>   * Programmeur à mes heures perdues (C, ada, xhtml, php ...) | xhtml
6 Mot inconnu : php =>   * Programmeur à mes heures perdues (C, ada, xhtml, php ...) | php
6 Typographie : points de suspension. Utilisez le caractère dédié. =>   * Programmeur à mes heures perdues (C, ada, xhtml, php ...) | ... => suggestions : ['…']

8 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pseudo: Thibouf |    => suggestions : ['']
8 Mot inconnu : Thibouf =>   * Pseudo: Thibouf | thibouf

9 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Location: Toulouse France |    => suggestions : ['']

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Mail / Jabber / msn : **thibouf** at **gmail** point **com** |    => suggestions : ['']
10 Mot inconnu : Jabber =>   * Mail / Jabber / msn : **thibouf** at **gmail** point **com** | jabber
10 Mot inconnu : msn =>   * Mail / Jabber / msn : **thibouf** at **gmail** point **com** | msn
10 Mot inconnu : thibouf =>   * Mail / Jabber / msn : **thibouf** at **gmail** point **com** | thibouf
10 Mot inconnu : at =>   * Mail / Jabber / msn : **thibouf** at **gmail** point **com** | at
10 Mot inconnu : gmail =>   * Mail / Jabber / msn : **thibouf** at **gmail** point **com** | gmail
