1 Mot inconnu : PAC2 [[7:11]] => ====== PAC2 ====== <|> pac2

4 Mot inconnu : Ubunteros [[1:10]] => |Ubunteros depuis combien de temps|2010| <|> ubunteros

12 Mot inconnu : Unity [[33:38]] => Je suis passé sous Ubuntu 11.04. Unity ne fonctionne pas pour les powerpc. En revanche, on peut utiliser Unity 2D ou Ubuntu classique (Gnome). <|> unity
12 Mot inconnu : powerpc [[66:73]] => Je suis passé sous Ubuntu 11.04. Unity ne fonctionne pas pour les powerpc. En revanche, on peut utiliser Unity 2D ou Ubuntu classique (Gnome). <|> powerpc
12 Mot inconnu : Unity [[105:110]] => Je suis passé sous Ubuntu 11.04. Unity ne fonctionne pas pour les powerpc. En revanche, on peut utiliser Unity 2D ou Ubuntu classique (Gnome). <|> unity
12 Nombre ordinal. Second : 2ᵈ. Seconde : 2ᵈᵉ. Seconds : 2ᵈˢ. Secondes : 2ᵈᵉˢ. [[111:113]] => Je suis passé sous Ubuntu 11.04. Unity ne fonctionne pas pour les powerpc. En revanche, on peut utiliser Unity 2D ou Ubuntu classique (Gnome). <|> 2d => suggestions : ['2ᵈ']

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

18 Espace(s) en fin de ligne à supprimer. [[19:20]] => J'ai créé les pages  <|>   => suggestions : ['']
32 Guillemets typographiques ouvrants. [[83:84]] => Pour adapter mon clavier mac à linux, j'ai choisi d'utiliser la touche Pomme comme "sélecteur des touches de troisième niveau". Pour imprimer un caractère tilde ("~") par exemple, il me suffit de taper Pomme + Maj + N.  <|> " => suggestions : ['«\xa0', '“']
32 Guillemets typographiques fermants. [[125:126]] => Pour adapter mon clavier mac à linux, j'ai choisi d'utiliser la touche Pomme comme "sélecteur des touches de troisième niveau". Pour imprimer un caractère tilde ("~") par exemple, il me suffit de taper Pomme + Maj + N.  <|> " => suggestions : ['\xa0»', '”']
32 Espace(s) en fin de ligne à supprimer. [[218:219]] => Pour adapter mon clavier mac à linux, j'ai choisi d'utiliser la touche Pomme comme "sélecteur des touches de troisième niveau". Pour imprimer un caractère tilde ("~") par exemple, il me suffit de taper Pomme + Maj + N.  <|>   => suggestions : ['']

34 Mot inconnu : Unity [[6:11]] => ===== Unity ===== <|> unity

40 Mot inconnu : laptop [[22:28]] => Pour avoir depuis son laptop un service de reconnassance musicale équivalent au fameux shazam, on peut utiliser le site midomi.com. Pour cela, il suffit d'autoriser flash à accéder au microphone de l'ordinateur pour le site midomi.com.  <|> laptop
40 Mot inconnu : reconnassance [[43:56]] => Pour avoir depuis son laptop un service de reconnassance musicale équivalent au fameux shazam, on peut utiliser le site midomi.com. Pour cela, il suffit d'autoriser flash à accéder au microphone de l'ordinateur pour le site midomi.com.  <|> reconnassance
40 Mot inconnu : shazam [[87:93]] => Pour avoir depuis son laptop un service de reconnassance musicale équivalent au fameux shazam, on peut utiliser le site midomi.com. Pour cela, il suffit d'autoriser flash à accéder au microphone de l'ordinateur pour le site midomi.com.  <|> shazam
40 Mot inconnu : midomi [[120:126]] => Pour avoir depuis son laptop un service de reconnassance musicale équivalent au fameux shazam, on peut utiliser le site midomi.com. Pour cela, il suffit d'autoriser flash à accéder au microphone de l'ordinateur pour le site midomi.com.  <|> midomi
40 Mot inconnu : midomi [[224:230]] => Pour avoir depuis son laptop un service de reconnassance musicale équivalent au fameux shazam, on peut utiliser le site midomi.com. Pour cela, il suffit d'autoriser flash à accéder au microphone de l'ordinateur pour le site midomi.com.  <|> midomi
40 Espace(s) en fin de ligne à supprimer. [[235:236]] => Pour avoir depuis son laptop un service de reconnassance musicale équivalent au fameux shazam, on peut utiliser le site midomi.com. Pour cela, il suffit d'autoriser flash à accéder au microphone de l'ordinateur pour le site midomi.com.  <|>   => suggestions : ['']
42 Mot inconnu : adobe-flash-properties-gtk [[14:40]] =>   * Installer adobe-flash-properties-gtk avec sudo apt-get install dans un terminal <|> adobe-flash-properties-gtk
42 Mot inconnu : sudo [[46:50]] =>   * Installer adobe-flash-properties-gtk avec sudo apt-get install dans un terminal <|> sudo
42 Mot inconnu : apt-get [[51:58]] =>   * Installer adobe-flash-properties-gtk avec sudo apt-get install dans un terminal <|> apt-get
42 Mot inconnu : install [[59:66]] =>   * Installer adobe-flash-properties-gtk avec sudo apt-get install dans un terminal <|> install
43 Mot inconnu : flash-player-properties [[11:34]] =>   * lancer flash-player-properties <|> flash-player-properties
46 Mot inconnu : midomi [[20:26]] =>   * Trouver le site midomi.com (partie un peu difficile parce qu'on est obliger de parcourir la liste de tous les sites possibles) <|> midomi
47 Guillemets typographiques ouvrants. [[16:17]] =>   * Cliquer sur "Me consulter" et choisir "Autoriser" <|> " => suggestions : ['«\xa0', '“']
47 Guillemets typographiques fermants. [[29:30]] =>   * Cliquer sur "Me consulter" et choisir "Autoriser" <|> " => suggestions : ['\xa0»', '”']
47 Guillemets typographiques ouvrants. [[42:43]] =>   * Cliquer sur "Me consulter" et choisir "Autoriser" <|> " => suggestions : ['«\xa0', '“']
47 Guillemets typographiques fermants. [[52:53]] =>   * Cliquer sur "Me consulter" et choisir "Autoriser" <|> " => suggestions : ['\xa0»', '”']
49 Espace(s) en fin de ligne à supprimer. [[3:4]] =>   *  <|>   => suggestions : ['']
