1 Mot inconnu : bishiboosh => ====== bishiboosh ====== | bishiboosh

4 Mot inconnu : Bishi => Bon ben Valentin, alias Bishi, étudiant en école d'ingénieurs, 22 ans, passionné de lecture et de pleins d'autres choses passionnantes :D | bishi
4 Avec une unité de mesure, mettez un espace insécable. => Bon ben Valentin, alias Bishi, étudiant en école d'ingénieurs, 22 ans, passionné de lecture et de pleins d'autres choses passionnantes :D | 22 ans => suggestions : ['22\xa0ans']
4 S’il s’agit d’une préposition et non d’un adjectif, “plein” doit être au singulier. => Bon ben Valentin, alias Bishi, étudiant en école d'ingénieurs, 22 ans, passionné de lecture et de pleins d'autres choses passionnantes :D | pleins => suggestions : ['plein']

6 Mot inconnu : backports => Je participe aux backports Ubuntu, et je vais essayer de m'occuper de la page sur prevu, l'outil de backport. | backports
6 Mot inconnu : prevu => Je participe aux backports Ubuntu, et je vais essayer de m'occuper de la page sur prevu, l'outil de backport. | prevu
6 Mot inconnu : backport => Je participe aux backports Ubuntu, et je vais essayer de m'occuper de la page sur prevu, l'outil de backport. | backport
8 Mot inconnu : bishiboosh => Pour plus de questions : //bishiboosh[at]box[point]80m2[point]net// | bishiboosh
8 Mot inconnu : at => Pour plus de questions : //bishiboosh[at]box[point]80m2[point]net// | at
8 Mot inconnu : m2 => Pour plus de questions : //bishiboosh[at]box[point]80m2[point]net// | m2
