1 Mot inconnu : Prenom [[0:6]] => Prenom : Christophe <|> prenom
5 Mot inconnu : dufour [[13:19]] => Courriel : c.dufour"LeFameux@QuiFautPasMettre"ametra-metz.org <|> dufour
5 Mot inconnu : LeFameux [[20:28]] => Courriel : c.dufour"LeFameux@QuiFautPasMettre"ametra-metz.org <|> lefameux
5 Mot inconnu : ametra-metz [[46:57]] => Courriel : c.dufour"LeFameux@QuiFautPasMettre"ametra-metz.org <|> ametra-metz
7 Accord de nombre erroné avec « 8.04 » : « serveur » devrait être au pluriel. [[29:36]] => Version Ubuntu : Ubuntu 8.04 serveur <|> serveur => suggestions : serveurs
9 Mot inconnu : accés [[25:30]] => Utilisation : Solution d'accés internet. (proxy squid:) <|> accés
9 Mot inconnu : squid [[48:53]] => Utilisation : Solution d'accés internet. (proxy squid:) <|> squid
11 Mot inconnu : DL320G4 [[24:31]] => Machine : Serveur 1U HP DL320G4 Raid0 (2x80Go Sata 7.2K/Tm) <|> dl320g4
11 Mot inconnu : Raid0 [[32:37]] => Machine : Serveur 1U HP DL320G4 Raid0 (2x80Go Sata 7.2K/Tm) <|> raid0
11 Signe de multiplication typographique. [[39:43]] => Machine : Serveur 1U HP DL320G4 Raid0 (2x80Go Sata 7.2K/Tm) <|> 2x80 => suggestions : 2 × 80
11 Mot inconnu : x80Go [[40:45]] => Machine : Serveur 1U HP DL320G4 Raid0 (2x80Go Sata 7.2K/Tm) <|> x80go
11 Mot inconnu : Sata [[46:50]] => Machine : Serveur 1U HP DL320G4 Raid0 (2x80Go Sata 7.2K/Tm) <|> sata
