1 Mot inconnu : hpopols => ====== hpopols ====== | hpopols

6 Avec une unité de mesure, mettez un espace insécable. => J'ai découvert l'informatique il y a 18ans, mon cheminement a très classique : DOS->Win3.0--->Win98->Mandranke->Ubuntu depuis la 5.06. | 18ans => suggestions : ['18\xa0ans']
6 Mot inconnu : Win3 => J'ai découvert l'informatique il y a 18ans, mon cheminement a très classique : DOS->Win3.0--->Win98->Mandranke->Ubuntu depuis la 5.06. | win3
6 Mot inconnu : Win98 => J'ai découvert l'informatique il y a 18ans, mon cheminement a très classique : DOS->Win3.0--->Win98->Mandranke->Ubuntu depuis la 5.06. | win98
6 Mot inconnu : Mandranke => J'ai découvert l'informatique il y a 18ans, mon cheminement a très classique : DOS->Win3.0--->Win98->Mandranke->Ubuntu depuis la 5.06. | mandranke

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      * Backup-manager : Gestionnaire simple et efficasse de sauvegarde (en cours) |       => suggestions : ['']
12 Mot inconnu : Backup-manager =>      * Backup-manager : Gestionnaire simple et efficasse de sauvegarde (en cours) | backup-manager
12 Mot inconnu : efficasse =>      * Backup-manager : Gestionnaire simple et efficasse de sauvegarde (en cours) | efficasse

18 Mot inconnu : hpopols => hpopols *arob* gmail *point* com | hpopols
18 Mot inconnu : arob => hpopols *arob* gmail *point* com | arob
18 Mot inconnu : gmail => hpopols *arob* gmail *point* com | gmail
