1 Espace(s) en fin de ligne à supprimer. => Bonjour,  |   => suggestions : ['']

3 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => voici mon présentation. Je suis un lillois depuis deux ans, en fait je suis espagnol. Je ne suis pas un informatitien. L'informatique est un hobbie pour moi depuis l'école. Cela fait deux semaines que j'utilise Ubuntu et j'en suis très fier. J'adore la philosophie ubuntu. | voici => suggestions : ['Voici']
3 Accord de genre erroné : « présentation » est féminin. => voici mon présentation. Je suis un lillois depuis deux ans, en fait je suis espagnol. Je ne suis pas un informatitien. L'informatique est un hobbie pour moi depuis l'école. Cela fait deux semaines que j'utilise Ubuntu et j'en suis très fier. J'adore la philosophie ubuntu. | mon => suggestions : ['ma']
3 S’il s’agit d’un gentilé, mettez une majuscule. => voici mon présentation. Je suis un lillois depuis deux ans, en fait je suis espagnol. Je ne suis pas un informatitien. L'informatique est un hobbie pour moi depuis l'école. Cela fait deux semaines que j'utilise Ubuntu et j'en suis très fier. J'adore la philosophie ubuntu. | lillois => suggestions : ['Lillois']
3 Mot inconnu : informatitien => voici mon présentation. Je suis un lillois depuis deux ans, en fait je suis espagnol. Je ne suis pas un informatitien. L'informatique est un hobbie pour moi depuis l'école. Cela fait deux semaines que j'utilise Ubuntu et j'en suis très fier. J'adore la philosophie ubuntu. | informatitien
3 Mot inconnu : hobbie => voici mon présentation. Je suis un lillois depuis deux ans, en fait je suis espagnol. Je ne suis pas un informatitien. L'informatique est un hobbie pour moi depuis l'école. Cela fait deux semaines que j'utilise Ubuntu et j'en suis très fier. J'adore la philosophie ubuntu. | hobbie

7 Mot inconnu : alejandrocastano1 => alejandrocastano1 (chez) yahoo (point) es  | alejandrocastano1
7 Mot inconnu : yahoo => alejandrocastano1 (chez) yahoo (point) es  | yahoo
7 Espace(s) en fin de ligne à supprimer. => alejandrocastano1 (chez) yahoo (point) es  |   => suggestions : ['']
