1 Mot inconnu : Fengy [[4:9]] => ====Fengy==== <|> fengy

3 Mot inconnu : diplomé [[6:13]] => Jeune diplomé en Licence Professionel en Automatique et Informatique Industrielle option Informatique pour les Applications Embarqués en Réseau. <|> diplomé
3 Mot inconnu : Professionel [[25:37]] => Jeune diplomé en Licence Professionel en Automatique et Informatique Industrielle option Informatique pour les Applications Embarqués en Réseau. <|> professionel
3 Accord de genre erroné entre « Applications » et « Embarqués ». [[124:133]] => Jeune diplomé en Licence Professionel en Automatique et Informatique Industrielle option Informatique pour les Applications Embarqués en Réseau. <|> embarqués => suggestions : ['Embarquées']

5 Accord de genre erroné entre « expériences » et « personnels ». [[16:26]] => Mes expériences personnels et professionels m'ont permis d'avoir des connaissances en Linux (Linux embarqué pour mes études). <|> personnels => suggestions : ['personnelles']
5 Mot inconnu : professionels [[30:43]] => Mes expériences personnels et professionels m'ont permis d'avoir des connaissances en Linux (Linux embarqué pour mes études). <|> professionels

13 Mot inconnu : feignantise [[119:130]] => J'ai eu ma première expérience en 1999 avec Debian, cependant le manque de connaissance dans le domaine de Linux et la feignantise sur l'édition de fichier texte m'a fait revenir sur Windows. <|> feignantise

14 Mot inconnu : Mandriva [[54:62]] => En 2000, la curiosité de cet univers me fit installer Mandriva mais sans succès. <|> mandriva

25 Mot inconnu : fengy83 [[0:7]] => fengy83 AT gmail DOT com <|> fengy83
25 Mot inconnu : gmail [[11:16]] => fengy83 AT gmail DOT com <|> gmail
