1 Mot inconnu : lyüstcl [[7:14]] => ====== lyüstcl ====== <|> lyüstcl
3 Mot inconnu : lyustcl [[20:27]] =>   * **Par mail :**  lyustcl #chez# etlarevolution #point# info <|> lyustcl
3 Mot inconnu : etlarevolution [[35:49]] =>   * **Par mail :**  lyustcl #chez# etlarevolution #point# info <|> etlarevolution
4 Mot inconnu : MSNM [[20:24]] =>   * **Via Jabber ou MSNM :** lyustcl@amessage.info <|> msnm

6 Mot inconnu : Vi4gr4 [[88:94]] => Vous arrangerez les adresses comme il convient, je ne tiens pas à agrandir mon stock de Vi4gr4 qui me permet à l'heure actuelle d'assurer 44582 rapports sexuels. <|> vi4gr4
6 Formatage des grands nombres. [[138:143]] => Vous arrangerez les adresses comme il convient, je ne tiens pas à agrandir mon stock de Vi4gr4 qui me permet à l'heure actuelle d'assurer 44582 rapports sexuels. <|> 44582 => suggestions : ['44\xa0582']

9 Mot inconnu : Ouam [[6:10]] => ===== Ouam et Linux ===== <|> ouam

10 Mot inconnu : callé [[266:271]] => J'ai mis du temps à utiliser Linux au lieu de Windows. La raison c'est que je ne suis pas très porté sur l'informatique et quand j'en fais je préfère gérer des trucs sur la Toile. Je ne bichonne pas ma machine et j'ai tendance à demander de l'aide au paternel, plus callé. <|> callé

12 Mot inconnu : oeil [[168:172]] => Alors un jour, galvanisé par la lenteur et la putréfaction de mon système Windows, je me suis dit que j'allais essayer cette drôle de chose qu'est Ubuntu. En un clin d'oeil, j'ai adoré. <|> oeil
16 Espace(s) en fin de ligne à supprimer. [[142:143]] => Je ne crois pas aux principes du Libre tout simplement parce que je n'arrive pas à imaginer un Libre vraiment « libre » dans un monde proprio.  <|>   => suggestions : ['']
