3 Mot inconnu : SCHEIDT => | Nom/Prénom: | SCHEIDT Louis | <|> scheidt
5 Mot inconnu : Maverick => | Version actuelle d'Ubuntu: | Ubuntu 10.10 Maverick Meerkat | <|> maverick
5 Mot inconnu : Meerkat => | Version actuelle d'Ubuntu: | Ubuntu 10.10 Maverick Meerkat | <|> meerkat
7 Mot inconnu : Athlon => | Config PC: | **Processeur**: AMD Athlon(tm) 64 X2 Dual Core Processor 5200+ **RAM**: 2Go **Carte graphique**: nVidia GeForce 9600 GT | <|> athlon
7 Mot inconnu : tm => | Config PC: | **Processeur**: AMD Athlon(tm) 64 X2 Dual Core Processor 5200+ **RAM**: 2Go **Carte graphique**: nVidia GeForce 9600 GT | <|> tm
7 Mot inconnu : X2 => | Config PC: | **Processeur**: AMD Athlon(tm) 64 X2 Dual Core Processor 5200+ **RAM**: 2Go **Carte graphique**: nVidia GeForce 9600 GT | <|> x2
7 Mot inconnu : Core => | Config PC: | **Processeur**: AMD Athlon(tm) 64 X2 Dual Core Processor 5200+ **RAM**: 2Go **Carte graphique**: nVidia GeForce 9600 GT | <|> core
7 Mot inconnu : Processor => | Config PC: | **Processeur**: AMD Athlon(tm) 64 X2 Dual Core Processor 5200+ **RAM**: 2Go **Carte graphique**: nVidia GeForce 9600 GT | <|> processor
7 Mot inconnu : nVidia => | Config PC: | **Processeur**: AMD Athlon(tm) 64 X2 Dual Core Processor 5200+ **RAM**: 2Go **Carte graphique**: nVidia GeForce 9600 GT | <|> nvidia
7 Mot inconnu : GeForce => | Config PC: | **Processeur**: AMD Athlon(tm) 64 X2 Dual Core Processor 5200+ **RAM**: 2Go **Carte graphique**: nVidia GeForce 9600 GT | <|> geforce
7 Si “GT” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => | Config PC: | **Processeur**: AMD Athlon(tm) 64 X2 Dual Core Processor 5200+ **RAM**: 2Go **Carte graphique**: nVidia GeForce 9600 GT | <|> 9600 gt => suggestions : ['9\xa0600\xa0GT']

18 Mot inconnu : NXT-fr => ==== NXT-fr ==== <|> nxt-fr

19 Mot inconnu : __Type__ => __Type__: Communauté <|> __type__

21 Mot inconnu : __Description__ => __Description__: Groupe francophone d'utilisateurs de systèmes GNU/Linux avec pour but le renforcement de la compatibilité de ces derniers avec le kit 8527-Lego® Mindstorms® NXT, robot/brique programmable depuis un ordinateur. <|> __description__
21 Mot inconnu : Mindstorms => __Description__: Groupe francophone d'utilisateurs de systèmes GNU/Linux avec pour but le renforcement de la compatibilité de ces derniers avec le kit 8527-Lego® Mindstorms® NXT, robot/brique programmable depuis un ordinateur. <|> mindstorms
21 Mot inconnu : NXT => __Description__: Groupe francophone d'utilisateurs de systèmes GNU/Linux avec pour but le renforcement de la compatibilité de ces derniers avec le kit 8527-Lego® Mindstorms® NXT, robot/brique programmable depuis un ordinateur. <|> nxt

23 Mot inconnu : __Lien__ => __Lien__: <|> __lien__
26 Mot inconnu : channel =>   * Le channel IRC: [[irc://irc.freenode.net/nxt-fr]] <|> channel
26 Mot inconnu : IRC =>   * Le channel IRC: [[irc://irc.freenode.net/nxt-fr]] <|> irc
26 Mot inconnu : irc =>   * Le channel IRC: [[irc://irc.freenode.net/nxt-fr]] <|> irc

29 Mot inconnu : scheidt => louis**[pt]**scheidt**[at]**free**[pt]**fr <|> scheidt
29 Mot inconnu : at => louis**[pt]**scheidt**[at]**free**[pt]**fr <|> at
29 Mot inconnu : free => louis**[pt]**scheidt**[at]**free**[pt]**fr <|> free
