1 Mot inconnu : P-Hell => ====== P-Hell ====== | p-hell

5 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Nom: Pierre-Luc Daoust |    => suggestions : ['']
5 Mot inconnu : Daoust =>   * Nom: Pierre-Luc Daoust | daoust

6 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pseudonymes utilisés: |    => suggestions : ['']

7 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * P-Hell |      => suggestions : ['']
7 Mot inconnu : P-Hell =>     * P-Hell | p-hell

8 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * P-Luc le Kiwi |      => suggestions : ['']

9 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Résidence: Montréal (Québec) |    => suggestions : ['']

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Première utilisation personnelle de Linux: 1er mars 2005 |    => suggestions : ['']
10 Nombre ordinal. Premier : 1ᵉʳ. Première : 1ʳᵉ. Premiers : 1ᵉʳˢ. Premières : 1ʳᵉˢ. =>   * Première utilisation personnelle de Linux: 1er mars 2005 | 1er => suggestions : ['1ᵉʳ']

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Courriel: pl.daoust //<arobase>// netkiwi.info |    => suggestions : ['']
13 Mot inconnu : daoust =>   * Courriel: pl.daoust //<arobase>// netkiwi.info | daoust
13 Mot inconnu : netkiwi =>   * Courriel: pl.daoust //<arobase>// netkiwi.info | netkiwi

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Jabber / GoogleTalk: pl.daoust //<arobase>// jabber.netkiwi.info |    => suggestions : ['']
14 Mot inconnu : Jabber =>   * Jabber / GoogleTalk: pl.daoust //<arobase>// jabber.netkiwi.info | jabber
14 Mot inconnu : GoogleTalk =>   * Jabber / GoogleTalk: pl.daoust //<arobase>// jabber.netkiwi.info | googletalk
14 Mot inconnu : daoust =>   * Jabber / GoogleTalk: pl.daoust //<arobase>// jabber.netkiwi.info | daoust

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * IRC: P-Hell |    => suggestions : ['']
15 Mot inconnu : IRC =>   * IRC: P-Hell | irc
15 Mot inconnu : P-Hell =>   * IRC: P-Hell | p-hell

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Serveur Freenode (irc.freenode.net): #facil, #linux-quebec, #ubuntu-qc |      => suggestions : ['']
16 Mot inconnu : Freenode =>     * Serveur Freenode (irc.freenode.net): #facil, #linux-quebec, #ubuntu-qc | freenode

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Sites web |    => suggestions : ['']

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * [[http://www.netkiwi.info|NetKiwi Informatique]]: Soutien technique à domicile en informatique pour la région de Montréal |      => suggestions : ['']
