1 Mot inconnu : scwall => ====== scwall ====== | scwall

3 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Nom: de Sélys Pascal |    => suggestions : ['']
3 Mot inconnu : Sélys =>   * Nom: de Sélys Pascal | sélys

4 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pseudonymes utilisés: |    => suggestions : ['']

5 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Scwall |      => suggestions : ['']
5 Mot inconnu : Scwall =>     * Scwall | scwall

6 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Scwallito |      => suggestions : ['']
6 Mot inconnu : Scwallito =>     * Scwallito | scwallito

7 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Résidence: Liège (Belgique) |    => suggestions : ['']

8 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Première utilisation personnelle de Linux: Début 2004 |    => suggestions : ['']

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Courriel: deselys.pascal //<arobase>// outlook.com |    => suggestions : ['']
11 Mot inconnu : deselys =>   * Courriel: deselys.pascal //<arobase>// outlook.com | deselys
11 Il manque un espace. =>   * Courriel: deselys.pascal //<arobase>// outlook.com | pascal => suggestions : [' pascal']
11 Mot inconnu : outlook =>   * Courriel: deselys.pascal //<arobase>// outlook.com | outlook

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Linkedin: https://www.linkedin.com/in/pascal-de-selys |    => suggestions : ['']
12 Mot inconnu : Linkedin =>   * Linkedin: https://www.linkedin.com/in/pascal-de-selys | linkedin

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Github: https://github.com/scwall |    => suggestions : ['']
13 Mot inconnu : Github =>   * Github: https://github.com/scwall | github
