1 Mot inconnu : Gna [[0:3]] => Gna les gens, <|> gna

3 Mot inconnu : moko [[10:14]] => Je suis **moko**, mais des fois aussi on m'appelle **Arnaud** (//quoique souvent ce ne soit pas vraiment bon signe pour moi//), Parisien depuis un mois, linuxien depuis 4 ans, ubutuiste depuis 1 an (NAL : au moment où j'écris ces lignes, nous sommes le 5 octobre 2005, 14:27)... <|> moko
3 Mot inconnu : ubutuiste [[176:185]] => Je suis **moko**, mais des fois aussi on m'appelle **Arnaud** (//quoique souvent ce ne soit pas vraiment bon signe pour moi//), Parisien depuis un mois, linuxien depuis 4 ans, ubutuiste depuis 1 an (NAL : au moment où j'écris ces lignes, nous sommes le 5 octobre 2005, 14:27)... <|> ubutuiste
3 Mot inconnu : NAL [[199:202]] => Je suis **moko**, mais des fois aussi on m'appelle **Arnaud** (//quoique souvent ce ne soit pas vraiment bon signe pour moi//), Parisien depuis un mois, linuxien depuis 4 ans, ubutuiste depuis 1 an (NAL : au moment où j'écris ces lignes, nous sommes le 5 octobre 2005, 14:27)... <|> nal
3 Typographie : points de suspension. Utilisez le caractère dédié. [[275:278]] => Je suis **moko**, mais des fois aussi on m'appelle **Arnaud** (//quoique souvent ce ne soit pas vraiment bon signe pour moi//), Parisien depuis un mois, linuxien depuis 4 ans, ubutuiste depuis 1 an (NAL : au moment où j'écris ces lignes, nous sommes le 5 octobre 2005, 14:27)... <|> ... => suggestions : ['…']

5 Mot inconnu : zemoko [[26:32]] => Pour m'écrire c'est là -> zemoko at gmail.com <|> zemoko
5 Mot inconnu : at [[33:35]] => Pour m'écrire c'est là -> zemoko at gmail.com <|> at

11 Guillemets typographiques ouvrants. [[0:1]] => 'naud <|> ' => suggestions : ['“', '‘', '‹']
11 Mot inconnu : naud [[1:5]] => 'naud <|> naud
