1 Mot inconnu : Metalseb => ====== Metalseb ====== | metalseb

4 Mot inconnu : Idendité => ===== Fiche d'Idendité ===== | idendité

5 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Nom :** Sébastien STASZAK |    => suggestions : ['']
5 Mot inconnu : STASZAK =>   * **Nom :** Sébastien STASZAK | staszak

6 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Localité :** Quesnoy sur Deule, Nord (59), FRANCE |    => suggestions : ['']
6 Mot inconnu : Quesnoy =>   * **Localité :** Quesnoy sur Deule, Nord (59), FRANCE | quesnoy
6 Mot inconnu : Deule =>   * **Localité :** Quesnoy sur Deule, Nord (59), FRANCE | deule

7 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Contact :** metalseb[@]thundering-records[.]com  |    => suggestions : ['']
7 Mot inconnu : metalseb =>   * **Contact :** metalseb[@]thundering-records[.]com  | metalseb
7 Mot inconnu : thundering-records =>   * **Contact :** metalseb[@]thundering-records[.]com  | thundering-records
7 Espace(s) en fin de ligne à supprimer. =>   * **Contact :** metalseb[@]thundering-records[.]com  |   => suggestions : ['']

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Personnel :** |    => suggestions : ['']

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * **OS :** Ubuntu 6.10 / Core 64 bits |      => suggestions : ['']
11 Mot inconnu : Core =>     * **OS :** Ubuntu 6.10 / Core 64 bits | core

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * **Carte Mère :** Asus A8N-E |      => suggestions : ['']
12 Écriture épicène. Utilisez un point médian. =>     * **Carte Mère :** Asus A8N-E | a8n-e => suggestions : ['A8N·E']
12 Mot inconnu : A8N-E =>     * **Carte Mère :** Asus A8N-E | a8n-e

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * **Processeur :** Athlon 64 3200+ "Venice Core" |      => suggestions : ['']
13 Mot inconnu : Athlon =>     * **Processeur :** Athlon 64 3200+ "Venice Core" | athlon
13 Guillemets typographiques ouvrants. =>     * **Processeur :** Athlon 64 3200+ "Venice Core" | " => suggestions : ['«\xa0', '“']
13 Mot inconnu : Venice =>     * **Processeur :** Athlon 64 3200+ "Venice Core" | venice
13 Mot inconnu : Core =>     * **Processeur :** Athlon 64 3200+ "Venice Core" | core
13 Guillemets typographiques fermants. =>     * **Processeur :** Athlon 64 3200+ "Venice Core" | " => suggestions : ['\xa0»', '”']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * **RAM :** 1Go Corsair PC 3200 C2 |      => suggestions : ['']
14 Mot inconnu : Corsair =>     * **RAM :** 1Go Corsair PC 3200 C2 | corsair
14 Mot inconnu : C2 =>     * **RAM :** 1Go Corsair PC 3200 C2 | c2

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * **Carte Graphique :** Asus Extreme Ax550 256Mo PCI-e (chipset ATI) |      => suggestions : ['']
15 Mot inconnu : Extreme =>     * **Carte Graphique :** Asus Extreme Ax550 256Mo PCI-e (chipset ATI) | extreme
15 Mot inconnu : Ax550 =>     * **Carte Graphique :** Asus Extreme Ax550 256Mo PCI-e (chipset ATI) | ax550
15 Écriture épicène. Utilisez un point médian. =>     * **Carte Graphique :** Asus Extreme Ax550 256Mo PCI-e (chipset ATI) | pci-e => suggestions : ['PCI·e']
15 Mot inconnu : PCI-e =>     * **Carte Graphique :** Asus Extreme Ax550 256Mo PCI-e (chipset ATI) | pci-e
15 Mot inconnu : chipset =>     * **Carte Graphique :** Asus Extreme Ax550 256Mo PCI-e (chipset ATI) | chipset
15 Mot inconnu : ATI =>     * **Carte Graphique :** Asus Extreme Ax550 256Mo PCI-e (chipset ATI) | ati

