1 Mot inconnu : Linschn [[7:14]] => ====== Linschn ====== <|> linschn

3 Mot inconnu : spé [[26:29]] => Je suis étudiant (en math spé au Lycée Naval). Sur Mac depuis toujours (à l'heure actuelle un iBook) et sous Linux depuis 5 ans maintenant, avec Ubuntu depuis Août 2006. <|> spé
3 Mot inconnu : iBook [[94:99]] => Je suis étudiant (en math spé au Lycée Naval). Sur Mac depuis toujours (à l'heure actuelle un iBook) et sous Linux depuis 5 ans maintenant, avec Ubuntu depuis Août 2006. <|> ibook
3 Pas de majuscule sur les mois. [[159:163]] => Je suis étudiant (en math spé au Lycée Naval). Sur Mac depuis toujours (à l'heure actuelle un iBook) et sous Linux depuis 5 ans maintenant, avec Ubuntu depuis Août 2006. <|> août => suggestions : None

6 Mot inconnu : MacOSX [[54:60]] => Je compte rédiger un article concernant le passage de MacOSX à Ubuntu <|> macosx

9 Mot inconnu : edouard-jo [[0:10]] => edouard-jo.klein at wanamou.fr <|> edouard-jo
9 Mot inconnu : klein [[11:16]] => edouard-jo.klein at wanamou.fr <|> klein
9 Mot inconnu : at [[17:19]] => edouard-jo.klein at wanamou.fr <|> at
9 Mot inconnu : wanamou [[20:27]] => edouard-jo.klein at wanamou.fr <|> wanamou
