2 Mot inconnu : Amsellem => |**Nom / prénom**|Amsellem Jeremie|| | amsellem
2 Mot inconnu : Jeremie => |**Nom / prénom**|Amsellem Jeremie|| | jeremie

5 Espace(s) surnuméraire(s) à supprimer. => ===== Activités  ===== |    => suggestions : [' ']

7 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Participation au wiki de la doc ubuntu-fr.org |    => suggestions : ['']
7 Mot inconnu : ubuntu-fr =>   * Participation au wiki de la doc ubuntu-fr.org | ubuntu-fr

8 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Bénévole aux UP parisiennes |    => suggestions : ['']
8 Mot inconnu : UP =>   * Bénévole aux UP parisiennes | up

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Etudiant Epitech , promotion 2017 |    => suggestions : ['']
12 Mot inconnu : Etudiant =>   * Etudiant Epitech , promotion 2017 | etudiant
12 Mot inconnu : Epitech =>   * Etudiant Epitech , promotion 2017 | epitech
12 Pas d’espace avant une virgule. =>   * Etudiant Epitech , promotion 2017 |  , => suggestions : [',']

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Developpeur Web/Mobile auto-entrepreneur |    => suggestions : ['']
13 Mot inconnu : Developpeur =>   * Developpeur Web/Mobile auto-entrepreneur | developpeur

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * mail(at)lupin.me |    => suggestions : ['']
17 Mot inconnu : at =>   * mail(at)lupin.me | at
17 Il manque un espace après la parenthèse. =>   * mail(at)lupin.me | ) => suggestions : [') ']
17 Il manque un espace. =>   * mail(at)lupin.me | me => suggestions : [' me']

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * http://lupin.me |    => suggestions : ['']
