1 Mot inconnu : Hackman61 => ====== Hackman61 ====== | hackman61

10 Mot inconnu : Hackman61 => Bon moi c'est Hackman61, j'ai  21 ans, je suis en alternance TSAR ( technicien supérieur en administration des réseaux). Cela fait maintenant 3 ans que j'utilise pleinement Ubuntu, bien qu'au début ça a été la galère niveau installation, mais grâce à la communauté Ubuntienne, j'ai réussi ce qui n'était au début qu'un pari avec un ami de pouvoir utiliser Linux dans la vie de tout les jours, aujourd'hui mon serveur perso est sous Ubuntu, ma machine aussi, et je compte bien inciter les gens à se mettre au libre!! | hackman61
10 Espace(s) surnuméraire(s) à supprimer. => Bon moi c'est Hackman61, j'ai  21 ans, je suis en alternance TSAR ( technicien supérieur en administration des réseaux). Cela fait maintenant 3 ans que j'utilise pleinement Ubuntu, bien qu'au début ça a été la galère niveau installation, mais grâce à la communauté Ubuntienne, j'ai réussi ce qui n'était au début qu'un pari avec un ami de pouvoir utiliser Linux dans la vie de tout les jours, aujourd'hui mon serveur perso est sous Ubuntu, ma machine aussi, et je compte bien inciter les gens à se mettre au libre!! |    => suggestions : [' ']
10 Pas d’espace après ce signe. => Bon moi c'est Hackman61, j'ai  21 ans, je suis en alternance TSAR ( technicien supérieur en administration des réseaux). Cela fait maintenant 3 ans que j'utilise pleinement Ubuntu, bien qu'au début ça a été la galère niveau installation, mais grâce à la communauté Ubuntienne, j'ai réussi ce qui n'était au début qu'un pari avec un ami de pouvoir utiliser Linux dans la vie de tout les jours, aujourd'hui mon serveur perso est sous Ubuntu, ma machine aussi, et je compte bien inciter les gens à se mettre au libre!! | (  => suggestions : ['(']
10 Mot inconnu : Ubuntienne => Bon moi c'est Hackman61, j'ai  21 ans, je suis en alternance TSAR ( technicien supérieur en administration des réseaux). Cela fait maintenant 3 ans que j'utilise pleinement Ubuntu, bien qu'au début ça a été la galère niveau installation, mais grâce à la communauté Ubuntienne, j'ai réussi ce qui n'était au début qu'un pari avec un ami de pouvoir utiliser Linux dans la vie de tout les jours, aujourd'hui mon serveur perso est sous Ubuntu, ma machine aussi, et je compte bien inciter les gens à se mettre au libre!! | ubuntienne

11 Il manque un espace. => Depuis quelques semaines,j'essaie de contribuer plus activement au forum, et j'en apprend tout les jours!!   | j => suggestions : [' j']
11 Conjugaison erronée. Accord avec “j’”. Le verbe devrait être à la 1ʳᵉ personne du singulier. => Depuis quelques semaines,j'essaie de contribuer plus activement au forum, et j'en apprend tout les jours!!   | apprend => suggestions : ['apprends']
11 Erreur d’accord probable avec « les jours ». => Depuis quelques semaines,j'essaie de contribuer plus activement au forum, et j'en apprend tout les jours!!   | tout => suggestions : ['tous']
11 Espace(s) en fin de ligne à supprimer. => Depuis quelques semaines,j'essaie de contribuer plus activement au forum, et j'en apprend tout les jours!!   |    => suggestions : ['']

17 Mot inconnu : piratman61 => Vous pouvez me contacter par mail à piratman61 chez hotmail point com  (idem pour la messagerie instantanée | piratman61
17 Mot inconnu : hotmail => Vous pouvez me contacter par mail à piratman61 chez hotmail point com  (idem pour la messagerie instantanée | hotmail
17 Espace(s) surnuméraire(s) à supprimer. => Vous pouvez me contacter par mail à piratman61 chez hotmail point com  (idem pour la messagerie instantanée |    => suggestions : [' ']
