1 Mot inconnu : LinuXp0wer [[8:18]] => ======  LinuXp0wer ====== <|> linuxp0wer

7 Pas d’espace avant ce signe. [[79:81]] => L'on m'appelle Sam, né le 30 octobre 1992 à 20h20 (Bon je sais c'est ma vie ^_^ ), bientôt 16 ans, Franc-comtois & Belfortain, je suis au lycée en Seconde générale et l'année prochaine en section S. <|>  ) => suggestions : None

9 Mot inconnu : vtt [[34:37]] => Je suis passionné d'informatique, vtt, natation et plongée. Fervent défenseur du logiciel libre bien sûr ! La politique et l'économie m'intéressent un peu aussi.  <|> vtt
9 Espace(s) en fin de ligne à supprimer. [[161:162]] => Je suis passionné d'informatique, vtt, natation et plongée. Fervent défenseur du logiciel libre bien sûr ! La politique et l'économie m'intéressent un peu aussi.  <|>   => suggestions : None

13 Si “pc” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. [[0:4]] => 2 pc, le premier monté avec Ubuntu Gusty 7.10. <|> 2 pc => suggestions : None
13 Mot inconnu : Gusty [[35:40]] => 2 pc, le premier monté avec Ubuntu Gusty 7.10. <|> gusty
14 Mot inconnu : Pavilion [[13:21]] => Le second HP Pavilion dv6000 series, modèle dv6164ea, dual-boot Windows XP/Ubuntu 7.10 . (le dual-boot c'est mon père qui me l'a demandé car il a besoin de XP...) . D-Core Centrino 1,66 gHz, nVidia Geforce Go 7400 512 Mo, DD Sata 120 GO, etc. <|> pavilion
14 Mot inconnu : dv6000 [[22:28]] => Le second HP Pavilion dv6000 series, modèle dv6164ea, dual-boot Windows XP/Ubuntu 7.10 . (le dual-boot c'est mon père qui me l'a demandé car il a besoin de XP...) . D-Core Centrino 1,66 gHz, nVidia Geforce Go 7400 512 Mo, DD Sata 120 GO, etc. <|> dv6000
14 Mot inconnu : series [[29:35]] => Le second HP Pavilion dv6000 series, modèle dv6164ea, dual-boot Windows XP/Ubuntu 7.10 . (le dual-boot c'est mon père qui me l'a demandé car il a besoin de XP...) . D-Core Centrino 1,66 gHz, nVidia Geforce Go 7400 512 Mo, DD Sata 120 GO, etc. <|> series
14 Mot inconnu : dv6164ea [[44:52]] => Le second HP Pavilion dv6000 series, modèle dv6164ea, dual-boot Windows XP/Ubuntu 7.10 . (le dual-boot c'est mon père qui me l'a demandé car il a besoin de XP...) . D-Core Centrino 1,66 gHz, nVidia Geforce Go 7400 512 Mo, DD Sata 120 GO, etc. <|> dv6164ea
14 Mot inconnu : dual-boot [[54:63]] => Le second HP Pavilion dv6000 series, modèle dv6164ea, dual-boot Windows XP/Ubuntu 7.10 . (le dual-boot c'est mon père qui me l'a demandé car il a besoin de XP...) . D-Core Centrino 1,66 gHz, nVidia Geforce Go 7400 512 Mo, DD Sata 120 GO, etc. <|> dual-boot
14 Pas d’espace avant un point. [[86:88]] => Le second HP Pavilion dv6000 series, modèle dv6164ea, dual-boot Windows XP/Ubuntu 7.10 . (le dual-boot c'est mon père qui me l'a demandé car il a besoin de XP...) . D-Core Centrino 1,66 gHz, nVidia Geforce Go 7400 512 Mo, DD Sata 120 GO, etc. <|>  . => suggestions : None
14 Mot inconnu : dual-boot [[93:102]] => Le second HP Pavilion dv6000 series, modèle dv6164ea, dual-boot Windows XP/Ubuntu 7.10 . (le dual-boot c'est mon père qui me l'a demandé car il a besoin de XP...) . D-Core Centrino 1,66 gHz, nVidia Geforce Go 7400 512 Mo, DD Sata 120 GO, etc. <|> dual-boot
14 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. [[136:140]] => Le second HP Pavilion dv6000 series, modèle dv6164ea, dual-boot Windows XP/Ubuntu 7.10 . (le dual-boot c'est mon père qui me l'a demandé car il a besoin de XP...) . D-Core Centrino 1,66 gHz, nVidia Geforce Go 7400 512 Mo, DD Sata 120 GO, etc. <|>  car => suggestions : None
14 Typographie : points de suspension. Utilisez le caractère dédié. [[158:161]] => Le second HP Pavilion dv6000 series, modèle dv6164ea, dual-boot Windows XP/Ubuntu 7.10 . (le dual-boot c'est mon père qui me l'a demandé car il a besoin de XP...) . D-Core Centrino 1,66 gHz, nVidia Geforce Go 7400 512 Mo, DD Sata 120 GO, etc. <|> ... => suggestions : None
14 Pas d’espace avant un point. [[162:164]] => Le second HP Pavilion dv6000 series, modèle dv6164ea, dual-boot Windows XP/Ubuntu 7.10 . (le dual-boot c'est mon père qui me l'a demandé car il a besoin de XP...) . D-Core Centrino 1,66 gHz, nVidia Geforce Go 7400 512 Mo, DD Sata 120 GO, etc. <|>  . => suggestions : None
14 Mot inconnu : D-Core [[165:171]] => Le second HP Pavilion dv6000 series, modèle dv6164ea, dual-boot Windows XP/Ubuntu 7.10 . (le dual-boot c'est mon père qui me l'a demandé car il a besoin de XP...) . D-Core Centrino 1,66 gHz, nVidia Geforce Go 7400 512 Mo, DD Sata 120 GO, etc. <|> d-core
14 Mot inconnu : Centrino [[172:180]] => Le second HP Pavilion dv6000 series, modèle dv6164ea, dual-boot Windows XP/Ubuntu 7.10 . (le dual-boot c'est mon père qui me l'a demandé car il a besoin de XP...) . D-Core Centrino 1,66 gHz, nVidia Geforce Go 7400 512 Mo, DD Sata 120 GO, etc. <|> centrino
14 Si “gHz” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. [[181:189]] => Le second HP Pavilion dv6000 series, modèle dv6164ea, dual-boot Windows XP/Ubuntu 7.10 . (le dual-boot c'est mon père qui me l'a demandé car il a besoin de XP...) . D-Core Centrino 1,66 gHz, nVidia Geforce Go 7400 512 Mo, DD Sata 120 GO, etc. <|> 1,66 ghz => suggestions : None
14 Mot inconnu : gHz [[186:189]] => Le second HP Pavilion dv6000 series, modèle dv6164ea, dual-boot Windows XP/Ubuntu 7.10 . (le dual-boot c'est mon père qui me l'a demandé car il a besoin de XP...) . D-Core Centrino 1,66 gHz, nVidia Geforce Go 7400 512 Mo, DD Sata 120 GO, etc. <|> ghz
