1 Typographie : points de suspension. Utilisez le caractère dédié. => //Quelques mots...// | ... => suggestions : ['…']

3 Mot inconnu : KohgnaK => Mon surnom est donc **KohgnaK** [aucun rapport avec une propension naturelle à la dégustation de l'éthanol sous différentes présentations =)], chimiste de son état, guitariste à ses heures perdues et utilisateur de Ubuntu depuis bientôt un an...\\  | kohgnak
3 Typographie : points de suspension. Utilisez le caractère dédié. => Mon surnom est donc **KohgnaK** [aucun rapport avec une propension naturelle à la dégustation de l'éthanol sous différentes présentations =)], chimiste de son état, guitariste à ses heures perdues et utilisateur de Ubuntu depuis bientôt un an...\\  | ... => suggestions : ['…']
3 Espace(s) en fin de ligne à supprimer. => Mon surnom est donc **KohgnaK** [aucun rapport avec une propension naturelle à la dégustation de l'éthanol sous différentes présentations =)], chimiste de son état, guitariste à ses heures perdues et utilisateur de Ubuntu depuis bientôt un an...\\  |   => suggestions : ['']

5 Accord de genre erroné avec « ordinateur ». => Sinon utilisateur de tout ce qui ressemble de près ou de loin à une ordinateur depuis pas loin de 11ans maintenant, j'ai passé une bonne partie de ma jeunesse d'informaticien sous Windows, c'était juste le temps de rencontrer une distrib' linux fiable, accessible à tous et avec une communauté réactive telle que l'est Ubuntu !\\  | une => suggestions : ['un']
5 Accord de genre erroné avec « une ». => Sinon utilisateur de tout ce qui ressemble de près ou de loin à une ordinateur depuis pas loin de 11ans maintenant, j'ai passé une bonne partie de ma jeunesse d'informaticien sous Windows, c'était juste le temps de rencontrer une distrib' linux fiable, accessible à tous et avec une communauté réactive telle que l'est Ubuntu !\\  | ordinateur => suggestions : ['ordinatrice']
5 Avec une unité de mesure, mettez un espace insécable. => Sinon utilisateur de tout ce qui ressemble de près ou de loin à une ordinateur depuis pas loin de 11ans maintenant, j'ai passé une bonne partie de ma jeunesse d'informaticien sous Windows, c'était juste le temps de rencontrer une distrib' linux fiable, accessible à tous et avec une communauté réactive telle que l'est Ubuntu !\\  | 11ans => suggestions : ['11\xa0ans']
5 Mot inconnu : distrib => Sinon utilisateur de tout ce qui ressemble de près ou de loin à une ordinateur depuis pas loin de 11ans maintenant, j'ai passé une bonne partie de ma jeunesse d'informaticien sous Windows, c'était juste le temps de rencontrer une distrib' linux fiable, accessible à tous et avec une communauté réactive telle que l'est Ubuntu !\\  | distrib
5 Guillemets typographiques fermants. => Sinon utilisateur de tout ce qui ressemble de près ou de loin à une ordinateur depuis pas loin de 11ans maintenant, j'ai passé une bonne partie de ma jeunesse d'informaticien sous Windows, c'était juste le temps de rencontrer une distrib' linux fiable, accessible à tous et avec une communauté réactive telle que l'est Ubuntu !\\  | ' => suggestions : ['”', '’', '›']
5 Mot inconnu : linux => Sinon utilisateur de tout ce qui ressemble de près ou de loin à une ordinateur depuis pas loin de 11ans maintenant, j'ai passé une bonne partie de ma jeunesse d'informaticien sous Windows, c'était juste le temps de rencontrer une distrib' linux fiable, accessible à tous et avec une communauté réactive telle que l'est Ubuntu !\\  | linux
5 Espace(s) en fin de ligne à supprimer. => Sinon utilisateur de tout ce qui ressemble de près ou de loin à une ordinateur depuis pas loin de 11ans maintenant, j'ai passé une bonne partie de ma jeunesse d'informaticien sous Windows, c'était juste le temps de rencontrer une distrib' linux fiable, accessible à tous et avec une communauté réactive telle que l'est Ubuntu !\\  |   => suggestions : ['']

7 Mot inconnu : html => Au niveau de mes compétences, j'ai quelques notions d'html, de VisualBasic et d'assembleur, bref pas de quoi casser des briques pour l'instant niveau programmation... C'est donc plutôt en termes de correcteur/relecteur et traducteur que je pense servir la communauté dans un premier temps... | html
7 Mot inconnu : VisualBasic => Au niveau de mes compétences, j'ai quelques notions d'html, de VisualBasic et d'assembleur, bref pas de quoi casser des briques pour l'instant niveau programmation... C'est donc plutôt en termes de correcteur/relecteur et traducteur que je pense servir la communauté dans un premier temps... | visualbasic
7 Typographie : points de suspension. Utilisez le caractère dédié. => Au niveau de mes compétences, j'ai quelques notions d'html, de VisualBasic et d'assembleur, bref pas de quoi casser des briques pour l'instant niveau programmation... C'est donc plutôt en termes de correcteur/relecteur et traducteur que je pense servir la communauté dans un premier temps... | ... => suggestions : ['…']
7 Typographie : points de suspension. Utilisez le caractère dédié. => Au niveau de mes compétences, j'ai quelques notions d'html, de VisualBasic et d'assembleur, bref pas de quoi casser des briques pour l'instant niveau programmation... C'est donc plutôt en termes de correcteur/relecteur et traducteur que je pense servir la communauté dans un premier temps... | ... => suggestions : ['…']
11 Mot inconnu : thomas => E-mail : thomas.klein3-ATE-ulp.u-strasbg.fr (provisoire) | thomas
11 Mot inconnu : klein3-ATE-ulp => E-mail : thomas.klein3-ATE-ulp.u-strasbg.fr (provisoire) | klein3-ate-ulp
11 Mot inconnu : u-strasbg => E-mail : thomas.klein3-ATE-ulp.u-strasbg.fr (provisoire) | u-strasbg

13 Mot inconnu : MSN => MSN : kakystos-ATE-hotmail.com | msn
13 Mot inconnu : kakystos-ATE-hotmail => MSN : kakystos-ATE-hotmail.com | kakystos-ate-hotmail
