1 Mot inconnu : natouyahourt [[7:19]] => ====== natouyahourt ====== <|> natouyahourt
6 Mot inconnu : Heron [[76:81]] => |Distribution testée|Ubuntu 6.06 LTS (Dapper Drake), Ubuntu 8.04 LTS (Hardy Heron) et suivantes| <|> heron

10 Mot inconnu : EPITA [[28:33]] => Ayant effectué mes études à EPITA, j'ai découvert le monde libre basé sur Unix : NetBSD, Solaris, ... J'ai installé une mandrake sur mon PC personnel afin de pouvoir travailler chez moi. Ubuntu n'existait pas encore. <|> epita
10 Mot inconnu : NetBSD [[81:87]] => Ayant effectué mes études à EPITA, j'ai découvert le monde libre basé sur Unix : NetBSD, Solaris, ... J'ai installé une mandrake sur mon PC personnel afin de pouvoir travailler chez moi. Ubuntu n'existait pas encore. <|> netbsd
10 Mot inconnu : Solaris [[89:96]] => Ayant effectué mes études à EPITA, j'ai découvert le monde libre basé sur Unix : NetBSD, Solaris, ... J'ai installé une mandrake sur mon PC personnel afin de pouvoir travailler chez moi. Ubuntu n'existait pas encore. <|> solaris
10 Une de ces ponctuations est superflue. [[96:99]] => Ayant effectué mes études à EPITA, j'ai découvert le monde libre basé sur Unix : NetBSD, Solaris, ... J'ai installé une mandrake sur mon PC personnel afin de pouvoir travailler chez moi. Ubuntu n'existait pas encore. <|> , . => suggestions : [',', '.']
10 Typographie : points de suspension. Utilisez le caractère dédié. [[98:101]] => Ayant effectué mes études à EPITA, j'ai découvert le monde libre basé sur Unix : NetBSD, Solaris, ... J'ai installé une mandrake sur mon PC personnel afin de pouvoir travailler chez moi. Ubuntu n'existait pas encore. <|> ... => suggestions : ['…']

12 Guillemets typographiques ouvrants. [[38:39]] => Diplômé en juin 2004, je n'avais plus "besoin" d'un ordinateur sous Linux et ai continué sous Windows (bouuuuhhhh) ;). <|> " => suggestions : ['«\xa0', '“']
12 Guillemets typographiques fermants. [[45:46]] => Diplômé en juin 2004, je n'avais plus "besoin" d'un ordinateur sous Linux et ai continué sous Windows (bouuuuhhhh) ;). <|> " => suggestions : ['\xa0»', '”']
12 Mot inconnu : bouuuuhhhh [[103:113]] => Diplômé en juin 2004, je n'avais plus "besoin" d'un ordinateur sous Linux et ai continué sous Windows (bouuuuhhhh) ;). <|> bouuuuhhhh

14 S’il s’agit d’une action à accomplir, le verbe devrait être à l’infinitif. [[32:37]] => En 2006, ayant beaucoup entendu parlé d'Ubuntu, j'ai voulu essayer mais malheureusement plusieurs problèmes matériels (et de motivation) m'ont fait renoncé à une installation permanente chez moi. J'ai pas contre choisi cette distribution pour la mise en place d'un serveur de versionning SVN dans la société qui m'emploie, ce qui m'a donné pleine satisfaction. <|> parlé => suggestions : ['parler']
14 Mot inconnu : versionning [[276:287]] => En 2006, ayant beaucoup entendu parlé d'Ubuntu, j'ai voulu essayer mais malheureusement plusieurs problèmes matériels (et de motivation) m'ont fait renoncé à une installation permanente chez moi. J'ai pas contre choisi cette distribution pour la mise en place d'un serveur de versionning SVN dans la société qui m'emploie, ce qui m'a donné pleine satisfaction. <|> versionning
16 Mot inconnu : NTI [[357:360]] => Je me suis donc tenu informé des évolutions d'Ubuntu à partir de ce moment et ai revoulu tenter l'aventure à l'arrivée de la 8.04 LTS. Comme je m'attendais à la voir arriver le premier avril 2008, j'ai installé la 7.10 qui m'a démontré de bien meilleures performances et un confort d'utilisation sans égal dans le cadre de mon travail (analyste/développeur NTI), depuis je ne quitte plus cette distribution (malgré quelques tests de OpenSolaris, Mandriva, ...). Le pas a également été franchi sur mon ordinateur familial depuis la 8.10. <|> nti
16 Mot inconnu : OpenSolaris [[433:444]] => Je me suis donc tenu informé des évolutions d'Ubuntu à partir de ce moment et ai revoulu tenter l'aventure à l'arrivée de la 8.04 LTS. Comme je m'attendais à la voir arriver le premier avril 2008, j'ai installé la 7.10 qui m'a démontré de bien meilleures performances et un confort d'utilisation sans égal dans le cadre de mon travail (analyste/développeur NTI), depuis je ne quitte plus cette distribution (malgré quelques tests de OpenSolaris, Mandriva, ...). Le pas a également été franchi sur mon ordinateur familial depuis la 8.10. <|> opensolaris
16 Une de ces ponctuations est superflue. [[454:457]] => Je me suis donc tenu informé des évolutions d'Ubuntu à partir de ce moment et ai revoulu tenter l'aventure à l'arrivée de la 8.04 LTS. Comme je m'attendais à la voir arriver le premier avril 2008, j'ai installé la 7.10 qui m'a démontré de bien meilleures performances et un confort d'utilisation sans égal dans le cadre de mon travail (analyste/développeur NTI), depuis je ne quitte plus cette distribution (malgré quelques tests de OpenSolaris, Mandriva, ...). Le pas a également été franchi sur mon ordinateur familial depuis la 8.10. <|> , . => suggestions : [',', '.']
16 Typographie : points de suspension. Utilisez le caractère dédié. [[456:459]] => Je me suis donc tenu informé des évolutions d'Ubuntu à partir de ce moment et ai revoulu tenter l'aventure à l'arrivée de la 8.04 LTS. Comme je m'attendais à la voir arriver le premier avril 2008, j'ai installé la 7.10 qui m'a démontré de bien meilleures performances et un confort d'utilisation sans égal dans le cadre de mon travail (analyste/développeur NTI), depuis je ne quitte plus cette distribution (malgré quelques tests de OpenSolaris, Mandriva, ...). Le pas a également été franchi sur mon ordinateur familial depuis la 8.10. <|> ... => suggestions : ['…']
20 Mot inconnu : Compaq [[32:38]] => Professionnellement, j'ai un HP Compaq nc6120. L'installation d'Ubuntu a été parfaite, tout fonctionnait (à part la LED wifi... mais vide résolu). Ce fut vraiment un plaisir de ne pas avoir de problème de périphériques. <|> compaq
20 Mot inconnu : nc6120 [[39:45]] => Professionnellement, j'ai un HP Compaq nc6120. L'installation d'Ubuntu a été parfaite, tout fonctionnait (à part la LED wifi... mais vide résolu). Ce fut vraiment un plaisir de ne pas avoir de problème de périphériques. <|> nc6120
20 Typographie : points de suspension. Utilisez le caractère dédié. [[124:127]] => Professionnellement, j'ai un HP Compaq nc6120. L'installation d'Ubuntu a été parfaite, tout fonctionnait (à part la LED wifi... mais vide résolu). Ce fut vraiment un plaisir de ne pas avoir de problème de périphériques. <|> ... => suggestions : ['…']

22 Mot inconnu : ext3 [[35:39]] => De plus l'utilisation d'un système ext3 offre des performances bien supérieures à NTFS ou FAT32 pour mes compilations journalières de milliers de lignes de code Java. <|> ext3
