1 Mot inconnu : DFT-PNK => ====== DFT-PNK ====== | dft-pnk

4 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * **Nom :** LE ROUX |      => suggestions : ['']

5 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * **Prénom :** Thomas |      => suggestions : ['']

6 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * **Age :** 18 ans |      => suggestions : ['']
6 Avec une unité de mesure, mettez un espace insécable. =>     * **Age :** 18 ans | 18 ans => suggestions : ['18\xa0ans']

7 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Nationalité Française |      => suggestions : ['']
7 S’il s’agit d’un adjectif, ne mettez pas de majuscule. =>     * Nationalité Française | française => suggestions : ['française']

8 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Né le 6 Juin 1991 à Tours |      => suggestions : ['']
8 Pas de majuscule sur les mois. =>     * Né le 6 Juin 1991 à Tours | juin => suggestions : ['juin']

9 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Vit à Paris |      => suggestions : ['']

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * **Emploi :** Étudiant en IUT Informatique, première année  |      => suggestions : ['']
10 Espace(s) en fin de ligne à supprimer. =>     * **Emploi :** Étudiant en IUT Informatique, première année  |   => suggestions : ['']
