1 Mot inconnu : Abily => ====== Guillaume Abily ====== | abily

2 Avec une unité de mesure, mettez un espace insécable. => 17 ans, lycéen en Première Scientifique. | 17 ans => suggestions : ['17\xa0ans']

3 Mot inconnu : Ardour => Utilisateur régulier d'Ardour et consorts. | ardour
7 Mot inconnu : Hoary => Versions d'Ubuntu : Hoary, Dapper Drake et Edgy Eft. | hoary
7 Mot inconnu : Dapper => Versions d'Ubuntu : Hoary, Dapper Drake et Edgy Eft. | dapper
7 Mot inconnu : Edgy => Versions d'Ubuntu : Hoary, Dapper Drake et Edgy Eft. | edgy
7 Mot inconnu : Eft => Versions d'Ubuntu : Hoary, Dapper Drake et Edgy Eft. | eft

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Un PC portable Asus A4000, tout fonctionne sauf le lecteur de cartes mémoires |    => suggestions : ['']
10 Mot inconnu : A4000 =>   * Un PC portable Asus A4000, tout fonctionne sauf le lecteur de cartes mémoires | a4000

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Un PC familial composé à 90% de matériel générique, tout fonctionne parfaitement |    => suggestions : ['']
13 Avec une unité de mesure, mettez un espace insécable. =>   * Un PC familial composé à 90% de matériel générique, tout fonctionne parfaitement | 90% => suggestions : ['90\xa0%']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Une machine qui me sert de passerelle, tout fonctionne parfaitement ([[http://mobydick.abilyg.org|mobydick.abilyg.org]]) |    => suggestions : ['']
