1 Mot inconnu : Loack [[7:12]] => ====== Loack ====== <|> loack
4 Espace(s) en fin de ligne à supprimer. [[26:27]] => Vous pouvez me contacter :  <|>   => suggestions : ['']
5 Mot inconnu : loack [[17:22]] =>   * Par e-mail : loack at pileouface.org <|> loack
5 Mot inconnu : at [[23:25]] =>   * Par e-mail : loack at pileouface.org <|> at
5 Mot inconnu : pileouface [[26:36]] =>   * Par e-mail : loack at pileouface.org <|> pileouface
6 Mot inconnu : jabber [[8:14]] =>   * Sur jabber : loack at im.apinc.org <|> jabber
6 Mot inconnu : loack [[17:22]] =>   * Sur jabber : loack at im.apinc.org <|> loack
6 Mot inconnu : at [[23:25]] =>   * Sur jabber : loack at im.apinc.org <|> at
11 Typographie : points de suspension. Utilisez le caractère dédié. [[58:61]] =>   * [[http://www.pileouface.org|Un site sur Linux, Windows... et Mac]] <|> ... => suggestions : ['…']
12 Confusion : “coté” est le participe passé du verbe “coter”. [[73:77]] =>   * [[http://www.chalets-des-saules.fr|Location saisonnière de chalets à coté de Figeac, dans le Lot (46)]] <|> coté => suggestions : ['côté', 'côtés']
13 Mot inconnu : cc [[41:43]] =>   * [[http://www.750cc.org|Les motos 750 cc (Suzuki GSX Inazuma, Honda Seven Fifty, Kawasaki ZR-7)]] <|> cc
13 Mot inconnu : GSX [[52:55]] =>   * [[http://www.750cc.org|Les motos 750 cc (Suzuki GSX Inazuma, Honda Seven Fifty, Kawasaki ZR-7)]] <|> gsx
13 Mot inconnu : Inazuma [[56:63]] =>   * [[http://www.750cc.org|Les motos 750 cc (Suzuki GSX Inazuma, Honda Seven Fifty, Kawasaki ZR-7)]] <|> inazuma
13 Mot inconnu : Seven [[71:76]] =>   * [[http://www.750cc.org|Les motos 750 cc (Suzuki GSX Inazuma, Honda Seven Fifty, Kawasaki ZR-7)]] <|> seven
13 Mot inconnu : Fifty [[77:82]] =>   * [[http://www.750cc.org|Les motos 750 cc (Suzuki GSX Inazuma, Honda Seven Fifty, Kawasaki ZR-7)]] <|> fifty
13 Mot inconnu : ZR-7 [[93:97]] =>   * [[http://www.750cc.org|Les motos 750 cc (Suzuki GSX Inazuma, Honda Seven Fifty, Kawasaki ZR-7)]] <|> zr-7
19 Mot inconnu : Delphi [[49:55]] =>   * Développeur informatique (C++, Python, Perl, Delphi, ...) <|> delphi
19 Une de ces ponctuations est superflue. [[55:58]] =>   * Développeur informatique (C++, Python, Perl, Delphi, ...) <|> , . => suggestions : [',', '.']
19 Typographie : points de suspension. Utilisez le caractère dédié. [[57:60]] =>   * Développeur informatique (C++, Python, Perl, Delphi, ...) <|> ... => suggestions : ['…']

23 Mot inconnu : ubuntu-fr [[26:35]] => ===== Mes contributions à ubuntu-fr.org ===== <|> ubuntu-fr
31 Il manque un espace. [[15:43]] =>   * [[tutoriel:comment_modifier_sources_maj|Modifier les sources de mises à jour]] <|> comment_modifier_sources_maj => suggestions : [' comment_modifier_sources_maj']
31 Mot inconnu : comment_modifier_sources_maj [[15:43]] =>   * [[tutoriel:comment_modifier_sources_maj|Modifier les sources de mises à jour]] <|> comment_modifier_sources_maj
