1 Mot inconnu : skateinmars => ====== skateinmars ====== | skateinmars

5 Mot inconnu : skateinmars => Salut, moi c'est skateinmars de mon prénom Jean-Philippe, ex étudiant en IUT Services et Réseaux de Communication, j'utilise Xubuntu Feisty quotidiennement et ai commencé à utiliser GNU/Linux avec Ubuntu Hoary. | skateinmars
5 Mot inconnu : Xubuntu => Salut, moi c'est skateinmars de mon prénom Jean-Philippe, ex étudiant en IUT Services et Réseaux de Communication, j'utilise Xubuntu Feisty quotidiennement et ai commencé à utiliser GNU/Linux avec Ubuntu Hoary. | xubuntu
5 Mot inconnu : Feisty => Salut, moi c'est skateinmars de mon prénom Jean-Philippe, ex étudiant en IUT Services et Réseaux de Communication, j'utilise Xubuntu Feisty quotidiennement et ai commencé à utiliser GNU/Linux avec Ubuntu Hoary. | feisty
5 Mot inconnu : Hoary => Salut, moi c'est skateinmars de mon prénom Jean-Philippe, ex étudiant en IUT Services et Réseaux de Communication, j'utilise Xubuntu Feisty quotidiennement et ai commencé à utiliser GNU/Linux avec Ubuntu Hoary. | hoary
7 Mot inconnu : ubuntu-fr => ===== Contribution à ubuntu et ubuntu-fr : ===== | ubuntu-fr

10 Mot inconnu : launchpad => Triage de bugs, quelques traductions sur le launchpad. | launchpad

11 Mot inconnu : channels => Je suis également opérateur sur différents channels IRC de la communauté ubuntu-fr sur irc.freenode.net, dont #ubuntu-fr et #ubuntu-fr-testing | channels
11 Mot inconnu : IRC => Je suis également opérateur sur différents channels IRC de la communauté ubuntu-fr sur irc.freenode.net, dont #ubuntu-fr et #ubuntu-fr-testing | irc
11 Mot inconnu : ubuntu-fr => Je suis également opérateur sur différents channels IRC de la communauté ubuntu-fr sur irc.freenode.net, dont #ubuntu-fr et #ubuntu-fr-testing | ubuntu-fr

12 Mot inconnu : ubuntu-fr => En plus de cela j'essaye de relire et améliorer quelques articles techniques du wiki, et de participer au podcast ubuntu-fr en plus d'apporter un peu d'aide sur le forum. | ubuntu-fr
20 Mot inconnu : sk8inmars => E-mail public: sk8inmars AROBASE skateinmars.net | sk8inmars
20 Mot inconnu : skateinmars => E-mail public: sk8inmars AROBASE skateinmars.net | skateinmars

22 Mot inconnu : Jabber => Jabber : skateinmars @ jabber.ubuntu-fr.org | jabber
22 Mot inconnu : skateinmars => Jabber : skateinmars @ jabber.ubuntu-fr.org | skateinmars
22 Mot inconnu : jabber => Jabber : skateinmars @ jabber.ubuntu-fr.org | jabber
22 Mot inconnu : ubuntu-fr => Jabber : skateinmars @ jabber.ubuntu-fr.org | ubuntu-fr

24 Mot inconnu : IRC => IRC : skateinmars sur irc.freenode.net | irc
24 Mot inconnu : skateinmars => IRC : skateinmars sur irc.freenode.net | skateinmars
