1 Mot inconnu : __Bonjour [[4:13]] => **//__Bonjour a toute la communauté Ubuntu !__//** <|> __bonjour
1 Il manque un espace. [[44:46]] => **//__Bonjour a toute la communauté Ubuntu !__//** <|> __ => suggestions : [' __']
1 Mot inconnu : __ [[44:46]] => **//__Bonjour a toute la communauté Ubuntu !__//** <|> __

3 Incohérence avec “je” : “appel” devrait être un verbe, un pronom objet, un adverbe de négation, etc. [[21:26]] => Je me présente, je m'appel Loic et je suis sur UBUNTU depuis quelque temps maintenant, je serais ravi de vous apportez mon aide pour quoi que ce soit sous UBUNTU, je ne suis pas aussi expérimenté que certains mais je ferais mon possible pour vous aidez !! <|> appel => suggestions : ['appelle']
3 Mot inconnu : Loic [[27:31]] => Je me présente, je m'appel Loic et je suis sur UBUNTU depuis quelque temps maintenant, je serais ravi de vous apportez mon aide pour quoi que ce soit sous UBUNTU, je ne suis pas aussi expérimenté que certains mais je ferais mon possible pour vous aidez !! <|> loic
3 Si « mais » est la conjonction de coordination, une virgule est souhaitable si elle introduit une nouvelle proposition. [[208:213]] => Je me présente, je m'appel Loic et je suis sur UBUNTU depuis quelque temps maintenant, je serais ravi de vous apportez mon aide pour quoi que ce soit sous UBUNTU, je ne suis pas aussi expérimenté que certains mais je ferais mon possible pour vous aidez !! <|>  mais => suggestions : [', mais']
3 Après la préposition “pour”, le verbe devrait probablement être à l’infinitif. [[247:252]] => Je me présente, je m'appel Loic et je suis sur UBUNTU depuis quelque temps maintenant, je serais ravi de vous apportez mon aide pour quoi que ce soit sous UBUNTU, je ne suis pas aussi expérimenté que certains mais je ferais mon possible pour vous aidez !! <|> aidez => suggestions : ['aider']

8 Mot inconnu : repondrez [[8:17]] => Je vous repondrez le plus tot possible ! <|> repondrez
8 Mot inconnu : tot [[26:29]] => Je vous repondrez le plus tot possible ! <|> tot
