1 Mot inconnu : Télio [[19:24]] => ===== Qui est donc Télio ? ===== <|> télio

3 Confusion probable. [[0:7]] => Et bien, c'est moi. <|> et bien => suggestions : ['Eh bien', 'Hé bien']

11 Typographie : points de suspension. Utilisez le caractère dédié. [[3:6]] => Euh... Je dois vraiment le dire ? Bon... Windows XP, quand j'avais 2 ans et demi... J'en ai 16 au moment où j'écris ces lignes (Mercredi 24 avril 2019, à 20h44) <|> ... => suggestions : ['…']
11 Typographie : points de suspension. Utilisez le caractère dédié. [[37:40]] => Euh... Je dois vraiment le dire ? Bon... Windows XP, quand j'avais 2 ans et demi... J'en ai 16 au moment où j'écris ces lignes (Mercredi 24 avril 2019, à 20h44) <|> ... => suggestions : ['…']
11 Mot inconnu : XP [[49:51]] => Euh... Je dois vraiment le dire ? Bon... Windows XP, quand j'avais 2 ans et demi... J'en ai 16 au moment où j'écris ces lignes (Mercredi 24 avril 2019, à 20h44) <|> xp
11 Typographie : points de suspension. Utilisez le caractère dédié. [[80:83]] => Euh... Je dois vraiment le dire ? Bon... Windows XP, quand j'avais 2 ans et demi... J'en ai 16 au moment où j'écris ces lignes (Mercredi 24 avril 2019, à 20h44) <|> ... => suggestions : ['…']

17 Mot inconnu : Boh [[0:3]] => Boh... Ça sert pas à grand chose de me contacter. Du coup, pour combler votre désespoir de ne pas voir l'ombre d'une adresse mail, je  vais vous raconter une blague : Qu'est-ce qui fait nioc-nioc ? Un canard qui essaye de parler le verlan :) <|> boh
17 Typographie : points de suspension. Utilisez le caractère dédié. [[3:6]] => Boh... Ça sert pas à grand chose de me contacter. Du coup, pour combler votre désespoir de ne pas voir l'ombre d'une adresse mail, je  vais vous raconter une blague : Qu'est-ce qui fait nioc-nioc ? Un canard qui essaye de parler le verlan :) <|> ... => suggestions : ['…']
17 Il manque un trait d’union. [[21:32]] => Boh... Ça sert pas à grand chose de me contacter. Du coup, pour combler votre désespoir de ne pas voir l'ombre d'une adresse mail, je  vais vous raconter une blague : Qu'est-ce qui fait nioc-nioc ? Un canard qui essaye de parler le verlan :) <|> grand chose => suggestions : ['grand-chose']
17 Espace(s) surnuméraire(s) à supprimer. [[133:135]] => Boh... Ça sert pas à grand chose de me contacter. Du coup, pour combler votre désespoir de ne pas voir l'ombre d'une adresse mail, je  vais vous raconter une blague : Qu'est-ce qui fait nioc-nioc ? Un canard qui essaye de parler le verlan :) <|>    => suggestions : [' ']
17 Mot inconnu : nioc-nioc [[186:195]] => Boh... Ça sert pas à grand chose de me contacter. Du coup, pour combler votre désespoir de ne pas voir l'ombre d'une adresse mail, je  vais vous raconter une blague : Qu'est-ce qui fait nioc-nioc ? Un canard qui essaye de parler le verlan :) <|> nioc-nioc
