1 Mot inconnu : ReMs_ReMY [[22:31]] => ===== Présentation de ReMs_ReMY ===== <|> rems_remy
9 Mot inconnu : logitechl [[11:20]] =>   * Souris logitechl x3 (tutoriel) <|> logitechl
9 Mot inconnu : x3 [[21:23]] =>   * Souris logitechl x3 (tutoriel) <|> x3
20 Mot inconnu : Packard [[4:11]] =>   * Packard Bell NEC (IMEDIA 6476) # PC tatoué pour MS Windows :P <|> packard
20 Mot inconnu : IMEDIA [[22:28]] =>   * Packard Bell NEC (IMEDIA 6476) # PC tatoué pour MS Windows :P <|> imedia
22 Mot inconnu : Athlon [[14:20]] =>   * CPU : AMD Athlon(tm) 64 Processor 3400+ (2200MHz) <|> athlon
22 Mot inconnu : tm [[21:23]] =>   * CPU : AMD Athlon(tm) 64 Processor 3400+ (2200MHz) <|> tm
22 Mot inconnu : Processor [[28:37]] =>   * CPU : AMD Athlon(tm) 64 Processor 3400+ (2200MHz) <|> processor
23 Mot inconnu : GB [[21:23]] =>   * Mémoire vive : 2 GB <|> gb
24 Mot inconnu : S-ATA [[17:22]] =>   * Disque dur : S-ATA 186 GB <|> s-ata
24 Mot inconnu : GB [[27:29]] =>   * Disque dur : S-ATA 186 GB <|> gb
25 Si “GT” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. [[37:44]] =>   * Carte graphique : nVidia GeForce 7300 GT (256MB) <|> 7300 gt => suggestions : None
25 Mot inconnu : MB [[49:51]] =>   * Carte graphique : nVidia GeForce 7300 GT (256MB) <|> mb
26 Mot inconnu : Belkin [[23:29]] =>   * Wifi : Dongle Wifi Belkin F5D7051 (54MB/s) <|> belkin
26 Mot inconnu : F5D7051 [[30:37]] =>   * Wifi : Dongle Wifi Belkin F5D7051 (54MB/s) <|> f5d7051
26 Écriture invariable. Utilisez un point médian. [[39:45]] =>   * Wifi : Dongle Wifi Belkin F5D7051 (54MB/s) <|> 54mb/s => suggestions : None
26 Mot inconnu : MB [[41:43]] =>   * Wifi : Dongle Wifi Belkin F5D7051 (54MB/s) <|> mb
31 Pas d’espace avant un point. [[115:117]] =>   * E-mail : http://forum.ubuntu-fr.org/misc.php?email=22325 ou directement : remplacer dans mon pseudo le _ par un . @ gmail.com <|>  . => suggestions : None
