2 Mot inconnu : morgen_stern [[7:19]] => ====== morgen_stern ====== <|> morgen_stern
3 Mot inconnu : Ubunteros [[3:12]] =>   *Ubunteros depuis: 2 ans <|> ubunteros
4 Accord de genre erroné avec « Distribution ». [[16:21]] =>   *Distribution testé:  hardy, intrepid, jaunty <|> testé => suggestions : ['testée']
4 Espace(s) surnuméraire(s) à supprimer. [[22:24]] =>   *Distribution testé:  hardy, intrepid, jaunty <|>    => suggestions : [' ']
4 Mot inconnu : hardy [[24:29]] =>   *Distribution testé:  hardy, intrepid, jaunty <|> hardy
4 Mot inconnu : intrepid [[31:39]] =>   *Distribution testé:  hardy, intrepid, jaunty <|> intrepid
4 Mot inconnu : jaunty [[41:47]] =>   *Distribution testé:  hardy, intrepid, jaunty <|> jaunty

6 Apostrophe incorrecte. [[17:20]] => ===== Découverte d' Ubuntu ===== <|> d'  => suggestions : ['d’']
6 Guillemets typographiques fermants. [[18:19]] => ===== Découverte d' Ubuntu ===== <|> ' => suggestions : ['”', '’', '›']

8 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>  * Dès sa sortie, j'ai acheté un eeepc 701, le principe du netbook m'avais conquis. Mais rapidement, j'ai été déçu par l'os du 701, une version de xandros modifiée par asus. En effet les dépôts officiels n'étaient vraiment pas à jour, pour installer un logiciel il fallait jongler avec les dépôts debian et tuxfamily (je sais c'est pas bien ;-)... ne faites jamais ça chez vous.). <|>   => suggestions : ['']
8 Mot inconnu : eeepc [[33:38]] =>  * Dès sa sortie, j'ai acheté un eeepc 701, le principe du netbook m'avais conquis. Mais rapidement, j'ai été déçu par l'os du 701, une version de xandros modifiée par asus. En effet les dépôts officiels n'étaient vraiment pas à jour, pour installer un logiciel il fallait jongler avec les dépôts debian et tuxfamily (je sais c'est pas bien ;-)... ne faites jamais ça chez vous.). <|> eeepc
8 Mot inconnu : netbook [[59:66]] =>  * Dès sa sortie, j'ai acheté un eeepc 701, le principe du netbook m'avais conquis. Mais rapidement, j'ai été déçu par l'os du 701, une version de xandros modifiée par asus. En effet les dépôts officiels n'étaient vraiment pas à jour, pour installer un logiciel il fallait jongler avec les dépôts debian et tuxfamily (je sais c'est pas bien ;-)... ne faites jamais ça chez vous.). <|> netbook
8 Mot inconnu : xandros [[147:154]] =>  * Dès sa sortie, j'ai acheté un eeepc 701, le principe du netbook m'avais conquis. Mais rapidement, j'ai été déçu par l'os du 701, une version de xandros modifiée par asus. En effet les dépôts officiels n'étaient vraiment pas à jour, pour installer un logiciel il fallait jongler avec les dépôts debian et tuxfamily (je sais c'est pas bien ;-)... ne faites jamais ça chez vous.). <|> xandros
