1 Mot inconnu : __Pour => **__Pour me connaître__ :** | __pour
1 Mot inconnu : connaître__ => **__Pour me connaître__ :** | connaître__

3 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - J'ai 35 ans et réside (pour le moment) à MALESHERBES -45- FRANCE | -  => suggestions : ['—\xa0', '–\xa0']
3 Il manque un espace à côté du tiret. => - J'ai 35 ans et réside (pour le moment) à MALESHERBES -45- FRANCE |  - => suggestions : [' – ', ' — ']

5 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Comme beaucoup j'ai commencé sous 3.11 pour passer à 95, 98, 2000, Me (très très vite) et XP. Vu le bazar me suis intéressé à GNU/LINUX et j'ai découvert un autre bazar.... Depuis je suis passé par mdk, fedora, mepis pour finir par adopter par ubuntu.... | -  => suggestions : ['—\xa0', '–\xa0']
5 Mot inconnu : XP => - Comme beaucoup j'ai commencé sous 3.11 pour passer à 95, 98, 2000, Me (très très vite) et XP. Vu le bazar me suis intéressé à GNU/LINUX et j'ai découvert un autre bazar.... Depuis je suis passé par mdk, fedora, mepis pour finir par adopter par ubuntu.... | xp
5 Typographie : points de suspension. Utilisez le caractère dédié. => - Comme beaucoup j'ai commencé sous 3.11 pour passer à 95, 98, 2000, Me (très très vite) et XP. Vu le bazar me suis intéressé à GNU/LINUX et j'ai découvert un autre bazar.... Depuis je suis passé par mdk, fedora, mepis pour finir par adopter par ubuntu.... | .... => suggestions : ['…']
5 Mot inconnu : mdk => - Comme beaucoup j'ai commencé sous 3.11 pour passer à 95, 98, 2000, Me (très très vite) et XP. Vu le bazar me suis intéressé à GNU/LINUX et j'ai découvert un autre bazar.... Depuis je suis passé par mdk, fedora, mepis pour finir par adopter par ubuntu.... | mdk
5 Mot inconnu : fedora => - Comme beaucoup j'ai commencé sous 3.11 pour passer à 95, 98, 2000, Me (très très vite) et XP. Vu le bazar me suis intéressé à GNU/LINUX et j'ai découvert un autre bazar.... Depuis je suis passé par mdk, fedora, mepis pour finir par adopter par ubuntu.... | fedora
5 Mot inconnu : mepis => - Comme beaucoup j'ai commencé sous 3.11 pour passer à 95, 98, 2000, Me (très très vite) et XP. Vu le bazar me suis intéressé à GNU/LINUX et j'ai découvert un autre bazar.... Depuis je suis passé par mdk, fedora, mepis pour finir par adopter par ubuntu.... | mepis
5 Typographie : points de suspension. Utilisez le caractère dédié. => - Comme beaucoup j'ai commencé sous 3.11 pour passer à 95, 98, 2000, Me (très très vite) et XP. Vu le bazar me suis intéressé à GNU/LINUX et j'ai découvert un autre bazar.... Depuis je suis passé par mdk, fedora, mepis pour finir par adopter par ubuntu.... | .... => suggestions : ['…']

7 Mot inconnu : __Pour => **__Pour me contacter__ :** | __pour
7 Mot inconnu : contacter__ => **__Pour me contacter__ :** | contacter__

9 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - mail : terebeu@gmail.com | -  => suggestions : ['—\xa0', '–\xa0']

11 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - msn : terebeu@hotmail.com | -  => suggestions : ['—\xa0', '–\xa0']
11 Mot inconnu : msn => - msn : terebeu@hotmail.com | msn

13 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - jabber : terebeu@jabber.fr | -  => suggestions : ['—\xa0', '–\xa0']
13 Mot inconnu : jabber => - jabber : terebeu@jabber.fr | jabber

15 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - irc: de passage de temps en temps sur #ubuntu-fr | -  => suggestions : ['—\xa0', '–\xa0']
15 Mot inconnu : irc => - irc: de passage de temps en temps sur #ubuntu-fr | irc

18 Mot inconnu : __Ma => **__Ma/Mes maigres(s) contribution(s)__ :** | __ma
18 Écriture invariable. Utilisez un point médian. => **__Ma/Mes maigres(s) contribution(s)__ :** | maigres(s) => suggestions : ['maigres·s']
18 Il manque un espace après la parenthèse. => **__Ma/Mes maigres(s) contribution(s)__ :** | ) => suggestions : [') ']
18 Mot inconnu : __ => **__Ma/Mes maigres(s) contribution(s)__ :** | __

23 Mot inconnu : __Projet => **__Projet en cours__ :** | __projet
23 Mot inconnu : cours__ => **__Projet en cours__ :** | cours__

26 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - [[projets:tutoriels_imprimes]] : réalisation de fiches contenant des tutoriels sur les principes fondamentaux d’Ubuntu. | -  => suggestions : ['—\xa0', '–\xa0']
