1 Mot inconnu : Benoit_045 => ====== Benoit_045 ====== | benoit_045

4 Mot inconnu : Benoit_045 => Je suis Benoit_045. | benoit_045

6 Avec une unité de mesure, mettez un espace insécable. => J'ai 15 ans, et je suis sous ubuntu depuis décembre 2007... | 15 ans => suggestions : ['15\xa0ans']
6 Typographie : points de suspension. Utilisez le caractère dédié. => J'ai 15 ans, et je suis sous ubuntu depuis décembre 2007... | ... => suggestions : ['…']

7 Incohérence. Après « s’être », le verbe doit être un participe passé. => j'adore bidouiller Ubuntu pour l'optimiser et le personnaliser un max, je me suis fais un thème et un compiz fusion que j'adore (ya pas que moi d'ailleurs) :-) | fais => suggestions : ['faits', 'fait', 'faites', 'faite']
7 Mot inconnu : compiz => j'adore bidouiller Ubuntu pour l'optimiser et le personnaliser un max, je me suis fais un thème et un compiz fusion que j'adore (ya pas que moi d'ailleurs) :-) | compiz
7 Mot inconnu : ya => j'adore bidouiller Ubuntu pour l'optimiser et le personnaliser un max, je me suis fais un thème et un compiz fusion que j'adore (ya pas que moi d'ailleurs) :-) | ya

9 Typographie : points de suspension. Utilisez le caractère dédié. => ===== Ubuntu et moi... ===== | ... => suggestions : ['…']

11 Mot inconnu : Hp => J'ai installé Ubuntu il y a quelques années sur un Hp pavillon a6223.fr, l'ordinateur sur lequel je suis à 99%. | hp
11 Mot inconnu : a6223 => J'ai installé Ubuntu il y a quelques années sur un Hp pavillon a6223.fr, l'ordinateur sur lequel je suis à 99%. | a6223
11 Avec une unité de mesure, mettez un espace insécable. => J'ai installé Ubuntu il y a quelques années sur un Hp pavillon a6223.fr, l'ordinateur sur lequel je suis à 99%. | 99% => suggestions : ['99\xa0%']
13 Guillemets typographiques ouvrants. => ==> Les raisons pour lesquelles j'ai installé Ubuntu sont : Un jour je suis allé sur le "SiteDuZero"(2006) et il y avait un tuto qui proposé d'installé (k)ubuntu, j'ai donc installé Kubuntu en parallèle à Windows, mais je l'ai vite désinstaller car Kubuntu se n'étais pas mon truc (je l'ai désinstallé), j'ai donc renoncé a Linux (et j'avais tore). Plus tare en 2007 j'installe Ubuntu à la place de W$ Vista, et la j'ai littéralement adoré Ubuntu. | " => suggestions : ['«\xa0', '“']
13 Mot inconnu : SiteDuZero => ==> Les raisons pour lesquelles j'ai installé Ubuntu sont : Un jour je suis allé sur le "SiteDuZero"(2006) et il y avait un tuto qui proposé d'installé (k)ubuntu, j'ai donc installé Kubuntu en parallèle à Windows, mais je l'ai vite désinstaller car Kubuntu se n'étais pas mon truc (je l'ai désinstallé), j'ai donc renoncé a Linux (et j'avais tore). Plus tare en 2007 j'installe Ubuntu à la place de W$ Vista, et la j'ai littéralement adoré Ubuntu. | siteduzero
13 Guillemets typographiques fermants. => ==> Les raisons pour lesquelles j'ai installé Ubuntu sont : Un jour je suis allé sur le "SiteDuZero"(2006) et il y avait un tuto qui proposé d'installé (k)ubuntu, j'ai donc installé Kubuntu en parallèle à Windows, mais je l'ai vite désinstaller car Kubuntu se n'étais pas mon truc (je l'ai désinstallé), j'ai donc renoncé a Linux (et j'avais tore). Plus tare en 2007 j'installe Ubuntu à la place de W$ Vista, et la j'ai littéralement adoré Ubuntu. | " => suggestions : ['\xa0»', '”']
13 Le verbe devrait être à l’infinitif. => ==> Les raisons pour lesquelles j'ai installé Ubuntu sont : Un jour je suis allé sur le "SiteDuZero"(2006) et il y avait un tuto qui proposé d'installé (k)ubuntu, j'ai donc installé Kubuntu en parallèle à Windows, mais je l'ai vite désinstaller car Kubuntu se n'étais pas mon truc (je l'ai désinstallé), j'ai donc renoncé a Linux (et j'avais tore). Plus tare en 2007 j'installe Ubuntu à la place de W$ Vista, et la j'ai littéralement adoré Ubuntu. | installé => suggestions : ['installer']
