
3 Guillemets typographiques ouvrants. [[8:9]] => Je suis "ubunteros" depuis Breezy. <|> " => suggestions : « “
3 Guillemets typographiques fermants. [[18:19]] => Je suis "ubunteros" depuis Breezy. <|> " => suggestions :  »”

27 Mot inconnu : Windôze [[67:74]] => J'ai développé une distribution destinée à faciliter le passage de Windôze vers Linux. Dérivée de Ubuntu, cette distribution se nomme **Bubuntu**. <|> windôze
27 Mot inconnu : Bubuntu [[136:143]] => J'ai développé une distribution destinée à faciliter le passage de Windôze vers Linux. Dérivée de Ubuntu, cette distribution se nomme **Bubuntu**. <|> bubuntu
39 Mot inconnu : aMSN [[4:8]] =>   * aMSN <|> amsn

51 Mot inconnu : Vernay [[5:11]] => Rémi Vernay - remi.vernay at bubuntu.net <|> vernay
51 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[11:14]] => Rémi Vernay - remi.vernay at bubuntu.net <|>  -  => suggestions :  –  —  − 
51 Mot inconnu : remi [[14:18]] => Rémi Vernay - remi.vernay at bubuntu.net <|> remi
51 Mot inconnu : vernay [[19:25]] => Rémi Vernay - remi.vernay at bubuntu.net <|> vernay
51 Mot inconnu : at [[26:28]] => Rémi Vernay - remi.vernay at bubuntu.net <|> at
51 Mot inconnu : bubuntu [[29:36]] => Rémi Vernay - remi.vernay at bubuntu.net <|> bubuntu
