1 Mot inconnu : Fxdarkplayer => ====== Fxdarkplayer ====== | fxdarkplayer

4 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Nom** : François-Xavier du Moutier |    => suggestions : ['']

5 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Localisation** : Region Parisienne (Haut-de-seine) |    => suggestions : ['']
5 Mot inconnu : Region =>   * **Localisation** : Region Parisienne (Haut-de-seine) | region

6 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Me Contacter** :  |    => suggestions : ['']
6 Espace(s) en fin de ligne à supprimer. =>   * **Me Contacter** :  |   => suggestions : ['']

7 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * __Mail/Jabber/Windows Live__ : fx.du.moutier[--a t--]gmail.com |      => suggestions : ['']
7 Mot inconnu : __Mail =>     * __Mail/Jabber/Windows Live__ : fx.du.moutier[--a t--]gmail.com | __mail
7 Mot inconnu : Jabber =>     * __Mail/Jabber/Windows Live__ : fx.du.moutier[--a t--]gmail.com | jabber
7 Mot inconnu : Live__ =>     * __Mail/Jabber/Windows Live__ : fx.du.moutier[--a t--]gmail.com | live__
7 Il manque un espace. =>     * __Mail/Jabber/Windows Live__ : fx.du.moutier[--a t--]gmail.com | du => suggestions : [' du']
7 Mot inconnu : gmail =>     * __Mail/Jabber/Windows Live__ : fx.du.moutier[--a t--]gmail.com | gmail

8 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * __Adresse jabber alternative__ : fxdarkplayer@jabber.ubuntu-fr.org |      => suggestions : ['']
8 Mot inconnu : __Adresse =>     * __Adresse jabber alternative__ : fxdarkplayer@jabber.ubuntu-fr.org | __adresse
8 Mot inconnu : jabber =>     * __Adresse jabber alternative__ : fxdarkplayer@jabber.ubuntu-fr.org | jabber
8 Mot inconnu : alternative__ =>     * __Adresse jabber alternative__ : fxdarkplayer@jabber.ubuntu-fr.org | alternative__

12 Typographie : points de suspension. Utilisez le caractère dédié. => ...a suivre ^^ | ... => suggestions : ['…']
12 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => ...a suivre ^^ | a => suggestions : ['à']

14 Accord de nombre erroné : « connaissance » devrait être au pluriel. => ===== Mes connaissance informatique ===== | connaissance => suggestions : ['connaissances']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Programmation :**  |    => suggestions : ['']
16 Espace(s) en fin de ligne à supprimer. =>   * **Programmation :**  |   => suggestions : ['']

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     *PHP |      => suggestions : ['']

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     *MySQL |      => suggestions : ['']
18 Mot inconnu : MySQL =>     *MySQL | mysql

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     *xHTML |      => suggestions : ['']
19 Mot inconnu : xHTML =>     *xHTML | xhtml

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     *CSS |      => suggestions : ['']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     *C/C++ (débutant) |      => suggestions : ['']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *Linux |    => suggestions : ['']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * |      => suggestions : ['']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * |      => suggestions : ['']

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']
