1 Mot inconnu : sfley => ====== sfley ====== | sfley

5 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Prénom :** mikaël |    => suggestions : ['']
5 Mot inconnu : mikaël =>   * **Prénom :** mikaël | mikaël

6 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Localité :** Charron, 17230 FRANCE |    => suggestions : ['']
6 Formatage des grands nombres. =>   * **Localité :** Charron, 17230 FRANCE | 17230 => suggestions : ['17\xa0230']

7 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Contact :** cf contact dans le forum ubuntu-fr |    => suggestions : ['']
7 Mot inconnu : ubuntu-fr =>   * **Contact :** cf contact dans le forum ubuntu-fr | ubuntu-fr

8 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Emploi :** Technicien télécom et réseau |    => suggestions : ['']
8 Mot inconnu : télécom =>   * **Emploi :** Technicien télécom et réseau | télécom

9 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Première version d'Ubuntu :** karmic |    => suggestions : ['']
9 Mot inconnu : karmic =>   * **Première version d'Ubuntu :** karmic | karmic

12 Typographie : points de suspension. Utilisez le caractère dédié. => peu pour l'instant..... | ..... => suggestions : ['…']
