1 Mot inconnu : BobbyBionic => ===== BobbyBionic ===== | bobbybionic

4 Guillemets typographiques ouvrants. => Je me suis mis à la mode "forum" lorsque j'ai découvert Ubuntu. Tout d'abord discret, j'essaye désormais de faire part de mes connaissances, qui, bien que limitée ne cessent d'augmenter, grâce à la lecture de nombreux posts et pages wiki. EDIT : Maintenant que l'on m'a promu Moderator (comme terminator mais avec "moder" ;) je zone sur le forum afin qu'il reste clean, sans hésiter à donner un coup de main évidemment ! | " => suggestions : ['«\xa0', '“']
4 Guillemets typographiques fermants. => Je me suis mis à la mode "forum" lorsque j'ai découvert Ubuntu. Tout d'abord discret, j'essaye désormais de faire part de mes connaissances, qui, bien que limitée ne cessent d'augmenter, grâce à la lecture de nombreux posts et pages wiki. EDIT : Maintenant que l'on m'a promu Moderator (comme terminator mais avec "moder" ;) je zone sur le forum afin qu'il reste clean, sans hésiter à donner un coup de main évidemment ! | " => suggestions : ['\xa0»', '”']
4 Mot inconnu : EDIT => Je me suis mis à la mode "forum" lorsque j'ai découvert Ubuntu. Tout d'abord discret, j'essaye désormais de faire part de mes connaissances, qui, bien que limitée ne cessent d'augmenter, grâce à la lecture de nombreux posts et pages wiki. EDIT : Maintenant que l'on m'a promu Moderator (comme terminator mais avec "moder" ;) je zone sur le forum afin qu'il reste clean, sans hésiter à donner un coup de main évidemment ! | edit
4 Mot inconnu : Moderator => Je me suis mis à la mode "forum" lorsque j'ai découvert Ubuntu. Tout d'abord discret, j'essaye désormais de faire part de mes connaissances, qui, bien que limitée ne cessent d'augmenter, grâce à la lecture de nombreux posts et pages wiki. EDIT : Maintenant que l'on m'a promu Moderator (comme terminator mais avec "moder" ;) je zone sur le forum afin qu'il reste clean, sans hésiter à donner un coup de main évidemment ! | moderator
4 Mot inconnu : terminator => Je me suis mis à la mode "forum" lorsque j'ai découvert Ubuntu. Tout d'abord discret, j'essaye désormais de faire part de mes connaissances, qui, bien que limitée ne cessent d'augmenter, grâce à la lecture de nombreux posts et pages wiki. EDIT : Maintenant que l'on m'a promu Moderator (comme terminator mais avec "moder" ;) je zone sur le forum afin qu'il reste clean, sans hésiter à donner un coup de main évidemment ! | terminator
4 Guillemets typographiques ouvrants. => Je me suis mis à la mode "forum" lorsque j'ai découvert Ubuntu. Tout d'abord discret, j'essaye désormais de faire part de mes connaissances, qui, bien que limitée ne cessent d'augmenter, grâce à la lecture de nombreux posts et pages wiki. EDIT : Maintenant que l'on m'a promu Moderator (comme terminator mais avec "moder" ;) je zone sur le forum afin qu'il reste clean, sans hésiter à donner un coup de main évidemment ! | " => suggestions : ['«\xa0', '“']
4 Guillemets typographiques fermants. => Je me suis mis à la mode "forum" lorsque j'ai découvert Ubuntu. Tout d'abord discret, j'essaye désormais de faire part de mes connaissances, qui, bien que limitée ne cessent d'augmenter, grâce à la lecture de nombreux posts et pages wiki. EDIT : Maintenant que l'on m'a promu Moderator (comme terminator mais avec "moder" ;) je zone sur le forum afin qu'il reste clean, sans hésiter à donner un coup de main évidemment ! | " => suggestions : ['\xa0»', '”']

8 Guillemets typographiques ouvrants. => Je suis par ailleurs l'initiateur des commandes groupées de stickers, et je me suis inscrit dans le projet "Création de t-shirt". | " => suggestions : ['«\xa0', '“']
8 Guillemets typographiques fermants. => Je suis par ailleurs l'initiateur des commandes groupées de stickers, et je me suis inscrit dans le projet "Création de t-shirt". | " => suggestions : ['\xa0»', '”']

12 Mot inconnu : Packard => Je possède un ordinateur portable Packard Bell Easynote C3300 duquel j'ai bannis Windows. | packard
12 Mot inconnu : Easynote => Je possède un ordinateur portable Packard Bell Easynote C3300 duquel j'ai bannis Windows. | easynote
12 Mot inconnu : C3300 => Je possède un ordinateur portable Packard Bell Easynote C3300 duquel j'ai bannis Windows. | c3300

14 Mot inconnu : __Ubuntu => Je tourne sous __Ubuntu 7.04__, //The Feisty Fawn//. | __ubuntu
14 Mot inconnu : __ => Je tourne sous __Ubuntu 7.04__, //The Feisty Fawn//. | __
14 Mot inconnu : The => Je tourne sous __Ubuntu 7.04__, //The Feisty Fawn//. | the
14 Mot inconnu : Feisty => Je tourne sous __Ubuntu 7.04__, //The Feisty Fawn//. | feisty
14 Mot inconnu : Fawn => Je tourne sous __Ubuntu 7.04__, //The Feisty Fawn//. | fawn

27 Mot inconnu : contater => ==== Me contater ==== | contater

31 Mot inconnu : bobbybionic => bobbybionic chez gmail dot com | bobbybionic
31 Mot inconnu : gmail => bobbybionic chez gmail dot com | gmail
